seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.006877310574054718,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
0,1,0.008227510377764702,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
0,2,0.006884516682475805,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
1,0,0.006877189502120018,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
1,1,0.008264869451522827,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
1,2,0.006893772166222334,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
2,0,0.006900636944919825,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
2,1,0.008271481841802597,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
2,2,0.006910746451467276,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
3,0,0.006882464978843927,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
3,1,0.00835751835256815,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
3,2,0.006911252159625292,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
4,0,0.006871871650218964,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
4,1,0.008220384828746319,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
4,2,0.006886571645736694,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
5,0,0.0068711270578205585,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
5,1,0.008227747865021229,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
5,2,0.006885801907628775,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
6,0,0.006853843107819557,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
6,1,0.00827780831605196,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
6,2,0.006877449806779623,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
7,0,0.006901761516928673,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
7,1,0.008254309184849262,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
7,2,0.006909974385052919,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
8,0,0.006887407973408699,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
8,1,0.008177567273378372,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
8,2,0.0068970187567174435,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
9,0,0.0069013722240924835,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
9,1,0.008242426440119743,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
9,2,0.006908811628818512,random,normalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
0,0,0.0006002736045047641,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
0,1,0.0007682130089960992,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
0,2,0.0006055824342183769,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
1,0,0.0006080921157263219,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
1,1,0.0007696888060308993,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
1,2,0.0006101037142798305,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
2,0,0.0006074942066334188,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
2,1,0.000773335515987128,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
2,2,0.0006157457828521729,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
3,0,0.000618932128418237,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
3,1,0.0007813319098204374,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
3,2,0.0006199032650329173,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
4,0,0.0006176134338602424,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
4,1,0.0007791855023242533,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
4,2,0.0006209098501130939,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
5,0,0.000599764462094754,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
5,1,0.0007709886995144188,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
5,2,0.000610662333201617,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
6,0,0.0006053535034880042,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
6,1,0.0007611915352754295,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
6,2,0.0006080374005250633,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
7,0,0.0006088939844630659,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
7,1,0.0007851209957152605,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
7,2,0.0006205114768818021,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
8,0,0.0006014415412209928,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
8,1,0.0007823752239346504,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
8,2,0.0006114753778092563,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
9,0,0.0006094446871429682,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
9,1,0.0007733306847512722,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
9,2,0.0006145269144326448,random,unnormalized,RANDOM,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
-1,0,0.006899937521666288,trained,normalized,0,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
-1,0,0.000613431679084897,trained,unnormalized,0,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
-1,1,0.00817843433469534,trained,normalized,0,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
-1,1,0.000760150607675314,trained,unnormalized,0,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
-1,2,0.006909674499183893,trained,normalized,0,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
-1,2,0.0006130692199803889,trained,unnormalized,0,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
-1,0,0.006914321333169937,trained_shuffled,normalized,0,20241121152808,run_25_L2_H64_LSTM_uni_tom_quantum
