seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.02405485138297081,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
0,1,0.03626599535346031,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
0,2,0.014127391390502453,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
1,0,0.02635354921221733,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
1,1,0.0372447669506073,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
1,2,0.024476246908307076,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
2,0,0.02432152070105076,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
2,1,0.03344722092151642,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
2,2,0.01619298756122589,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
3,0,0.02552909404039383,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
3,1,0.04705595225095749,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
3,2,0.018239496275782585,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
4,0,0.024123415350914,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
4,1,0.04449322819709778,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
4,2,0.0166921503841877,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
5,0,0.028748081997036934,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
5,1,0.0290539413690567,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
5,2,0.026939330622553825,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
6,0,0.028614064678549767,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
6,1,0.03480341657996178,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
6,2,0.020863782614469528,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
7,0,0.02516232617199421,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
7,1,0.04467925429344177,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
7,2,0.021421492099761963,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
8,0,0.025921430438756943,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
8,1,0.034059055149555206,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
8,2,0.016637958586215973,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
9,0,0.02506450191140175,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
9,1,0.03037613071501255,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
9,2,0.01872428134083748,random,normalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
0,0,0.010857507586479187,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
0,1,0.018478315323591232,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
0,2,0.008170105516910553,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
1,0,0.011529695242643356,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
1,1,0.015446989797055721,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
1,2,0.007002834230661392,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
2,0,0.01148167159408331,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
2,1,0.012012254446744919,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
2,2,0.007823644205927849,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
3,0,0.011667737737298012,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
3,1,0.014501554891467094,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
3,2,0.012521001510322094,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
4,0,0.012473559938371181,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
4,1,0.01392484363168478,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
4,2,0.006645143497735262,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
5,0,0.010332287289202213,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
5,1,0.013264508917927742,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
5,2,0.008457226678729057,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
6,0,0.011158538050949574,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
6,1,0.012877310626208782,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
6,2,0.007182305678725243,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
7,0,0.010480206459760666,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
7,1,0.014732499606907368,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
7,2,0.01236095279455185,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
8,0,0.012559094466269016,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
8,1,0.016316352412104607,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
8,2,0.00679565267637372,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
9,0,0.010877964086830616,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
9,1,0.018725931644439697,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
9,2,0.007338253315538168,random,unnormalized,RANDOM,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.025000492110848427,trained,normalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010973889380693436,trained,unnormalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.032482001930475235,trained,normalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.013742607086896896,trained,unnormalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.030406085774302483,trained,normalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.011000558733940125,trained,unnormalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.027378536760807037,trained_shuffled,normalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.01117089856415987,trained_shuffled,unnormalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.049485690891742706,trained_shuffled,normalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.01639668457210064,trained_shuffled,unnormalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.02789830043911934,trained_shuffled,normalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.00959557481110096,trained_shuffled,unnormalized,0,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.02438715659081936,trained,normalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010463546961545944,trained,unnormalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.03119552694261074,trained,normalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.012402031570672989,trained,unnormalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.01775466278195381,trained,normalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.00697608757764101,trained,unnormalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.024569028988480568,trained_shuffled,normalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010326353833079338,trained_shuffled,unnormalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.033381540328264236,trained_shuffled,normalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.013521225191652775,trained_shuffled,unnormalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.024925360456109047,trained_shuffled,normalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.007909124717116356,trained_shuffled,unnormalized,204800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.01399368979036808,trained,normalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.006446917075663805,trained,unnormalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.003789802547544241,trained,normalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0018677505431696773,trained,unnormalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0012144501088187099,trained,normalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.000690234184730798,trained,unnormalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.025767939165234566,trained_shuffled,normalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.011030596680939198,trained_shuffled,unnormalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.027109500020742416,trained_shuffled,normalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.010661528445780277,trained_shuffled,unnormalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.011801366694271564,trained_shuffled,normalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.005033029243350029,trained_shuffled,unnormalized,20684800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.013192371465265751,trained,normalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.006124092265963554,trained,unnormalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0032125546131283045,trained,normalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0016043841606006026,trained,unnormalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0009506101487204432,trained,normalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0005768961855210364,trained,unnormalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.023888500407338142,trained_shuffled,normalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.0105750048533082,trained_shuffled,unnormalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.02685541659593582,trained_shuffled,normalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.011388873681426048,trained_shuffled,unnormalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.010774189606308937,trained_shuffled,normalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.004633221309632063,trained_shuffled,unnormalized,41164800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.012758413329720497,trained,normalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.005971938371658325,trained,unnormalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.003199436469003558,trained,normalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.001614333363249898,trained,unnormalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0010019344044849277,trained,normalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0005913407658226788,trained,unnormalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.02566646970808506,trained_shuffled,normalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010901283472776413,trained_shuffled,unnormalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.030745036900043488,trained_shuffled,normalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0128484470769763,trained_shuffled,unnormalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.012077908962965012,trained_shuffled,normalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.005259621422737837,trained_shuffled,unnormalized,61644800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.012931454926729202,trained,normalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.00598046462982893,trained,unnormalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.003161775413900614,trained,normalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0016701675485819578,trained,unnormalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0009987462544813752,trained,normalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0005963300354778767,trained,unnormalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.02670144848525524,trained_shuffled,normalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010841296054422855,trained_shuffled,unnormalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.03018624149262905,trained_shuffled,normalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.012297001667320728,trained_shuffled,unnormalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.012587704695761204,trained_shuffled,normalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.005344801116734743,trained_shuffled,unnormalized,82124800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.012534447945654392,trained,normalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.005917382892221212,trained,unnormalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0029837763868272305,trained,normalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0015629278495907784,trained,unnormalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0009247755515389144,trained,normalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0005436587380245328,trained,unnormalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.02692532166838646,trained_shuffled,normalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.011018287390470505,trained_shuffled,unnormalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.029101861640810966,trained_shuffled,normalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.011743118055164814,trained_shuffled,unnormalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.012976937927305698,trained_shuffled,normalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.005591234657913446,trained_shuffled,unnormalized,102604800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.012517926283180714,trained,normalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.0058788126334548,trained,unnormalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.002902453066781163,trained,normalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0015153170097619295,trained,unnormalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0008915693615563214,trained,normalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0005215675919316709,trained,unnormalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.025377796962857246,trained_shuffled,normalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010634810663759708,trained_shuffled,unnormalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0309123732149601,trained_shuffled,normalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.012901278212666512,trained_shuffled,unnormalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.011627856642007828,trained_shuffled,normalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.005099799484014511,trained_shuffled,unnormalized,123084800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.011831626296043396,trained,normalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.005517793353646994,trained,unnormalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.002704758197069168,trained,normalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0014075733488425612,trained,unnormalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0008337392355315387,trained,normalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.000475889042718336,trained,unnormalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.027422137558460236,trained_shuffled,normalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.011470908299088478,trained_shuffled,unnormalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.02800595387816429,trained_shuffled,normalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.011330679059028625,trained_shuffled,unnormalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.012768383137881756,trained_shuffled,normalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.005344340577721596,trained_shuffled,unnormalized,143564800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.011488198302686214,trained,normalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.0053368196822702885,trained,unnormalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.002556252060458064,trained,normalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0013338265707716346,trained,unnormalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0008096361416392028,trained,normalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.00045547590707428753,trained,unnormalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.026601023972034454,trained_shuffled,normalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.011334826238453388,trained_shuffled,unnormalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.03013717010617256,trained_shuffled,normalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.012388314120471478,trained_shuffled,unnormalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.013798047788441181,trained_shuffled,normalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.006400178652256727,trained_shuffled,unnormalized,164044800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010968157090246677,trained,normalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.005117424298077822,trained,unnormalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0023032031022012234,trained,normalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.001195255434140563,trained,unnormalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0007418786990456283,trained,normalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.00040950215770862997,trained,unnormalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.026074059307575226,trained_shuffled,normalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010990508832037449,trained_shuffled,unnormalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.028133325278759003,trained_shuffled,normalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.011225184425711632,trained_shuffled,unnormalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.011517954990267754,trained_shuffled,normalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.005108732730150223,trained_shuffled,unnormalized,184524800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.010553793981671333,trained,normalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.004899310879409313,trained,unnormalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.0022968698758631945,trained,normalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.001186572015285492,trained,unnormalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0007117890636436641,trained,normalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.00040033881668932736,trained,unnormalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.02357439137995243,trained_shuffled,normalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,0,0.009788102470338345,trained_shuffled,unnormalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.026627354323863983,trained_shuffled,normalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,1,0.010843290016055107,trained_shuffled,unnormalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.011338740587234497,trained_shuffled,normalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
-1,2,0.0050020236521959305,trained_shuffled,unnormalized,205004800,20241121152808,run_30_L2_H64_LSTM_uni_rrxor
