seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.002017237711697817,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
0,1,0.0030281408689916134,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
0,2,0.0005966112366877496,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
1,0,0.001795938704162836,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
1,1,0.002318873070180416,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
1,2,0.0005765889072790742,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
2,0,0.002291841199621558,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
2,1,0.0028319312259554863,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
2,2,0.0006515522254630923,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
3,0,0.0016418984159827232,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
3,1,0.002510320395231247,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
3,2,0.0006521751638501883,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
4,0,0.0016982522793114185,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
4,1,0.002493933541700244,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
4,2,0.0006121775950305164,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
5,0,0.0023723344784229994,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
5,1,0.002298881998285651,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
5,2,0.0006846827454864979,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
6,0,0.002346538007259369,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
6,1,0.0026681344024837017,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
6,2,0.0007524405955336988,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
7,0,0.002253788523375988,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
7,1,0.0029109695460647345,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
7,2,0.0007030255510471761,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
8,0,0.0022027785889804363,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
8,1,0.0023100560065358877,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
8,2,0.0006847688346169889,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
9,0,0.0018270881846547127,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
9,1,0.002462338423356414,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
9,2,0.0006330797914415598,random,normalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
0,0,0.0006674190517514944,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
0,1,0.0008503876742906868,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
0,2,0.00045320732169784606,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
1,0,0.0006673981552012265,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
1,1,0.0007728407508693635,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
1,2,0.00042096831020899117,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
2,0,0.0006550349062308669,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
2,1,0.0007981954840943217,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
2,2,0.0004318288993090391,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
3,0,0.0006362642161548138,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
3,1,0.0008043289417400956,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
3,2,0.0004300558939576149,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
4,0,0.0006621811189688742,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
4,1,0.0008112289942800999,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
4,2,0.0003942350158467889,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
5,0,0.0006426290492527187,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
5,1,0.0008379947976209223,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
5,2,0.0004744199104607105,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
6,0,0.0006825855234637856,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
6,1,0.0007561006350442767,random,unnormalized,RANDOM,20241121152808,run_31_L2_H64_LSTM_uni_mess3
