seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.014533153735101223,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
0,1,0.01613498292863369,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
0,2,0.008616536855697632,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
1,0,0.012838036753237247,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
1,1,0.018484467640519142,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
1,2,0.008459857665002346,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
2,0,0.014084269292652607,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
2,1,0.018537487834692,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
2,2,0.008454672992229462,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
3,0,0.014037644490599632,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
3,1,0.01606339029967785,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
3,2,0.008554205298423767,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
4,0,0.014324365183711052,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
4,1,0.015937265008687973,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
4,2,0.008478159084916115,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
5,0,0.012672526761889458,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
5,1,0.016537323594093323,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
5,2,0.008508670143783092,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
6,0,0.014505656436085701,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
6,1,0.01864590123295784,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
6,2,0.009194377809762955,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
7,0,0.013998867943882942,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
7,1,0.016091760247945786,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
7,2,0.00862851645797491,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
8,0,0.014683868736028671,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
8,1,0.01768610067665577,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
8,2,0.008756008930504322,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
9,0,0.014019647613167763,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
9,1,0.01732734963297844,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
9,2,0.008604146540164948,random,normalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
0,0,0.0027639626059681177,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
0,1,0.0036066612228751183,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
0,2,0.0015084216138347983,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
1,0,0.0028925479855388403,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
1,1,0.0037618244532495737,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
1,2,0.0014492255868390203,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
2,0,0.0026242686435580254,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
2,1,0.0036559063009917736,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
2,2,0.0014798935735598207,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
3,0,0.002893820870667696,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
3,1,0.0038526211865246296,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
3,2,0.0015013412339612842,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
4,0,0.0027481105644255877,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
4,1,0.003946882206946611,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
4,2,0.0013776069972664118,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
5,0,0.002709027146920562,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
5,1,0.0040428792126476765,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
5,2,0.0014354275772348046,random,unnormalized,RANDOM,20241121152808,run_32_L2_H64_GRU_uni_post_quantum
