seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.032284289598464966,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
0,1,0.032987773418426514,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
0,2,0.0289167370647192,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
1,0,0.02684977278113365,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
1,1,0.02733207866549492,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
1,2,0.023361092433333397,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
2,0,0.028752533718943596,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
2,1,0.028354186564683914,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
2,2,0.024811482056975365,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
3,0,0.03252454847097397,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
3,1,0.029226016253232956,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
3,2,0.02650371938943863,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
4,0,0.02885850891470909,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
4,1,0.034479618072509766,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
4,2,0.026056015864014626,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
5,0,0.03076217509806156,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
5,1,0.029914438724517822,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
5,2,0.024966798722743988,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
6,0,0.03342962637543678,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
6,1,0.031132696196436882,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
6,2,0.02607971988618374,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
7,0,0.029970651492476463,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
7,1,0.029758406803011894,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
7,2,0.024263085797429085,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
8,0,0.026596393436193466,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
8,1,0.02948484756052494,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
8,2,0.023817406967282295,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
9,0,0.03434279188513756,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
9,1,0.03570910170674324,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
9,2,0.030388114973902702,random,normalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
0,0,0.013010945171117783,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
0,1,0.013678796589374542,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
0,2,0.010742059908807278,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
1,0,0.013791950419545174,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
1,1,0.017656132578849792,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
1,2,0.01254856027662754,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
2,0,0.011871139518916607,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
2,1,0.012495945207774639,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
2,2,0.010347291827201843,random,unnormalized,RANDOM,20241121152808,run_46_L2_H64_RNN_uni_rrxor
