seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.006039522588253021,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
0,1,0.005429922137409449,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
0,2,0.005886413156986237,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
1,0,0.005450855940580368,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
1,1,0.005662929266691208,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
1,2,0.005432880483567715,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
2,0,0.005558256525546312,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
2,1,0.005510356277227402,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
2,2,0.005080028902739286,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
3,0,0.0060436176136136055,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
3,1,0.005750581156462431,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
3,2,0.00585699500516057,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
4,0,0.005932830739766359,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
4,1,0.005588701460510492,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
4,2,0.0059284730814397335,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
5,0,0.0059950631111860275,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
5,1,0.0059303645975887775,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
5,2,0.005959868896752596,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
6,0,0.005977494176477194,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
6,1,0.005960496142506599,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
6,2,0.005828965455293655,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
7,0,0.005279548931866884,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
7,1,0.005301801487803459,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
7,2,0.005182543303817511,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
8,0,0.0059481156058609486,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
8,1,0.005445001646876335,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
8,2,0.005445166025310755,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
9,0,0.005713655147701502,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
9,1,0.005468343384563923,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
9,2,0.005121233873069286,random,normalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
0,0,0.008893335238099098,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
0,1,0.008445976302027702,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
0,2,0.0081753209233284,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
1,0,0.009672243148088455,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
1,1,0.009260673075914383,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
1,2,0.009345865808427334,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
2,0,0.007679997477680445,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
2,1,0.009316688403487206,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
2,2,0.007849028334021568,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
3,0,0.009839425794780254,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
3,1,0.00789833813905716,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
3,2,0.009669601917266846,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
4,0,0.00858375895768404,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
4,1,0.00885985977947712,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
4,2,0.007735363207757473,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
5,0,0.009355960413813591,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
5,1,0.008264238946139812,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
5,2,0.00970563292503357,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
6,0,0.008227012120187283,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
6,1,0.009395766071975231,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
6,2,0.007327619008719921,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
7,0,0.009711160324513912,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
7,1,0.009760722517967224,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
7,2,0.009777377359569073,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
8,0,0.008033327758312225,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
8,1,0.009586305357515812,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
8,2,0.008253590203821659,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
9,0,0.008729912340641022,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
9,1,0.008345316164195538,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
9,2,0.008457458578050137,random,unnormalized,RANDOM,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.005752519704401493,trained,normalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.007764719892293215,trained,unnormalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.005529371555894613,trained,normalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.007545434404164553,trained,unnormalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.0057801357470452785,trained,normalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.007357361260801554,trained,unnormalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.00587907899171114,trained_shuffled,normalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.00824439711868763,trained_shuffled,unnormalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.0053596338257193565,trained_shuffled,normalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.007538275793194771,trained_shuffled,unnormalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.005568778607994318,trained_shuffled,normalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.007731874007731676,trained_shuffled,unnormalized,0,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.005402829963713884,trained,normalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.005784472916275263,trained,unnormalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.00415567634627223,trained,normalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.00479351170361042,trained,unnormalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.004197883885353804,trained,normalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.0048391553573310375,trained,unnormalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.005925619509071112,trained_shuffled,normalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.008694453164935112,trained_shuffled,unnormalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.005738685838878155,trained_shuffled,normalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.009001416154205799,trained_shuffled,unnormalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.005813573487102985,trained_shuffled,normalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.00835779495537281,trained_shuffled,unnormalized,204800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.005007622297853231,trained,normalized,20684800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,0,0.0032406235113739967,trained,unnormalized,20684800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.00019515126768965274,trained,normalized,20684800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,1,0.0007395938155241311,trained,unnormalized,20684800,20241121152808,run_47_L2_H64_RNN_uni_mess3
-1,2,0.00017576952814124525,trained,normalized,20684800,20241121152808,run_47_L2_H64_RNN_uni_mess3
