seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.02427392639219761,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
0,1,0.042224522680044174,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
0,2,0.06700308620929718,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
0,3,0.0955534428358078,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
0,4,0.02819688618183136,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
1,0,0.028506938368082047,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
1,1,0.05343916267156601,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
1,2,0.06697297096252441,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
1,3,0.10184375196695328,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
1,4,0.03137119114398956,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
2,0,0.024959908798336983,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
2,1,0.046808045357465744,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
2,2,0.06678275763988495,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
2,3,0.10145630687475204,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
2,4,0.0262366384267807,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
3,0,0.02656570076942444,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
3,1,0.038964807987213135,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
3,2,0.0671108141541481,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
3,3,0.09668542444705963,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
3,4,0.02819136716425419,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
4,0,0.026713350787758827,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
4,1,0.03842497244477272,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
4,2,0.06706012040376663,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
4,3,0.10045982897281647,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
4,4,0.028738483786582947,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
5,0,0.024964112788438797,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
5,1,0.052692826837301254,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
5,2,0.06813448667526245,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
5,3,0.10239225625991821,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
5,4,0.02841860242187977,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
6,0,0.026686551049351692,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
6,1,0.05201989412307739,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
6,2,0.06628062576055527,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
6,3,0.1002851203083992,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
6,4,0.03004942275583744,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
7,0,0.026701146736741066,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
7,1,0.04638645052909851,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
7,2,0.06880565732717514,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
7,3,0.09657199680805206,random,normalized,RANDOM,20241121152808,run_48_L4_H64_LSTM_uni_post_quantum
