seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.002550351433455944,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,1,0.003743622452020645,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,2,0.00631977804005146,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,3,0.006848702672868967,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,4,0.0011652202811092138,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
1,0,0.0025417853612452745,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
1,1,0.01498582772910595,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
1,2,0.008277496322989464,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
1,3,0.007102675270289183,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
1,4,0.0013423816999420524,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
2,0,0.002597218379378319,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
2,1,0.008950324729084969,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
2,2,0.004423161037266254,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
2,3,0.00834782887250185,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
2,4,0.000864847213961184,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
3,0,0.002660614438354969,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
3,1,0.00602246867492795,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
3,2,0.03097362630069256,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
3,3,0.007764833979308605,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
3,4,0.001579826814122498,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
4,0,0.0031301104463636875,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
4,1,0.0034507482778280973,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
4,2,0.003892667591571808,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
4,3,0.009369608014822006,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
4,4,0.0010476562893018126,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
5,0,0.0026615133974701166,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
5,1,0.007098381407558918,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
5,2,0.006479131523519754,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
5,3,0.007452566642314196,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
5,4,0.0018183488864451647,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
6,0,0.0036403590347617865,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
6,1,0.008585751987993717,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
6,2,0.004824208095669746,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
6,3,0.007177116349339485,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
6,4,0.0016534854657948017,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
7,0,0.0023648664355278015,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
7,1,0.0043593402951955795,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
7,2,0.02009868249297142,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
7,3,0.007587853819131851,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
7,4,0.0010823728516697884,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
8,0,0.0026483742985874414,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
8,1,0.004060178529471159,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
8,2,0.008771982975304127,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
8,3,0.01419072039425373,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
8,4,0.0020465045236051083,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
9,0,0.002079213736578822,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
9,1,0.004621273837983608,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
9,2,0.006003297865390778,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
9,3,0.008627048693597317,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
9,4,0.002590529853478074,random,normalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,0,0.0017522876150906086,random,unnormalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,1,0.001774457050487399,random,unnormalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,2,0.0022770902141928673,random,unnormalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,3,0.0029581799171864986,random,unnormalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
0,4,0.0010987743735313416,random,unnormalized,RANDOM,20241121152808,run_53_L4_H64_LSTM_uni_fanizza
