seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.0102823032066226,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
0,1,0.011397093534469604,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
0,2,0.012893878854811192,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
0,3,0.014638950116932392,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
0,4,0.008399524725973606,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
1,0,0.010225380770862103,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
1,1,0.011424127034842968,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
1,2,0.012775461189448833,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
1,3,0.014240394346415997,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
1,4,0.008308742195367813,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
2,0,0.010273822583258152,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
2,1,0.011204339563846588,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
2,2,0.012816875241696835,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
2,3,0.01455757673829794,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
2,4,0.008439253084361553,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
3,0,0.010119342245161533,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
3,1,0.01135507132858038,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
3,2,0.01308964192867279,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
3,3,0.014651601202785969,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
3,4,0.00854524690657854,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
4,0,0.010241317562758923,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
4,1,0.011267728172242641,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
4,2,0.01304050162434578,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
4,3,0.014681607484817505,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
4,4,0.00833535473793745,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
5,0,0.010201034136116505,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
5,1,0.011310259811580181,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
5,2,0.012543062679469585,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
5,3,0.01442458014935255,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
5,4,0.008078162558376789,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
6,0,0.010194693692028522,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
6,1,0.011369730345904827,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
6,2,0.01248379796743393,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
6,3,0.01428897399455309,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
6,4,0.0081680528819561,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
7,0,0.010237738490104675,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
7,1,0.01138634979724884,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
7,2,0.01314763817936182,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
7,3,0.014674068428575993,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
7,4,0.008040918037295341,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
8,0,0.01026279665529728,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
8,1,0.011172066442668438,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
8,2,0.012691103853285313,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
8,3,0.014473902992904186,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
8,4,0.008266264572739601,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
9,0,0.010229568928480148,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
9,1,0.011122447438538074,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
9,2,0.012810040265321732,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
9,3,0.01461685448884964,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
9,4,0.008294750936329365,random,normalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
0,0,0.0007639177492819726,random,unnormalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
0,1,0.0008682696497999132,random,unnormalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
0,2,0.0010037164902314544,random,unnormalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
0,3,0.0012314871419221163,random,unnormalized,RANDOM,20241121152808,run_58_L4_H64_GRU_uni_tom_quantum
