seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.001801103469915688,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
0,1,0.002699983073398471,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
0,2,0.004030951298773289,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
0,3,0.005260514095425606,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
0,4,0.00042733122245408595,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
1,0,0.0017630174988880754,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
1,1,0.002825598232448101,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
1,2,0.0036606737412512302,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
1,3,0.005405354779213667,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
1,4,0.0003510061069391668,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
2,0,0.0022895140573382378,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
2,1,0.0030396077781915665,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
2,2,0.003815003437921405,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
2,3,0.0050015803426504135,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
2,4,0.00043446800555102527,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
3,0,0.0018389595206826925,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
3,1,0.0025613484904170036,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
3,2,0.0035229886416345835,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
3,3,0.004920697305351496,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
3,4,0.0003883901808876544,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
4,0,0.00214039976708591,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
4,1,0.0027502605225890875,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
4,2,0.0032367261592298746,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
4,3,0.00464582210406661,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
4,4,0.00035289942752569914,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
5,0,0.001860013697296381,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
5,1,0.0026436124462634325,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
5,2,0.0034059081226587296,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
5,3,0.0055554332211613655,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
5,4,0.000361834914656356,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
6,0,0.0021633757278323174,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
6,1,0.003018619492650032,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
6,2,0.00367116485722363,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
6,3,0.005097260233014822,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
6,4,0.0004982561804354191,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
7,0,0.0019370638765394688,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
7,1,0.002600623294711113,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
7,2,0.0028173199389129877,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
7,3,0.0050147040747106075,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
7,4,0.00042179570300504565,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
8,0,0.001890671788714826,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
8,1,0.0027409486938267946,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
8,2,0.0035598825197666883,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
8,3,0.005737597122788429,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
8,4,0.00036312208976596594,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
9,0,0.0017253148835152388,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
9,1,0.0025532785803079605,random,normalized,RANDOM,20241121152808,run_63_L4_H64_GRU_uni_mess3
