seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.024224847555160522,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
0,1,0.027725398540496826,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
0,2,0.027795080095529556,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
0,3,0.03490810841321945,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
0,4,0.011713091284036636,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
1,0,0.02158951945602894,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
1,1,0.026985052973031998,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
1,2,0.027357686311006546,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
1,3,0.029683507978916168,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
1,4,0.0113091254606843,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
2,0,0.025763176381587982,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
2,1,0.02848033234477043,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
2,2,0.032054346054792404,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
2,3,0.03630651906132698,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
2,4,0.012093190103769302,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
3,0,0.022998638451099396,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
3,1,0.02606055699288845,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
3,2,0.02925843372941017,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
3,3,0.03338318318128586,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
3,4,0.010879737325012684,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
4,0,0.02215653471648693,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
4,1,0.026079276576638222,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
4,2,0.028938785195350647,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
4,3,0.030886171385645866,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
4,4,0.011698116548359394,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
5,0,0.02413700334727764,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
5,1,0.026976225897669792,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
5,2,0.029785873368382454,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
5,3,0.03108229488134384,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
5,4,0.011394035071134567,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
6,0,0.025415876880288124,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
6,1,0.02804533764719963,random,normalized,RANDOM,20241121152808,run_64_L4_H64_RNN_uni_post_quantum
