seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.009119821712374687,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,1,0.009504475630819798,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,2,0.010073301382362843,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,3,0.010785735212266445,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,4,0.00761926406994462,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,0,0.009198046289384365,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,1,0.009727854281663895,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,2,0.010311048477888107,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,3,0.010798968374729156,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,4,0.0074149142019450665,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,0,0.009621900506317616,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,1,0.010037771426141262,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,2,0.010422099381685257,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,3,0.011027463711798191,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,4,0.007589701097458601,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,0,0.009272386319935322,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,1,0.00959556084126234,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,2,0.01036044117063284,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,3,0.010892115533351898,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,4,0.007632123306393623,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,0,0.00942352507263422,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,1,0.009921428747475147,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,2,0.010637536644935608,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,3,0.010992144234478474,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,4,0.007753893733024597,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,0,0.009231934323906898,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,1,0.010120373219251633,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,2,0.010383221320807934,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,3,0.010870289988815784,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,4,0.007635786663740873,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,0,0.009307471103966236,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,1,0.009737709537148476,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,2,0.010413861833512783,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,3,0.010894816368818283,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,4,0.007171603385359049,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,0,0.00937805324792862,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,1,0.009991292841732502,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,2,0.010655266232788563,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,3,0.011025683023035526,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,4,0.007732633966952562,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,0,0.009601633995771408,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,1,0.009844677522778511,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,2,0.010546360164880753,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,3,0.011121734045445919,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,4,0.0073164538480341434,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
9,0,0.008928010240197182,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
9,1,0.009632227942347527,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
9,2,0.010409764014184475,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
9,3,0.010770827531814575,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
9,4,0.007241109386086464,random,normalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,0,0.0007119885995052755,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,1,0.0007801376632414758,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,2,0.0008250382379628718,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,3,0.0008724106592126191,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
0,4,0.0005487490561790764,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,0,0.0007358779548667371,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,1,0.0007847701199352741,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,2,0.000812494195997715,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,3,0.0008745571249164641,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
1,4,0.0005477104568853974,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,0,0.0006860268767923117,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,1,0.0007424099021591246,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,2,0.0008015524945221841,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,3,0.0008408476132899523,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
2,4,0.0005413941689766943,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,0,0.0007139357621781528,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,1,0.000810632889624685,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,2,0.0008416268392466009,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,3,0.0008215071284212172,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
3,4,0.0005226414068602026,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,0,0.0007128030993044376,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,1,0.0007811022805981338,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,2,0.0007980491500347853,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,3,0.0008630941738374531,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
4,4,0.0005262167542241514,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,0,0.0007185428403317928,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,1,0.00077725580194965,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,2,0.000820080516859889,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,3,0.0008939968538470566,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
5,4,0.0005266121006570756,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,0,0.0006754107889719307,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,1,0.0007462315843440592,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,2,0.0008419232326559722,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,3,0.0008791606524027884,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
6,4,0.0004951765295118093,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,0,0.0007228716276586056,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,1,0.0007848372333683074,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,2,0.000858417188283056,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,3,0.0008660799358040094,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
7,4,0.0005561988218687475,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,0,0.0007228436879813671,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,1,0.0007337076240219176,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,2,0.0008107789326459169,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,3,0.0008499969262629747,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
8,4,0.000527061230968684,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
9,0,0.000727298145648092,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
9,1,0.000744574295822531,random,unnormalized,RANDOM,20241121152808,run_68_L4_H64_RNN_uni_tom_quantum
