seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.017236394807696342,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
0,1,0.016397682949900627,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
0,2,0.016819573938846588,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
0,3,0.01693067140877247,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
0,4,0.017111673951148987,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
0,5,0.017276238650083542,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
0,6,0.013367989100515842,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
1,0,0.017234116792678833,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
1,1,0.01625637151300907,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
1,2,0.016726350411772728,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
1,3,0.01695364899933338,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
1,4,0.01706104911863804,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
1,5,0.017085205763578415,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
1,6,0.012895888648927212,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
2,0,0.01723456382751465,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
2,1,0.016576232388615608,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
2,2,0.016795888543128967,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
2,3,0.017191819846630096,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
2,4,0.017483452335000038,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
2,5,0.017634665593504906,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
2,6,0.013159669935703278,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
3,0,0.01749543659389019,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
3,1,0.016485318541526794,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
3,2,0.016765689477324486,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
3,3,0.017080796882510185,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
3,4,0.01716858334839344,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
3,5,0.01726442016661167,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
3,6,0.013721302151679993,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
4,0,0.017243459820747375,random,normalized,RANDOM,20241205175736,run_19_L4_H4_DH16_DM64_tom_quantum
