seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.030050991103053093,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,1,0.012496288865804672,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,2,0.011465107090771198,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,3,0.012906973250210285,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,4,0.014148445799946785,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,5,0.015051412396132946,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,6,0.006120626349002123,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,0,0.030050991103053093,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,1,0.009317527525126934,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,2,0.00862102024257183,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,3,0.009424043819308281,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,4,0.009634117595851421,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,5,0.009902874007821083,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,6,0.0051832618191838264,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
2,0,0.030050987377762794,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
2,1,0.009602151811122894,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
2,2,0.0100896330550313,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
2,3,0.010501481592655182,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
2,4,0.010324841365218163,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
2,5,0.010437189601361752,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
2,6,0.005145537666976452,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
3,0,0.030050985515117645,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
3,1,0.011531185358762741,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
3,2,0.011213291436433792,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
3,3,0.011470003053545952,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
3,4,0.011661658063530922,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
3,5,0.012006295844912529,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
3,6,0.006333493161946535,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
4,0,0.030050987377762794,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
4,1,0.009232711978256702,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
4,2,0.00869591161608696,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
4,3,0.008665953762829304,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
4,4,0.00882184598594904,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
4,5,0.008988474495708942,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
4,6,0.004369140602648258,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
5,0,0.030050987377762794,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
5,1,0.008630307391285896,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
5,2,0.007978100329637527,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
5,3,0.008609794080257416,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
5,4,0.009229341521859169,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
5,5,0.009188703261315823,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
5,6,0.004856169689446688,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
6,0,0.030050991103053093,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
6,1,0.00911330059170723,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
6,2,0.009663633070886135,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
6,3,0.009664462879300117,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
6,4,0.009913897141814232,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
6,5,0.009807607159018517,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
6,6,0.00456378934904933,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
7,0,0.03005099482834339,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
7,1,0.010060095228254795,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
7,2,0.010897950269281864,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
7,3,0.010956569574773312,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
7,4,0.011502393521368504,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
7,5,0.011937428265810013,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
7,6,0.005706411320716143,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
8,0,0.030050987377762794,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
8,1,0.010718810372054577,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
8,2,0.009527931921184063,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
8,3,0.009922387078404427,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
8,4,0.009946068748831749,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
8,5,0.010257275775074959,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
8,6,0.005583370104432106,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
9,0,0.030050987377762794,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
9,1,0.00866060983389616,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
9,2,0.008437766693532467,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
9,3,0.009741723537445068,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
9,4,0.010946353897452354,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
9,5,0.011212480254471302,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
9,6,0.004319331143051386,random,normalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,0,0.017297929152846336,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,1,0.008950491435825825,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,2,0.008918428793549538,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,3,0.009581134654581547,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,4,0.009652305394411087,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,5,0.0099503044039011,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
0,6,0.005395239684730768,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,0,0.017297925427556038,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,1,0.0066309114918112755,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,2,0.006771619897335768,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,3,0.0070398650132119656,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,4,0.0068864719942212105,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
1,5,0.007025872822850943,random,unnormalized,RANDOM,20241205175736,run_23_L4_H4_DH16_DM64_mess3
