seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.013727563433349133,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
0,1,0.008230469189584255,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
0,2,0.008039556443691254,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
0,3,0.004920369945466518,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
1,0,0.013727564364671707,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
1,1,0.00779589731246233,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
1,2,0.00790230929851532,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
1,3,0.005242214538156986,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
2,0,0.013727564364671707,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
2,1,0.00766424834728241,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
2,2,0.007866515778005123,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
2,3,0.004776906222105026,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
3,0,0.013727564364671707,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
3,1,0.00723764393478632,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
3,2,0.007263213861733675,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
3,3,0.004484564997255802,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
4,0,0.013727564364671707,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
4,1,0.009145479649305344,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
4,2,0.009373866021633148,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
4,3,0.006437588948756456,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
5,0,0.013727563433349133,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
5,1,0.008045142516493797,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
5,2,0.008358935825526714,random,normalized,RANDOM,20241205175736,run_5_L1_H4_DH16_DM64_fanizza
