seed,layer_index,MSE,random_or_trained,norm_type,checkpoint,sweep_id,run_id
0,0,0.08068279922008514,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
0,1,0.047471173107624054,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
0,2,0.04827450215816498,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
0,3,0.048757024109363556,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
0,4,0.035403113812208176,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
1,0,0.08068280667066574,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
1,1,0.04400031268596649,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
1,2,0.04104737564921379,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
1,3,0.040557000786066055,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
1,4,0.031201424077153206,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
2,0,0.08068279922008514,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
2,1,0.04334021732211113,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
2,2,0.044084906578063965,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
2,3,0.04488557577133179,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
2,4,0.032187849283218384,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
3,0,0.08068281412124634,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
3,1,0.049917273223400116,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
3,2,0.050684332847595215,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
3,3,0.05181049928069115,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
3,4,0.03713161498308182,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
4,0,0.08068279922008514,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
4,1,0.04636013135313988,random,normalized,RANDOM,20241205175736,run_8_L2_H4_DH16_DM64_post_quantum
