2024-01-18 16:17:52,975 INFO    StreamThr :54005 [internal.py:wandb_internal():86] W&B internal server running at pid: 54005, started at: 2024-01-18 16:17:52.974885
2024-01-18 16:17:52,976 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status
2024-01-18 16:17:52,983 INFO    WriterThread:54005 [datastore.py:open_for_write():85] open: /Users/adamimos/Documents/GitHub/epsilon-transformers/wandb/run-20240118_161752-ze8bdy5t/run-ze8bdy5t.wandb
2024-01-18 16:17:52,983 DEBUG   SenderThread:54005 [sender.py:send():382] send: header
2024-01-18 16:17:58,002 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:03,022 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:08,048 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:13,069 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:18,092 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:23,114 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:28,133 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:33,153 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:38,175 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:43,193 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:48,210 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:53,226 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:18:58,244 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:03,266 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:08,286 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:13,304 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:18,329 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:23,351 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:28,373 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:33,390 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:38,412 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:43,431 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:48,450 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:53,471 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:19:58,493 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:20:03,503 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:20:08,526 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:20:13,541 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:20:18,564 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:20:23,590 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:20:28,613 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:20:33,639 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
