| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    53.25%    |    0.6556     |      59.22%       |      54.53%      |
|   2   |    58.61%    |    0.6592     |      62.17%       |      60.97%      |
|   3   |    63.19%    |    0.6475     |      63.63%       |      65.07%      |
|   4   |    64.88%    |    0.6410     |      64.30%       |      66.53%      |
|   5   |    65.49%    |    0.6114     |      64.55%       |      66.19%      |
|   6   |    65.71%    |    0.6361     |      64.75%       |      66.93%      |
|   7   |    65.88%    |    0.6463     |      65.41%       |      67.32%      |
|   8   |    66.05%    |    0.6349     |      65.53%       |      66.90%      |
|   9   |    66.12%    |    0.6072     |      65.48%       |      66.75%      |
|  10   |    65.78%    |    0.6110     |      65.52%       |      66.81%      |
|  11   |    65.67%    |    0.6227     |      65.58%       |      67.08%      |
|  12   |    65.65%    |    0.6205     |      65.47%       |      66.19%      |
|  13   |    65.60%    |    0.6064     |      65.60%       |      66.30%      |
|  14   |    65.70%    |    0.6056     |      65.75%       |      66.90%      |
|  15   |    65.69%    |    0.6248     |      65.59%       |      66.59%      |
|  16   |    65.62%    |    0.6266     |      65.48%       |      66.20%      |
|  17   |    65.69%    |    0.6105     |      65.54%       |      66.29%      |
|  18   |    65.86%    |    0.6271     |      65.59%       |      66.90%      |
|  19   |    66.16%    |    0.6298     |      65.59%       |      67.00%      |
|  20   |    66.21%    |    0.6243     |      65.61%       |      67.15%      |
|  21   |    66.12%    |    0.6118     |      65.62%       |      67.11%      |
|  22   |    66.26%    |    0.6119     |      65.57%       |      67.23%      |
|  23   |    66.22%    |    0.6241     |      65.69%       |      67.47%      |
|  24   |    66.15%    |    0.6205     |      65.51%       |      66.99%      |
|  25   |    66.35%    |    0.5953     |      65.59%       |      67.21%      |
|  26   |    66.16%    |    0.6172     |      65.51%       |      67.15%      |
|  27   |    66.28%    |    0.5968     |      65.52%       |      67.29%      |
|  28   |    66.27%    |    0.6049     |      65.54%       |      67.22%      |
|  29   |    66.25%    |    0.6091     |      65.59%       |      67.45%      |
|  30   |    66.20%    |    0.6207     |      65.57%       |      67.35%      |
|  31   |    66.24%    |    0.6115     |      65.66%       |      67.36%      |
|  32   |    66.42%    |    0.6231     |      65.45%       |      66.97%      |
|  33   |    66.36%    |    0.5963     |      65.47%       |      66.98%      |
|  34   |    66.32%    |    0.5959     |      65.58%       |      67.60%      |
|  35   |    66.46%    |    0.6227     |      65.42%       |      67.34%      |
|  36   |    66.38%    |    0.5876     |      65.52%       |      67.39%      |
|  37   |    66.34%    |    0.5980     |      65.27%       |      67.15%      |
|  38   |    66.34%    |    0.5916     |      65.58%       |      67.19%      |
|  39   |    66.42%    |    0.6041     |      65.47%       |      67.05%      |
|  40   |    66.34%    |    0.6052     |      65.50%       |      67.65%      |
