| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.44%    |    0.6884     |      50.05%       |      49.53%      |
|   2   |    50.11%    |    0.7007     |      51.38%       |      53.29%      |
|   3   |    52.23%    |    0.6841     |      52.85%       |      52.00%      |
|   4   |    51.69%    |    0.6903     |      53.60%       |      52.01%      |
|   5   |    52.68%    |    0.6855     |      54.68%       |      52.60%      |
|   6   |    53.01%    |    0.6891     |      55.94%       |      52.95%      |
|   7   |    53.28%    |    0.6826     |      56.49%       |      53.45%      |
|   8   |    53.32%    |    0.6822     |      56.46%       |      52.77%      |
|   9   |    53.69%    |    0.6819     |      57.12%       |      53.89%      |
|  10   |    54.40%    |    0.6752     |      57.49%       |      54.37%      |
|  11   |    54.67%    |    0.6860     |      58.33%       |      54.06%      |
|  12   |    54.87%    |    0.6803     |      58.40%       |      54.46%      |
|  13   |    54.87%    |    0.6708     |      58.69%       |      55.06%      |
|  14   |    55.12%    |    0.6710     |      58.90%       |      55.37%      |
|  15   |    55.39%    |    0.6692     |      59.38%       |      55.36%      |
|  16   |    55.89%    |    0.6872     |      59.78%       |      55.56%      |
|  17   |    56.05%    |    0.6635     |      60.03%       |      55.77%      |
|  18   |    56.15%    |    0.6640     |      60.50%       |      56.26%      |
|  19   |    56.42%    |    0.6473     |      60.61%       |      56.47%      |
|  20   |    57.17%    |    0.6613     |      60.62%       |      57.25%      |
|  21   |    57.83%    |    0.6677     |      60.61%       |      57.74%      |
|  22   |    58.29%    |    0.6773     |      60.96%       |      58.32%      |
|  23   |    58.66%    |    0.6768     |      60.85%       |      58.41%      |
|  24   |    59.00%    |    0.6626     |      61.09%       |      59.10%      |
|  25   |    59.45%    |    0.6462     |      61.19%       |      59.34%      |
|  26   |    59.62%    |    0.6795     |      61.40%       |      59.67%      |
|  27   |    59.77%    |    0.6727     |      61.58%       |      60.10%      |
|  28   |    60.08%    |    0.6351     |      61.69%       |      60.12%      |
|  29   |    60.51%    |    0.6566     |      61.76%       |      60.52%      |
|  30   |    60.74%    |    0.6648     |      61.96%       |      60.82%      |
|  31   |    60.97%    |    0.6400     |      62.08%       |      60.85%      |
|  32   |    61.17%    |    0.6468     |      62.18%       |      61.03%      |
|  33   |    61.53%    |    0.6476     |      62.33%       |      61.58%      |
|  34   |    61.68%    |    0.6468     |      62.28%       |      61.11%      |
|  35   |    61.88%    |    0.6835     |      62.41%       |      61.42%      |
|  36   |    62.14%    |    0.6558     |      62.58%       |      61.87%      |
|  37   |    62.27%    |    0.6543     |      62.62%       |      61.81%      |
|  38   |    62.32%    |    0.6417     |      62.60%       |      61.73%      |
|  39   |    62.40%    |    0.6430     |      62.60%       |      61.73%      |
|  40   |    62.51%    |    0.6469     |      62.59%       |      62.10%      |
|  41   |    62.77%    |    0.6451     |      62.71%       |      62.40%      |
|  42   |    62.92%    |    0.6500     |      62.81%       |      62.51%      |
|  43   |    63.11%    |    0.6846     |      62.78%       |      62.54%      |
|  44   |    63.09%    |    0.6294     |      62.78%       |      62.68%      |
|  45   |    63.05%    |    0.6603     |      62.76%       |      62.23%      |
|  46   |    63.08%    |    0.6680     |      62.78%       |      62.39%      |
|  47   |    63.33%    |    0.6431     |      62.79%       |      62.97%      |
|  48   |    63.58%    |    0.6577     |      62.79%       |      63.00%      |
|  49   |    63.75%    |    0.6463     |      62.85%       |      63.26%      |
|  50   |    63.96%    |    0.6441     |      62.97%       |      63.36%      |
|  51   |    64.25%    |    0.6374     |      62.92%       |      63.92%      |
|  52   |    64.37%    |    0.6665     |      62.98%       |      64.16%      |
|  53   |    64.57%    |    0.6469     |      62.96%       |      64.09%      |
|  54   |    64.60%    |    0.6389     |      63.01%       |      64.29%      |
|  55   |    64.63%    |    0.6455     |      63.06%       |      64.25%      |
|  56   |    64.64%    |    0.6343     |      63.03%       |      64.29%      |
|  57   |    64.66%    |    0.6390     |      63.08%       |      64.21%      |
|  58   |    64.67%    |    0.6768     |      63.06%       |      64.33%      |
|  59   |    64.76%    |    0.6275     |      63.11%       |      64.11%      |
|  60   |    64.76%    |    0.6487     |      63.23%       |      64.62%      |
|  61   |    64.89%    |    0.6411     |      63.33%       |      64.55%      |
|  62   |    65.01%    |    0.6608     |      63.39%       |      64.65%      |
|  63   |    65.04%    |    0.6506     |      63.27%       |      64.47%      |
|  64   |    65.11%    |    0.6452     |      63.41%       |      64.64%      |
|  65   |    65.19%    |    0.6304     |      63.39%       |      64.74%      |
|  66   |    65.30%    |    0.6254     |      63.43%       |      64.95%      |
|  67   |    65.59%    |    0.5846     |      63.55%       |      65.12%      |
|  68   |    65.59%    |    0.6667     |      63.49%       |      65.05%      |
|  69   |    65.64%    |    0.6179     |      63.50%       |      65.05%      |
