| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.31%    |    0.7053     |      50.78%       |      51.03%      |
|   2   |    51.07%    |    0.6977     |      51.18%       |      54.91%      |
|   3   |    53.28%    |    0.6890     |      52.58%       |      51.98%      |
|   4   |    52.12%    |    0.6886     |      53.83%       |      52.23%      |
|   5   |    52.70%    |    0.6896     |      55.29%       |      52.79%      |
|   6   |    52.80%    |    0.6847     |      56.73%       |      52.81%      |
|   7   |    52.69%    |    0.6816     |      56.26%       |      53.77%      |
|   8   |    53.74%    |    0.6834     |      56.81%       |      54.30%      |
|   9   |    54.06%    |    0.6781     |      56.73%       |      54.78%      |
|  10   |    54.58%    |    0.6851     |      57.17%       |      54.74%      |
|  11   |    54.77%    |    0.6791     |      57.68%       |      55.60%      |
|  12   |    54.94%    |    0.6717     |      58.29%       |      55.69%      |
|  13   |    54.87%    |    0.6735     |      58.56%       |      55.62%      |
|  14   |    55.12%    |    0.6718     |      58.62%       |      55.72%      |
|  15   |    55.11%    |    0.6657     |      59.09%       |      55.78%      |
|  16   |    55.29%    |    0.6547     |      59.41%       |      55.68%      |
|  17   |    55.59%    |    0.6766     |      60.02%       |      56.10%      |
|  18   |    56.07%    |    0.6536     |      60.13%       |      56.62%      |
|  19   |    56.52%    |    0.6654     |      60.20%       |      57.01%      |
|  20   |    57.00%    |    0.6717     |      60.27%       |      57.21%      |
|  21   |    57.28%    |    0.6641     |      60.41%       |      57.74%      |
|  22   |    57.89%    |    0.6421     |      60.63%       |      58.31%      |
|  23   |    58.37%    |    0.6447     |      60.61%       |      58.75%      |
|  24   |    58.64%    |    0.6617     |      60.70%       |      59.30%      |
|  25   |    59.35%    |    0.6693     |      60.68%       |      59.35%      |
|  26   |    59.59%    |    0.6505     |      61.27%       |      59.83%      |
|  27   |    59.83%    |    0.6659     |      61.19%       |      60.08%      |
|  28   |    60.06%    |    0.6570     |      61.08%       |      60.21%      |
|  29   |    60.29%    |    0.6529     |      61.22%       |      60.54%      |
|  30   |    60.46%    |    0.6486     |      61.57%       |      60.71%      |
|  31   |    60.57%    |    0.6642     |      61.58%       |      60.65%      |
|  32   |    60.83%    |    0.6498     |      61.70%       |      61.15%      |
|  33   |    61.02%    |    0.6566     |      62.10%       |      61.30%      |
|  34   |    61.10%    |    0.6675     |      62.04%       |      61.27%      |
|  35   |    61.25%    |    0.6501     |      62.21%       |      61.72%      |
|  36   |    61.50%    |    0.6606     |      62.39%       |      62.20%      |
|  37   |    61.78%    |    0.6680     |      62.43%       |      62.34%      |
|  38   |    61.95%    |    0.6533     |      62.38%       |      62.13%      |
|  39   |    62.10%    |    0.6730     |      62.34%       |      62.29%      |
|  40   |    62.22%    |    0.6532     |      62.52%       |      62.53%      |
|  41   |    62.33%    |    0.6388     |      62.62%       |      62.35%      |
|  42   |    62.54%    |    0.6327     |      62.60%       |      62.46%      |
|  43   |    62.63%    |    0.6593     |      62.78%       |      62.91%      |
|  44   |    62.77%    |    0.6589     |      62.69%       |      62.87%      |
|  45   |    62.88%    |    0.6600     |      62.62%       |      63.11%      |
|  46   |    62.87%    |    0.6205     |      62.82%       |      62.72%      |
|  47   |    63.03%    |    0.6525     |      62.83%       |      63.30%      |
|  48   |    63.16%    |    0.6723     |      62.82%       |      63.36%      |
|  49   |    63.38%    |    0.6598     |      62.81%       |      63.51%      |
|  50   |    63.45%    |    0.6570     |      62.81%       |      63.64%      |
|  51   |    63.53%    |    0.6324     |      62.83%       |      63.57%      |
|  52   |    63.54%    |    0.6223     |      62.83%       |      63.49%      |
|  53   |    63.61%    |    0.6266     |      62.68%       |      63.71%      |
|  54   |    63.67%    |    0.6505     |      62.94%       |      63.64%      |
|  55   |    63.77%    |    0.6679     |      62.93%       |      63.61%      |
|  56   |    63.84%    |    0.6213     |      62.92%       |      63.86%      |
|  57   |    64.10%    |    0.6605     |      63.01%       |      64.02%      |
|  58   |    64.13%    |    0.6391     |      62.89%       |      63.74%      |
|  59   |    64.13%    |    0.6385     |      63.04%       |      63.99%      |
|  60   |    64.19%    |    0.6439     |      63.15%       |      63.91%      |
|  61   |    64.36%    |    0.6249     |      63.22%       |      63.96%      |
|  62   |    64.51%    |    0.6363     |      63.20%       |      64.14%      |
|  63   |    64.57%    |    0.6501     |      63.05%       |      64.21%      |
|  64   |    64.57%    |    0.6323     |      63.03%       |      64.20%      |
|  65   |    64.77%    |    0.6483     |      63.23%       |      64.35%      |
|  66   |    64.78%    |    0.6509     |      63.13%       |      64.29%      |
|  67   |    64.84%    |    0.6507     |      63.14%       |      64.43%      |
|  68   |    64.87%    |    0.6275     |      63.36%       |      64.70%      |
|  69   |    64.95%    |    0.6620     |      63.19%       |      64.43%      |
|  70   |    64.98%    |    0.6656     |      63.28%       |      64.53%      |
|  71   |    65.01%    |    0.6522     |      63.17%       |      64.74%      |
|  72   |    65.01%    |    0.6322     |      63.10%       |      64.68%      |
|  73   |    65.02%    |    0.6671     |      63.31%       |      64.54%      |
|  74   |    65.06%    |    0.6550     |      63.31%       |      64.82%      |
|  75   |    65.04%    |    0.6278     |      63.29%       |      64.67%      |
|  76   |    65.10%    |    0.6228     |      63.34%       |      64.74%      |
|  77   |    65.09%    |    0.6445     |      63.20%       |      64.70%      |
|  78   |    65.13%    |    0.6439     |      63.36%       |      64.63%      |
|  79   |    65.05%    |    0.6405     |      63.52%       |      64.70%      |
|  80   |    65.07%    |    0.6574     |      63.40%       |      64.63%      |
|  81   |    65.08%    |    0.6646     |      63.34%       |      64.56%      |
|  82   |    65.12%    |    0.6434     |      63.42%       |      64.70%      |
|  83   |    65.12%    |    0.6365     |      63.43%       |      64.63%      |
|  84   |    65.13%    |    0.6495     |      63.38%       |      64.77%      |
|  85   |    65.20%    |    0.6466     |      63.51%       |      64.87%      |
|  86   |    65.17%    |    0.6586     |      63.36%       |      64.73%      |
|  87   |    65.21%    |    0.6296     |      63.50%       |      65.01%      |
|  88   |    65.20%    |    0.6330     |      63.49%       |      65.08%      |
|  89   |    65.21%    |    0.6446     |      63.55%       |      65.03%      |
|  90   |    65.23%    |    0.6449     |      63.57%       |      64.95%      |
|  91   |    65.21%    |    0.6285     |      63.55%       |      65.16%      |
|  92   |    65.25%    |    0.6532     |      63.61%       |      64.95%      |
|  93   |    65.24%    |    0.6388     |      63.48%       |      64.97%      |
|  94   |    65.24%    |    0.6316     |      63.44%       |      64.67%      |
|  95   |    65.29%    |    0.6400     |      63.63%       |      65.05%      |
|  96   |    65.24%    |    0.6569     |      63.66%       |      65.17%      |
|  97   |    65.30%    |    0.6436     |      63.74%       |      65.03%      |
|  98   |    65.32%    |    0.6159     |      63.72%       |      65.09%      |
|  99   |    65.31%    |    0.6428     |      63.53%       |      65.23%      |
|  100  |    65.34%    |    0.6220     |      63.73%       |      65.10%      |
|  101  |    65.36%    |    0.6255     |      63.78%       |      65.04%      |
|  102  |    65.34%    |    0.6237     |      63.75%       |      64.82%      |
|  103  |    65.43%    |    0.6335     |      63.74%       |      64.99%      |
|  104  |    65.45%    |    0.6277     |      63.74%       |      65.08%      |
|  105  |    65.45%    |    0.6316     |      63.80%       |      65.14%      |
|  106  |    65.46%    |    0.6631     |      63.72%       |      65.14%      |
|  107  |    65.37%    |    0.6408     |      63.65%       |      65.07%      |
|  108  |    65.50%    |    0.6259     |      63.67%       |      65.00%      |
|  109  |    65.43%    |    0.5810     |      63.85%       |      65.13%      |
|  110  |    65.47%    |    0.6466     |      63.84%       |      65.13%      |
|  111  |    65.46%    |    0.6440     |      63.79%       |      65.01%      |
|  112  |    65.47%    |    0.6242     |      63.87%       |      65.00%      |
|  113  |    65.43%    |    0.6573     |      63.83%       |      65.20%      |
|  114  |    65.50%    |    0.6364     |      63.84%       |      65.13%      |
|  115  |    65.48%    |    0.6623     |      63.85%       |      65.06%      |
|  116  |    65.48%    |    0.6482     |      63.87%       |      65.20%      |
|  117  |    65.52%    |    0.6080     |      63.75%       |      65.00%      |
|  118  |    65.50%    |    0.6662     |      63.90%       |      65.13%      |
|  119  |    65.51%    |    0.6390     |      63.77%       |      64.99%      |
|  120  |    65.52%    |    0.6541     |      63.72%       |      65.06%      |
|  121  |    65.52%    |    0.6238     |      63.85%       |      64.99%      |
