| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.44%    |    0.6884     |      50.05%       |      49.53%      |
|   2   |    50.11%    |    0.7007     |      51.38%       |      53.29%      |
|   3   |    52.23%    |    0.6841     |      52.85%       |      52.02%      |
|   4   |    51.69%    |    0.6903     |      53.60%       |      52.01%      |
|   5   |    52.68%    |    0.6855     |      54.68%       |      52.60%      |
|   6   |    53.00%    |    0.6891     |      55.94%       |      52.95%      |
|   7   |    53.29%    |    0.6826     |      56.49%       |      53.45%      |
|   8   |    53.33%    |    0.6822     |      56.46%       |      52.77%      |
|   9   |    53.69%    |    0.6819     |      57.07%       |      53.89%      |
|  10   |    54.40%    |    0.6752     |      57.49%       |      54.37%      |
|  11   |    54.68%    |    0.6860     |      58.38%       |      54.06%      |
|  12   |    54.88%    |    0.6803     |      58.40%       |      54.46%      |
|  13   |    54.87%    |    0.6708     |      58.68%       |      54.95%      |
|  14   |    55.11%    |    0.6710     |      58.93%       |      55.52%      |
|  15   |    55.39%    |    0.6692     |      59.38%       |      55.36%      |
|  16   |    55.89%    |    0.6872     |      59.78%       |      55.56%      |
|  17   |    56.06%    |    0.6635     |      60.03%       |      55.77%      |
|  18   |    56.16%    |    0.6640     |      60.51%       |      56.39%      |
|  19   |    56.42%    |    0.6473     |      60.61%       |      56.47%      |
|  20   |    57.17%    |    0.6613     |      60.61%       |      57.12%      |
|  21   |    57.83%    |    0.6676     |      60.61%       |      57.74%      |
|  22   |    58.29%    |    0.6773     |      60.96%       |      58.32%      |
|  23   |    58.65%    |    0.6768     |      60.87%       |      58.41%      |
|  24   |    59.00%    |    0.6626     |      61.09%       |      59.10%      |
|  25   |    59.45%    |    0.6462     |      61.19%       |      59.34%      |
|  26   |    59.63%    |    0.6795     |      61.40%       |      59.67%      |
|  27   |    59.78%    |    0.6727     |      61.58%       |      60.10%      |
|  28   |    60.07%    |    0.6351     |      61.69%       |      60.12%      |
|  29   |    60.52%    |    0.6566     |      61.76%       |      60.52%      |
|  30   |    60.74%    |    0.6648     |      61.96%       |      60.82%      |
|  31   |    60.97%    |    0.6400     |      62.08%       |      60.85%      |
|  32   |    61.18%    |    0.6469     |      62.18%       |      61.03%      |
|  33   |    61.52%    |    0.6476     |      62.33%       |      61.58%      |
|  34   |    61.68%    |    0.6468     |      62.28%       |      61.11%      |
|  35   |    61.87%    |    0.6835     |      62.41%       |      61.42%      |
|  36   |    62.13%    |    0.6558     |      62.58%       |      61.87%      |
|  37   |    62.26%    |    0.6544     |      62.62%       |      61.81%      |
|  38   |    62.31%    |    0.6417     |      62.60%       |      61.73%      |
|  39   |    62.42%    |    0.6430     |      62.60%       |      61.73%      |
|  40   |    62.50%    |    0.6469     |      62.59%       |      62.10%      |
|  41   |    62.74%    |    0.6451     |      62.71%       |      62.40%      |
|  42   |    62.91%    |    0.6500     |      62.81%       |      62.51%      |
|  43   |    63.13%    |    0.6846     |      62.78%       |      62.54%      |
|  44   |    63.10%    |    0.6295     |      62.78%       |      62.68%      |
|  45   |    63.07%    |    0.6603     |      62.75%       |      62.23%      |
|  46   |    63.09%    |    0.6680     |      62.78%       |      62.39%      |
|  47   |    63.31%    |    0.6431     |      62.79%       |      62.97%      |
|  48   |    63.55%    |    0.6577     |      62.79%       |      63.00%      |
|  49   |    63.74%    |    0.6463     |      62.85%       |      63.26%      |
|  50   |    63.95%    |    0.6441     |      62.97%       |      63.36%      |
|  51   |    64.24%    |    0.6374     |      62.92%       |      63.92%      |
|  52   |    64.36%    |    0.6665     |      62.98%       |      64.16%      |
|  53   |    64.58%    |    0.6469     |      62.97%       |      64.21%      |
|  54   |    64.62%    |    0.6389     |      63.03%       |      64.29%      |
|  55   |    64.63%    |    0.6455     |      63.06%       |      64.25%      |
|  56   |    64.62%    |    0.6343     |      63.03%       |      64.29%      |
|  57   |    64.67%    |    0.6389     |      63.08%       |      64.21%      |
|  58   |    64.69%    |    0.6767     |      63.06%       |      64.33%      |
|  59   |    64.80%    |    0.6274     |      63.11%       |      64.11%      |
|  60   |    64.77%    |    0.6485     |      63.24%       |      64.62%      |
|  61   |    64.92%    |    0.6411     |      63.33%       |      64.55%      |
|  62   |    65.01%    |    0.6608     |      63.39%       |      64.65%      |
|  63   |    65.05%    |    0.6506     |      63.31%       |      64.57%      |
|  64   |    65.10%    |    0.6453     |      63.41%       |      64.61%      |
|  65   |    65.18%    |    0.6305     |      63.39%       |      64.74%      |
|  66   |    65.29%    |    0.6254     |      63.43%       |      64.95%      |
|  67   |    65.56%    |    0.5846     |      63.58%       |      65.12%      |
|  68   |    65.57%    |    0.6667     |      63.49%       |      65.05%      |
|  69   |    65.63%    |    0.6178     |      63.49%       |      65.05%      |
[34m[1mwandb[39m[22m: Ctrl + C detected. Stopping sweep.
