| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.37%    |    0.6867     |      50.21%       |      50.49%      |
|   2   |    52.33%    |    0.6951     |      52.91%       |      52.21%      |
|   3   |    52.08%    |    0.6815     |      55.19%       |      52.59%      |
|   4   |    52.72%    |    0.6861     |      55.92%       |      52.84%      |
|   5   |    53.59%    |    0.6789     |      56.30%       |      52.92%      |
|   6   |    53.79%    |    0.6853     |      57.16%       |      54.23%      |
|   7   |    54.63%    |    0.6729     |      58.54%       |      55.18%      |
|   8   |    55.01%    |    0.6726     |      58.53%       |      54.29%      |
|   9   |    55.08%    |    0.6688     |      58.74%       |      55.25%      |
|  10   |    55.53%    |    0.6611     |      59.59%       |      55.85%      |
|  11   |    55.89%    |    0.6783     |      59.81%       |      55.70%      |
[34m[1mwandb[39m[22m: Ctrl + C detected. Stopping sweep.
