| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.99%    |    0.6958     |      50.57%       |      49.97%      |
|   2   |    51.07%    |    0.6996     |      50.62%       |      54.44%      |
|   3   |    52.60%    |    0.6879     |      52.61%       |      51.92%      |
|   4   |    52.26%    |    0.6893     |      53.08%       |      51.80%      |
|   5   |    52.59%    |    0.6864     |      55.06%       |      52.36%      |
|   6   |    52.46%    |    0.6881     |      55.03%       |      51.93%      |
|   7   |    52.55%    |    0.6853     |      56.17%       |      53.26%      |
|   8   |    53.51%    |    0.6772     |      56.09%       |      53.87%      |
|   9   |    53.79%    |    0.6746     |      56.60%       |      54.26%      |
|  10   |    54.07%    |    0.6737     |      57.47%       |      54.52%      |
|  11   |    54.53%    |    0.6741     |      58.55%       |      55.08%      |
[34m[1mwandb[39m[22m: Ctrl + C detected. Stopping sweep.
