| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.99%    |    0.6958     |      50.57%       |      49.97%      |
|   2   |    51.07%    |    0.6996     |      50.62%       |      54.44%      |
|   3   |    52.60%    |    0.6879     |      52.61%       |      51.92%      |
|   4   |    52.26%    |    0.6893     |      53.08%       |      51.80%      |
|   5   |    52.59%    |    0.6864     |      55.06%       |      52.36%      |
|   6   |    52.46%    |    0.6881     |      55.03%       |      51.93%      |
|   7   |    52.55%    |    0.6853     |      56.17%       |      53.26%      |
|   8   |    53.51%    |    0.6772     |      56.09%       |      53.87%      |
|   9   |    53.79%    |    0.6746     |      56.60%       |      54.26%      |
|  10   |    54.07%    |    0.6737     |      57.47%       |      54.52%      |
|  11   |    54.53%    |    0.6741     |      58.55%       |      55.08%      |
|  12   |    54.67%    |    0.6703     |      58.68%       |      54.62%      |
|  13   |    54.76%    |    0.6724     |      58.78%       |      55.04%      |
|  14   |    54.87%    |    0.6681     |      59.11%       |      55.40%      |
|  15   |    54.94%    |    0.6845     |      59.52%       |      54.90%      |
|  16   |    55.03%    |    0.6769     |      59.72%       |      55.57%      |
|  17   |    55.21%    |    0.6650     |      60.14%       |      55.35%      |
|  18   |    55.59%    |    0.6796     |      60.44%       |      56.08%      |
|  19   |    56.22%    |    0.6710     |      60.76%       |      56.33%      |
|  20   |    56.86%    |    0.6716     |      60.74%       |      57.20%      |
|  21   |    57.50%    |    0.6552     |      60.68%       |      57.52%      |
|  22   |    58.01%    |    0.6403     |      60.60%       |      57.77%      |
|  23   |    58.38%    |    0.6646     |      60.71%       |      58.25%      |
|  24   |    58.78%    |    0.6415     |      60.93%       |      58.36%      |
|  25   |    59.05%    |    0.6648     |      61.07%       |      58.63%      |
|  26   |    59.38%    |    0.6855     |      61.18%       |      59.57%      |
|  27   |    59.63%    |    0.6524     |      61.37%       |      59.50%      |
|  28   |    59.91%    |    0.6541     |      61.99%       |      60.03%      |
|  29   |    60.01%    |    0.6566     |      61.76%       |      60.44%      |
|  30   |    60.26%    |    0.6684     |      61.72%       |      60.27%      |
|  31   |    60.43%    |    0.6494     |      62.11%       |      60.45%      |
|  32   |    60.62%    |    0.6615     |      62.52%       |      60.58%      |
|  33   |    60.78%    |    0.6602     |      62.55%       |      61.21%      |
|  34   |    61.04%    |    0.6392     |      62.47%       |      60.97%      |
|  35   |    61.27%    |    0.6585     |      62.56%       |      61.43%      |
|  36   |    61.41%    |    0.6357     |      62.67%       |      61.95%      |
|  37   |    61.60%    |    0.6517     |      62.61%       |      62.23%      |
|  38   |    61.87%    |    0.6496     |      62.84%       |      62.20%      |
|  39   |    61.96%    |    0.6534     |      62.83%       |      62.22%      |
|  40   |    62.02%    |    0.6546     |      62.81%       |      62.69%      |
|  41   |    62.08%    |    0.6520     |      63.07%       |      62.55%      |
|  42   |    62.17%    |    0.6572     |      62.95%       |      63.05%      |
|  43   |    62.32%    |    0.6729     |      63.02%       |      63.19%      |
|  44   |    62.60%    |    0.6567     |      63.23%       |      62.92%      |
|  45   |    62.82%    |    0.6529     |      63.25%       |      63.57%      |
|  46   |    62.96%    |    0.6374     |      63.24%       |      64.00%      |
|  47   |    63.20%    |    0.6622     |      63.45%       |      63.69%      |
|  48   |    63.32%    |    0.6502     |      63.32%       |      63.51%      |
