| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.44%    |    0.6884     |      50.05%       |      49.53%      |
|   2   |    50.11%    |    0.7007     |      51.38%       |      53.29%      |
|   3   |    52.24%    |    0.6841     |      52.85%       |      52.00%      |
|   4   |    51.70%    |    0.6903     |      53.60%       |      52.01%      |
|   5   |    52.65%    |    0.6855     |      54.90%       |      52.60%      |
|   6   |    53.02%    |    0.6891     |      55.96%       |      52.95%      |
|   7   |    53.27%    |    0.6826     |      56.53%       |      53.45%      |
|   8   |    53.32%    |    0.6823     |      56.46%       |      52.77%      |
|   9   |    53.65%    |    0.6819     |      57.11%       |      53.89%      |
|  10   |    54.38%    |    0.6753     |      57.49%       |      54.37%      |
|  11   |    54.68%    |    0.6860     |      58.33%       |      54.06%      |
|  12   |    54.86%    |    0.6803     |      58.40%       |      54.46%      |
|  13   |    54.85%    |    0.6709     |      58.69%       |      55.06%      |
|  14   |    55.12%    |    0.6711     |      58.91%       |      55.37%      |
|  15   |    55.37%    |    0.6692     |      59.38%       |      55.36%      |
|  16   |    55.84%    |    0.6873     |      59.78%       |      55.56%      |
|  17   |    56.00%    |    0.6636     |      60.03%       |      55.77%      |
|  18   |    56.10%    |    0.6641     |      60.49%       |      56.16%      |
|  19   |    56.36%    |    0.6474     |      60.61%       |      56.47%      |
|  20   |    57.13%    |    0.6613     |      60.61%       |      57.12%      |
|  21   |    57.79%    |    0.6677     |      60.56%       |      57.64%      |
|  22   |    58.21%    |    0.6774     |      60.95%       |      58.21%      |
|  23   |    58.60%    |    0.6768     |      60.86%       |      58.29%      |
|  24   |    58.85%    |    0.6627     |      61.09%       |      59.10%      |
|  25   |    59.35%    |    0.6463     |      61.19%       |      59.38%      |
|  26   |    59.50%    |    0.6796     |      61.40%       |      59.73%      |
|  27   |    59.68%    |    0.6728     |      61.58%       |      60.05%      |
|  28   |    60.02%    |    0.6352     |      61.70%       |      60.17%      |
|  29   |    60.47%    |    0.6568     |      61.74%       |      60.36%      |
|  30   |    60.71%    |    0.6649     |      61.96%       |      60.73%      |
|  31   |    60.90%    |    0.6402     |      62.07%       |      60.73%      |
|  32   |    61.10%    |    0.6470     |      62.16%       |      60.88%      |
|  33   |    61.38%    |    0.6474     |      62.31%       |      61.30%      |
|  34   |    61.65%    |    0.6470     |      62.28%       |      61.11%      |
|  35   |    61.75%    |    0.6835     |      62.34%       |      61.34%      |
|  36   |    62.08%    |    0.6559     |      62.46%       |      61.72%      |
|  37   |    62.22%    |    0.6546     |      62.52%       |      61.81%      |
|  38   |    62.30%    |    0.6417     |      62.59%       |      61.68%      |
|  39   |    62.39%    |    0.6432     |      62.61%       |      61.82%      |
|  40   |    62.43%    |    0.6472     |      62.65%       |      62.05%      |
|  41   |    62.66%    |    0.6452     |      62.70%       |      62.27%      |
|  42   |    62.79%    |    0.6501     |      62.80%       |      62.39%      |
|  43   |    63.07%    |    0.6848     |      62.77%       |      62.52%      |
|  44   |    63.08%    |    0.6296     |      62.77%       |      62.62%      |
|  45   |    63.08%    |    0.6606     |      62.75%       |      62.19%      |
|  46   |    63.06%    |    0.6679     |      62.75%       |      62.11%      |
|  47   |    63.20%    |    0.6429     |      62.77%       |      62.73%      |
|  48   |    63.46%    |    0.6578     |      62.80%       |      62.97%      |
|  49   |    63.70%    |    0.6463     |      62.86%       |      63.17%      |
|  50   |    63.90%    |    0.6441     |      62.97%       |      63.28%      |
|  51   |    64.10%    |    0.6374     |      62.94%       |      63.72%      |
|  52   |    64.25%    |    0.6663     |      62.99%       |      64.21%      |
|  53   |    64.46%    |    0.6468     |      63.03%       |      64.21%      |
|  54   |    64.61%    |    0.6391     |      63.05%       |      64.16%      |
|  55   |    64.61%    |    0.6459     |      63.07%       |      64.29%      |
|  56   |    64.64%    |    0.6342     |      63.02%       |      64.31%      |
|  57   |    64.64%    |    0.6389     |      63.05%       |      64.23%      |
|  58   |    64.68%    |    0.6766     |      63.05%       |      64.33%      |
|  59   |    64.70%    |    0.6276     |      63.06%       |      64.11%      |
|  60   |    64.72%    |    0.6483     |      63.24%       |      64.62%      |
|  61   |    64.87%    |    0.6410     |      63.28%       |      64.55%      |
|  62   |    64.99%    |    0.6611     |      63.24%       |      64.65%      |
|  63   |    65.05%    |    0.6507     |      63.29%       |      64.44%      |
|  64   |    65.10%    |    0.6455     |      63.32%       |      64.61%      |
|  65   |    65.16%    |    0.6302     |      63.30%       |      64.58%      |
|  66   |    65.26%    |    0.6254     |      63.38%       |      64.65%      |
|  67   |    65.36%    |    0.5849     |      63.45%       |      64.82%      |
|  68   |    65.43%    |    0.6670     |      63.34%       |      64.75%      |
|  69   |    65.56%    |    0.6180     |      63.46%       |      65.05%      |
