| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.31%    |    0.7053     |      50.78%       |      51.03%      |
|   2   |    51.05%    |    0.6977     |      51.17%       |      54.84%      |
|   3   |    53.29%    |    0.6890     |      52.56%       |      51.98%      |
|   4   |    52.11%    |    0.6888     |      53.83%       |      52.23%      |
|   5   |    52.62%    |    0.6896     |      55.19%       |      52.66%      |
|   6   |    52.80%    |    0.6848     |      56.43%       |      52.94%      |
|   7   |    52.60%    |    0.6820     |      56.37%       |      53.77%      |
|   8   |    53.65%    |    0.6838     |      56.82%       |      54.08%      |
|   9   |    53.94%    |    0.6786     |      56.81%       |      54.43%      |
|  10   |    54.52%    |    0.6853     |      57.12%       |      54.93%      |
|  11   |    54.71%    |    0.6795     |      57.51%       |      55.61%      |
|  12   |    54.88%    |    0.6722     |      57.94%       |      55.27%      |
|  13   |    54.66%    |    0.6739     |      58.54%       |      55.40%      |
|  14   |    54.98%    |    0.6727     |      58.52%       |      55.73%      |
|  15   |    54.96%    |    0.6665     |      58.70%       |      55.20%      |
|  16   |    54.97%    |    0.6555     |      58.94%       |      55.15%      |
|  17   |    55.02%    |    0.6773     |      59.76%       |      55.65%      |
|  18   |    55.41%    |    0.6543     |      59.97%       |      55.78%      |
|  19   |    55.99%    |    0.6661     |      60.13%       |      56.25%      |
|  20   |    56.42%    |    0.6724     |      60.27%       |      57.13%      |
|  21   |    56.85%    |    0.6646     |      60.40%       |      57.26%      |
|  22   |    57.21%    |    0.6426     |      60.45%       |      57.74%      |
|  23   |    57.59%    |    0.6453     |      60.42%       |      57.90%      |
|  24   |    57.71%    |    0.6628     |      60.48%       |      58.52%      |
|  25   |    58.30%    |    0.6698     |      60.52%       |      58.60%      |
|  26   |    58.67%    |    0.6507     |      61.12%       |      59.21%      |
|  27   |    59.20%    |    0.6666     |      61.05%       |      59.59%      |
|  28   |    59.45%    |    0.6576     |      61.03%       |      59.71%      |
|  29   |    59.72%    |    0.6538     |      61.14%       |      59.76%      |
|  30   |    59.81%    |    0.6491     |      61.25%       |      60.06%      |
|  31   |    59.93%    |    0.6650     |      61.43%       |      59.93%      |
|  32   |    60.16%    |    0.6513     |      61.38%       |      60.42%      |
|  33   |    60.42%    |    0.6582     |      62.04%       |      61.05%      |
|  34   |    60.65%    |    0.6685     |      61.88%       |      60.60%      |
|  35   |    60.75%    |    0.6506     |      62.05%       |      61.21%      |
|  36   |    60.76%    |    0.6624     |      62.11%       |      61.03%      |
|  37   |    60.94%    |    0.6690     |      62.14%       |      61.19%      |
|  38   |    60.91%    |    0.6537     |      62.11%       |      60.84%      |
|  39   |    61.08%    |    0.6747     |      62.23%       |      61.58%      |
|  40   |    61.32%    |    0.6535     |      62.36%       |      61.59%      |
|  41   |    61.57%    |    0.6387     |      62.43%       |      61.80%      |
|  42   |    61.69%    |    0.6350     |      62.56%       |      61.86%      |
|  43   |    61.89%    |    0.6601     |      62.58%       |      62.20%      |
|  44   |    61.91%    |    0.6598     |      62.53%       |      62.16%      |
|  45   |    62.14%    |    0.6611     |      62.38%       |      62.26%      |
|  46   |    62.12%    |    0.6219     |      62.55%       |      62.12%      |
|  47   |    62.30%    |    0.6537     |      62.59%       |      62.58%      |
|  48   |    62.44%    |    0.6742     |      62.61%       |      62.54%      |
|  49   |    62.46%    |    0.6607     |      62.64%       |      62.78%      |
|  50   |    62.50%    |    0.6577     |      62.69%       |      62.79%      |
|  51   |    62.62%    |    0.6327     |      62.68%       |      63.01%      |
|  52   |    62.87%    |    0.6240     |      62.76%       |      63.01%      |
|  53   |    62.97%    |    0.6270     |      62.60%       |      63.23%      |
|  54   |    63.03%    |    0.6510     |      62.91%       |      63.20%      |
|  55   |    63.08%    |    0.6682     |      62.87%       |      63.14%      |
|  56   |    63.14%    |    0.6231     |      62.91%       |      63.42%      |
|  57   |    63.19%    |    0.6618     |      62.92%       |      63.42%      |
|  58   |    63.26%    |    0.6399     |      62.79%       |      63.12%      |
|  59   |    63.34%    |    0.6384     |      63.02%       |      63.51%      |
