| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    52.23%    |    0.6810     |      56.90%       |      52.98%      |
|   2   |    55.55%    |    0.6549     |      60.16%       |      57.04%      |
|   3   |    59.88%    |    0.6505     |      62.12%       |      61.87%      |
|   4   |    62.75%    |    0.6575     |      63.07%       |      64.78%      |
|   5   |    65.00%    |    0.6453     |      63.52%       |      65.88%      |
|   6   |    65.68%    |    0.6151     |      64.00%       |      65.87%      |
|   7   |    66.05%    |    0.6252     |      64.18%       |      66.12%      |
|   8   |    66.15%    |    0.6413     |      64.39%       |      66.47%      |
|   9   |    66.19%    |    0.6373     |      64.47%       |      66.33%      |
|  10   |    66.21%    |    0.6283     |      64.41%       |      66.04%      |
|  11   |    66.37%    |    0.6382     |      64.52%       |      66.47%      |
|  12   |    66.61%    |    0.6156     |      64.89%       |      66.65%      |
|  13   |    66.69%    |    0.6373     |      64.95%       |      66.86%      |
|  14   |    66.78%    |    0.6453     |      65.05%       |      66.87%      |
|  15   |    66.80%    |    0.6185     |      65.10%       |      67.07%      |
|  16   |    66.85%    |    0.6252     |      64.99%       |      66.82%      |
|  17   |    66.82%    |    0.6446     |      65.19%       |      66.82%      |
|  18   |    66.87%    |    0.6343     |      65.22%       |      67.14%      |
|  19   |    66.77%    |    0.6252     |      65.07%       |      66.45%      |
|  20   |    66.73%    |    0.6338     |      65.10%       |      66.97%      |
|  21   |    66.66%    |    0.6482     |      65.22%       |      67.09%      |
|  22   |    66.69%    |    0.6186     |      65.17%       |      67.12%      |
|  23   |    66.58%    |    0.6331     |      65.18%       |      66.76%      |
|  24   |    66.58%    |    0.5768     |      65.07%       |      66.44%      |
|  25   |    66.52%    |    0.6208     |      65.18%       |      66.85%      |
|  26   |    66.51%    |    0.6091     |      65.10%       |      66.24%      |
|  27   |    66.61%    |    0.6162     |      65.16%       |      66.70%      |
|  28   |    66.56%    |    0.6225     |      65.05%       |      66.89%      |
|  29   |    66.51%    |    0.6004     |      65.14%       |      66.81%      |
|  30   |    66.55%    |    0.6075     |      65.05%       |      66.56%      |
|  31   |    66.53%    |    0.6236     |      65.14%       |      66.75%      |
|  32   |    66.69%    |    0.6220     |      65.12%       |      66.77%      |
|  33   |    66.63%    |    0.6145     |      65.03%       |      66.45%      |
|  34   |    66.62%    |    0.6124     |      65.09%       |      66.30%      |
|  35   |    66.75%    |    0.6176     |      65.08%       |      66.52%      |
|  36   |    66.65%    |    0.6213     |      65.20%       |      66.74%      |
|  37   |    66.70%    |    0.6096     |      65.17%       |      66.64%      |
|  38   |    66.66%    |    0.5984     |      65.19%       |      66.50%      |
|  39   |    66.78%    |    0.6060     |      65.24%       |      66.61%      |
|  40   |    66.85%    |    0.5959     |      65.16%       |      66.48%      |
|  41   |    66.76%    |    0.6059     |      65.12%       |      66.79%      |
|  42   |    66.76%    |    0.6312     |      65.16%       |      66.59%      |
|  43   |    66.81%    |    0.6088     |      65.04%       |      66.61%      |
