| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    51.56%    |    0.6757     |      56.87%       |      53.08%      |
|   2   |    54.60%    |    0.6926     |      60.29%       |      56.97%      |
|   3   |    59.21%    |    0.6713     |      61.88%       |      61.26%      |
|   4   |    62.35%    |    0.6572     |      62.51%       |      63.35%      |
|   5   |    64.38%    |    0.6565     |      62.85%       |      64.29%      |
|   6   |    65.30%    |    0.6573     |      63.39%       |      64.81%      |
|   7   |    65.59%    |    0.6368     |      63.64%       |      65.39%      |
|   8   |    65.77%    |    0.6545     |      63.78%       |      65.51%      |
|   9   |    65.77%    |    0.6548     |      63.86%       |      65.45%      |
|  10   |    65.65%    |    0.6703     |      64.03%       |      65.37%      |
|  11   |    65.72%    |    0.6093     |      64.01%       |      65.45%      |
|  12   |    65.73%    |    0.6301     |      64.28%       |      65.91%      |
|  13   |    65.86%    |    0.6669     |      64.39%       |      65.72%      |
|  14   |    66.07%    |    0.6214     |      64.53%       |      65.95%      |
|  15   |    66.27%    |    0.6256     |      64.59%       |      65.89%      |
|  16   |    66.30%    |    0.6203     |      64.55%       |      66.04%      |
|  17   |    66.29%    |    0.6469     |      64.66%       |      65.98%      |
|  18   |    66.34%    |    0.6333     |      64.72%       |      66.20%      |
|  19   |    66.27%    |    0.6219     |      64.68%       |      66.13%      |
|  20   |    66.25%    |    0.6104     |      64.66%       |      65.81%      |
|  21   |    66.09%    |    0.6067     |      64.72%       |      65.82%      |
|  22   |    65.91%    |    0.6228     |      64.65%       |      65.80%      |
|  23   |    65.80%    |    0.6153     |      64.71%       |      65.80%      |
|  24   |    65.73%    |    0.6072     |      64.67%       |      65.57%      |
|  25   |    65.73%    |    0.6266     |      64.69%       |      65.52%      |
|  26   |    65.73%    |    0.6124     |      64.61%       |      65.52%      |
|  27   |    65.82%    |    0.6171     |      64.68%       |      65.58%      |
|  28   |    65.83%    |    0.5933     |      64.65%       |      65.51%      |
|  29   |    65.82%    |    0.6372     |      64.61%       |      65.30%      |
|  30   |    65.78%    |    0.6087     |      64.63%       |      65.40%      |
|  31   |    65.77%    |    0.6280     |      64.64%       |      65.48%      |
|  32   |    65.92%    |    0.6199     |      64.69%       |      65.62%      |
|  33   |    65.79%    |    0.5970     |      64.63%       |      65.55%      |
|  34   |    65.94%    |    0.6044     |      64.75%       |      65.96%      |
|  35   |    65.91%    |    0.5997     |      64.64%       |      65.52%      |
|  36   |    66.05%    |    0.5967     |      64.58%       |      65.64%      |
|  37   |    66.05%    |    0.6274     |      64.66%       |      65.54%      |
|  38   |    66.04%    |    0.6139     |      64.77%       |      66.14%      |
|  39   |    66.11%    |    0.6063     |      64.75%       |      65.94%      |
|  40   |    66.29%    |    0.6331     |      64.74%       |      66.22%      |
|  41   |    66.19%    |    0.6105     |      64.71%       |      65.83%      |
|  42   |    66.29%    |    0.6191     |      64.62%       |      65.72%      |
|  43   |    66.31%    |    0.5992     |      64.79%       |      65.95%      |
|  44   |    66.29%    |    0.5948     |      64.71%       |      65.82%      |
|  45   |    66.39%    |    0.6063     |      64.87%       |      66.18%      |
|  46   |    66.42%    |    0.6137     |      64.79%       |      66.20%      |
|  47   |    66.48%    |    0.5916     |      64.68%       |      65.92%      |
|  48   |    66.59%    |    0.6037     |      64.69%       |      66.06%      |
|  49   |    66.61%    |    0.5992     |      64.77%       |      66.38%      |
|  50   |    66.57%    |    0.6228     |      64.78%       |      66.06%      |
|  51   |    66.59%    |    0.5925     |      64.74%       |      65.87%      |
|  52   |    66.76%    |    0.5861     |      64.75%       |      66.17%      |
|  53   |    66.63%    |    0.6162     |      64.72%       |      66.24%      |
|  54   |    66.66%    |    0.6173     |      64.82%       |      66.05%      |
|  55   |    66.61%    |    0.6042     |      64.89%       |      66.30%      |
|  56   |    66.74%    |    0.6110     |      64.85%       |      66.05%      |
|  57   |    66.71%    |    0.5972     |      64.74%       |      66.10%      |
|  58   |    66.69%    |    0.6047     |      64.71%       |      66.07%      |
|  59   |    66.66%    |    0.6207     |      64.84%       |      65.95%      |
|  60   |    66.58%    |    0.5939     |      64.81%       |      65.98%      |
|  61   |    66.64%    |    0.6234     |      64.81%       |      65.98%      |
|  62   |    66.63%    |    0.6021     |      64.76%       |      65.97%      |
|  63   |    66.74%    |    0.5988     |      64.74%       |      66.31%      |
|  64   |    66.68%    |    0.5949     |      64.74%       |      65.95%      |
|  65   |    66.57%    |    0.5845     |      64.72%       |      65.79%      |
|  66   |    66.62%    |    0.5952     |      64.85%       |      66.18%      |
|  67   |    66.69%    |    0.6034     |      64.79%       |      65.98%      |
|  68   |    66.75%    |    0.5955     |      64.91%       |      66.18%      |
|  69   |    66.62%    |    0.5990     |      64.87%       |      66.04%      |
|  70   |    66.47%    |    0.6023     |      64.74%       |      65.87%      |
|  71   |    66.71%    |    0.5956     |      64.71%       |      65.90%      |
|  72   |    66.65%    |    0.6117     |      64.71%       |      66.24%      |
|  73   |    66.69%    |    0.5974     |      64.72%       |      65.91%      |
|  74   |    66.70%    |    0.5902     |      64.81%       |      66.23%      |
