| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    52.21%    |    0.6742     |      56.02%       |      53.04%      |
|   2   |    54.75%    |    0.6757     |      60.24%       |      56.25%      |
|   3   |    58.31%    |    0.6393     |      61.49%       |      60.25%      |
|   4   |    61.08%    |    0.6325     |      62.18%       |      61.90%      |
|   5   |    62.75%    |    0.6318     |      62.98%       |      63.29%      |
|   6   |    63.86%    |    0.6394     |      63.14%       |      64.03%      |
|   7   |    64.69%    |    0.6508     |      63.58%       |      64.59%      |
|   8   |    64.92%    |    0.6293     |      63.67%       |      64.84%      |
|   9   |    65.12%    |    0.6459     |      63.83%       |      65.15%      |
|  10   |    65.22%    |    0.6391     |      63.98%       |      65.22%      |
|  11   |    65.16%    |    0.6510     |      64.26%       |      65.14%      |
|  12   |    65.11%    |    0.6360     |      64.19%       |      64.81%      |
|  13   |    65.00%    |    0.6156     |      64.15%       |      64.97%      |
|  14   |    65.17%    |    0.6634     |      64.50%       |      65.39%      |
|  15   |    65.16%    |    0.6303     |      64.30%       |      65.10%      |
|  16   |    65.39%    |    0.6297     |      64.45%       |      65.25%      |
|  17   |    65.58%    |    0.6043     |      64.44%       |      65.48%      |
|  18   |    65.57%    |    0.6228     |      64.68%       |      65.72%      |
|  19   |    65.91%    |    0.6209     |      64.75%       |      66.01%      |
|  20   |    65.92%    |    0.6141     |      64.76%       |      66.26%      |
|  21   |    66.01%    |    0.6136     |      64.80%       |      66.13%      |
|  22   |    66.03%    |    0.6483     |      64.83%       |      66.15%      |
|  23   |    65.93%    |    0.5984     |      64.87%       |      66.48%      |
|  24   |    65.93%    |    0.5984     |      64.89%       |      66.13%      |
|  25   |    65.90%    |    0.6112     |      64.80%       |      65.67%      |
|  26   |    65.76%    |    0.6449     |      64.89%       |      66.39%      |
|  27   |    65.88%    |    0.6252     |      64.80%       |      66.10%      |
|  28   |    65.88%    |    0.6065     |      64.87%       |      66.43%      |
|  29   |    65.82%    |    0.6216     |      64.92%       |      66.46%      |
|  30   |    65.79%    |    0.6070     |      64.79%       |      65.52%      |
|  31   |    65.80%    |    0.6194     |      64.75%       |      65.60%      |
|  32   |    65.82%    |    0.6074     |      64.85%       |      65.76%      |
|  33   |    65.86%    |    0.6115     |      64.81%       |      66.25%      |
|  34   |    65.92%    |    0.5931     |      64.86%       |      65.91%      |
|  35   |    66.03%    |    0.6285     |      64.84%       |      66.06%      |
|  36   |    65.93%    |    0.6102     |      64.94%       |      66.64%      |
|  37   |    65.94%    |    0.5936     |      64.79%       |      65.47%      |
|  38   |    65.99%    |    0.6057     |      64.86%       |      65.77%      |
|  39   |    65.96%    |    0.5887     |      64.82%       |      65.70%      |
|  40   |    65.94%    |    0.6104     |      64.90%       |      65.65%      |
|  41   |    66.01%    |    0.6056     |      64.85%       |      65.46%      |
|  42   |    66.00%    |    0.6113     |      64.95%       |      66.46%      |
|  43   |    66.08%    |    0.6127     |      64.90%       |      66.29%      |
|  44   |    66.00%    |    0.6226     |      64.81%       |      65.99%      |
|  45   |    66.17%    |    0.6086     |      64.87%       |      65.93%      |
|  46   |    66.18%    |    0.5892     |      64.86%       |      66.09%      |
|  47   |    66.26%    |    0.5991     |      64.91%       |      66.42%      |
|  48   |    66.36%    |    0.5985     |      64.85%       |      66.38%      |
|  49   |    66.35%    |    0.6218     |      64.83%       |      66.12%      |
|  50   |    66.31%    |    0.6250     |      64.84%       |      66.11%      |
|  51   |    66.36%    |    0.6015     |      64.85%       |      66.16%      |
|  52   |    66.33%    |    0.5905     |      64.90%       |      66.31%      |
|  53   |    66.40%    |    0.6218     |      64.92%       |      66.21%      |
|  54   |    66.35%    |    0.5895     |      64.91%       |      66.29%      |
|  55   |    66.47%    |    0.5967     |      64.83%       |      66.03%      |
|  56   |    66.51%    |    0.6069     |      64.84%       |      66.26%      |
|  57   |    66.56%    |    0.5962     |      64.92%       |      66.43%      |
|  58   |    66.64%    |    0.6108     |      64.99%       |      66.05%      |
|  59   |    66.67%    |    0.6167     |      64.83%       |      66.34%      |
|  60   |    66.50%    |    0.6057     |      64.85%       |      66.50%      |
|  61   |    66.64%    |    0.6108     |      64.92%       |      66.58%      |
|  62   |    66.56%    |    0.6068     |      64.87%       |      66.42%      |
|  63   |    66.58%    |    0.6029     |      64.96%       |      66.38%      |
|  64   |    66.71%    |    0.6081     |      64.83%       |      66.46%      |
|  65   |    66.63%    |    0.6126     |      64.95%       |      66.55%      |
|  66   |    66.83%    |    0.5881     |      64.94%       |      66.38%      |
|  67   |    66.75%    |    0.5786     |      64.84%       |      66.38%      |
|  68   |    66.74%    |    0.6017     |      64.98%       |      66.66%      |
|  69   |    66.81%    |    0.5967     |      64.93%       |      66.61%      |
|  70   |    66.88%    |    0.6062     |      64.84%       |      66.51%      |
|  71   |    66.73%    |    0.5899     |      64.98%       |      66.40%      |
|  72   |    66.83%    |    0.5986     |      64.82%       |      66.44%      |
|  73   |    66.89%    |    0.5933     |      64.91%       |      66.79%      |
|  74   |    66.88%    |    0.5896     |      64.88%       |      66.64%      |
|  75   |    66.96%    |    0.6073     |      64.95%       |      66.72%      |
|  76   |    66.93%    |    0.6118     |      64.91%       |      66.40%      |
|  77   |    66.96%    |    0.5905     |      64.89%       |      66.51%      |
|  78   |    67.00%    |    0.6124     |      64.94%       |      66.58%      |
|  79   |    67.07%    |    0.6025     |      64.90%       |      66.52%      |
|  80   |    66.96%    |    0.5964     |      65.03%       |      66.61%      |
|  81   |    66.94%    |    0.5884     |      64.92%       |      66.43%      |
|  82   |    67.06%    |    0.5747     |      64.90%       |      66.72%      |
|  83   |    67.07%    |    0.5977     |      65.02%       |      66.55%      |
|  84   |    67.07%    |    0.5925     |      64.91%       |      66.55%      |
|  85   |    67.17%    |    0.5986     |      64.90%       |      66.72%      |
|  86   |    67.03%    |    0.5932     |      64.91%       |      66.59%      |
|  87   |    67.04%    |    0.6019     |      65.06%       |      66.79%      |
|  88   |    67.15%    |    0.5948     |      64.85%       |      66.35%      |
|  89   |    67.14%    |    0.5935     |      64.84%       |      66.18%      |
|  90   |    67.13%    |    0.5880     |      64.97%       |      66.73%      |
|  91   |    66.98%    |    0.6023     |      64.96%       |      66.72%      |
|  92   |    67.15%    |    0.5960     |      64.90%       |      66.53%      |
|  93   |    67.03%    |    0.5908     |      64.90%       |      66.57%      |
|  94   |    67.01%    |    0.6057     |      65.02%       |      66.65%      |
|  95   |    66.98%    |    0.5931     |      64.92%       |      66.83%      |
|  96   |    67.17%    |    0.6029     |      64.95%       |      66.69%      |
|  97   |    67.02%    |    0.6022     |      64.93%       |      66.79%      |
|  98   |    66.88%    |    0.5890     |      64.91%       |      66.41%      |
|  99   |    67.10%    |    0.5954     |      64.86%       |      66.72%      |
|  100  |    67.14%    |    0.6029     |      64.98%       |      66.78%      |
|  101  |    67.10%    |    0.6008     |      64.95%       |      66.69%      |
|  102  |    67.23%    |    0.5865     |      64.94%       |      66.91%      |
|  103  |    67.09%    |    0.5918     |      64.99%       |      66.61%      |
|  104  |    67.04%    |    0.5982     |      64.95%       |      66.50%      |
|  105  |    67.01%    |    0.5851     |      64.81%       |      66.58%      |
|  106  |    67.15%    |    0.5960     |      64.92%       |      66.65%      |
|  107  |    67.10%    |    0.5890     |      65.03%       |      66.81%      |
|  108  |    67.06%    |    0.6079     |      64.90%       |      66.53%      |
|  109  |    67.13%    |    0.5795     |      64.90%       |      66.93%      |
|  110  |    67.12%    |    0.5780     |      64.87%       |      66.65%      |
|  111  |    66.99%    |    0.5856     |      64.85%       |      66.74%      |
|  112  |    67.14%    |    0.6014     |      64.92%       |      66.91%      |
|  113  |    66.96%    |    0.5898     |      64.99%       |      66.71%      |
|  114  |    67.15%    |    0.6060     |      64.93%       |      66.70%      |
|  115  |    67.15%    |    0.5837     |      64.93%       |      66.78%      |
|  116  |    66.98%    |    0.5771     |      64.92%       |      66.50%      |
|  117  |    67.09%    |    0.5982     |      64.94%       |      66.40%      |
|  118  |    67.25%    |    0.5958     |      64.91%       |      66.24%      |
|  119  |    67.10%    |    0.5962     |      64.63%       |      66.66%      |
|  120  |    67.13%    |    0.5908     |      64.95%       |      66.69%      |
|  121  |    67.10%    |    0.6011     |      64.92%       |      66.60%      |
|  122  |    67.09%    |    0.5913     |      64.53%       |      66.14%      |
|  123  |    67.11%    |    0.5984     |      64.81%       |      66.68%      |
|  124  |    67.11%    |    0.5825     |      64.92%       |      66.86%      |
|  125  |    67.07%    |    0.5774     |      64.91%       |      66.71%      |
|  126  |    67.07%    |    0.5964     |      64.91%       |      66.56%      |
|  127  |    67.13%    |    0.6023     |      65.03%       |      66.78%      |
|  128  |    67.14%    |    0.5833     |      64.84%       |      66.66%      |
|  129  |    67.15%    |    0.5815     |      64.99%       |      66.61%      |
|  130  |    67.17%    |    0.5719     |      64.94%       |      66.82%      |
|  131  |    67.10%    |    0.5804     |      65.02%       |      66.69%      |
|  132  |    67.04%    |    0.6140     |      64.82%       |      66.59%      |
|  133  |    66.94%    |    0.5803     |      64.85%       |      66.80%      |
|  134  |    67.13%    |    0.5905     |      64.86%       |      66.68%      |
|  135  |    67.04%    |    0.5944     |      64.90%       |      66.12%      |
|  136  |    67.18%    |    0.5847     |      64.84%       |      66.49%      |
|  137  |    67.14%    |    0.5943     |      64.89%       |      66.72%      |
|  138  |    67.06%    |    0.6077     |      64.84%       |      66.63%      |
|  139  |    67.17%    |    0.5865     |      64.86%       |      66.79%      |
|  140  |    67.10%    |    0.5788     |      64.77%       |      66.44%      |
|  141  |    67.15%    |    0.5908     |      64.87%       |      66.68%      |
|  142  |    67.13%    |    0.5878     |      64.95%       |      66.71%      |
|  143  |    66.95%    |    0.5890     |      64.88%       |      66.73%      |
|  144  |    67.14%    |    0.5908     |      64.96%       |      66.70%      |
|  145  |    67.23%    |    0.6207     |      65.02%       |      66.26%      |
|  146  |    67.17%    |    0.6068     |      64.97%       |      66.77%      |
|  147  |    67.11%    |    0.5891     |      64.85%       |      66.92%      |
|  148  |    67.13%    |    0.5937     |      64.80%       |      66.43%      |
|  149  |    67.18%    |    0.6034     |      64.80%       |      66.80%      |
|  150  |    67.02%    |    0.5905     |      64.84%       |      66.49%      |
|  151  |    67.21%    |    0.5986     |      64.87%       |      66.54%      |
|  152  |    67.12%    |    0.5837     |      64.80%       |      66.17%      |
|  153  |    67.07%    |    0.5939     |      65.01%       |      66.61%      |
|  154  |    67.09%    |    0.5907     |      64.83%       |      66.79%      |
|  155  |    67.08%    |    0.5995     |      64.94%       |      66.83%      |
|  156  |    67.00%    |    0.6086     |      64.93%       |      66.82%      |
|  157  |    67.15%    |    0.6007     |      64.82%       |      66.77%      |
|  158  |    67.18%    |    0.5840     |      64.93%       |      66.07%      |
|  159  |    67.20%    |    0.5863     |      64.92%       |      66.50%      |
|  160  |    67.20%    |    0.5774     |      64.85%       |      66.59%      |
|  161  |    67.05%    |    0.5869     |      64.82%       |      66.54%      |
|  162  |    67.10%    |    0.5813     |      64.90%       |      66.65%      |
|  163  |    67.27%    |    0.5921     |      64.83%       |      66.39%      |
|  164  |    67.20%    |    0.5772     |      65.00%       |      66.61%      |
|  165  |    67.12%    |    0.5994     |      64.83%       |      66.27%      |
|  166  |    67.21%    |    0.5866     |      64.84%       |      66.45%      |
|  167  |    67.37%    |    0.5845     |      65.01%       |      66.97%      |
|  168  |    67.21%    |    0.5845     |      64.88%       |      66.99%      |
|  169  |    67.19%    |    0.5972     |      64.87%       |      66.67%      |
|  170  |    67.14%    |    0.5794     |      64.89%       |      66.49%      |
|  171  |    67.13%    |    0.5888     |      64.91%       |      66.85%      |
|  172  |    66.95%    |    0.5781     |      65.01%       |      66.96%      |
|  173  |    67.15%    |    0.5968     |      64.85%       |      66.43%      |
|  174  |    67.28%    |    0.5756     |      64.82%       |      66.95%      |
|  175  |    67.13%    |    0.5997     |      64.97%       |      66.54%      |
|  176  |    67.11%    |    0.5809     |      64.87%       |      66.54%      |
|  177  |    67.19%    |    0.5892     |      64.89%       |      66.84%      |
|  178  |    67.08%    |    0.5884     |      64.95%       |      66.57%      |
|  179  |    67.17%    |    0.5967     |      64.90%       |      66.91%      |
|  180  |    67.14%    |    0.5889     |      64.92%       |      66.34%      |
|  181  |    67.08%    |    0.6092     |      64.90%       |      66.54%      |
|  182  |    67.19%    |    0.6020     |      64.91%       |      66.54%      |
|  183  |    67.22%    |    0.5805     |      64.87%       |      66.76%      |
|  184  |    67.39%    |    0.6048     |      64.96%       |      66.44%      |
|  185  |    67.16%    |    0.5919     |      64.89%       |      66.57%      |
|  186  |    67.10%    |    0.5732     |      64.94%       |      67.05%      |
|  187  |    67.23%    |    0.5862     |      64.89%       |      66.47%      |
|  188  |    67.28%    |    0.5990     |      64.91%       |      66.87%      |
|  189  |    67.21%    |    0.5739     |      64.84%       |      66.64%      |
|  190  |    67.30%    |    0.5816     |      64.99%       |      67.00%      |
|  191  |    67.17%    |    0.5639     |      64.89%       |      66.59%      |
|  192  |    67.40%    |    0.5875     |      64.93%       |      66.68%      |
|  193  |    67.07%    |    0.5988     |      64.90%       |      66.80%      |
|  194  |    67.33%    |    0.5801     |      64.90%       |      66.64%      |
|  195  |    67.33%    |    0.5973     |      64.90%       |      66.70%      |
|  196  |    67.17%    |    0.5899     |      64.79%       |      66.83%      |
|  197  |    67.22%    |    0.5888     |      64.77%       |      66.28%      |
|  198  |    67.19%    |    0.5829     |      64.93%       |      66.99%      |
|  199  |    67.34%    |    0.5890     |      64.92%       |      66.68%      |
|  200  |    67.12%    |    0.5698     |      64.59%       |      66.68%      |
