| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    61.36%    |    0.6230     |      64.59%       |      66.54%      |
|   2   |    66.37%    |    0.6184     |      64.75%       |      66.52%      |
|   3   |    66.25%    |    0.6108     |      64.81%       |      66.81%      |
|   4   |    66.27%    |    0.6032     |      64.48%       |      66.73%      |
|   5   |    66.38%    |    0.6082     |      64.91%       |      66.56%      |
|   6   |    66.13%    |    0.5726     |      64.53%       |      66.80%      |
|   7   |    66.36%    |    0.5974     |      64.86%       |      66.26%      |
|   8   |    66.43%    |    0.6028     |      64.85%       |      66.93%      |
|   9   |    66.43%    |    0.6197     |      64.79%       |      66.20%      |
|  10   |    66.45%    |    0.5901     |      64.92%       |      66.42%      |
|  11   |    66.62%    |    0.5913     |      64.87%       |      66.61%      |
|  12   |    66.45%    |    0.6057     |      64.97%       |      66.54%      |
|  13   |    66.46%    |    0.5925     |      65.08%       |      67.36%      |
|  14   |    66.65%    |    0.5831     |      65.09%       |      66.79%      |
|  15   |    66.34%    |    0.5883     |      64.61%       |      66.15%      |
|  16   |    66.68%    |    0.6048     |      64.98%       |      66.24%      |
|  17   |    66.54%    |    0.5824     |      64.93%       |      66.47%      |
|  18   |    66.70%    |    0.5923     |      64.98%       |      66.79%      |
|  19   |    66.50%    |    0.5988     |      65.17%       |      66.55%      |
|  20   |    66.77%    |    0.5823     |      64.87%       |      66.69%      |
|  21   |    66.66%    |    0.5988     |      65.02%       |      66.35%      |
|  22   |    66.87%    |    0.5766     |      65.05%       |      66.44%      |
|  23   |    66.68%    |    0.5923     |      64.97%       |      66.08%      |
|  24   |    66.78%    |    0.5916     |      64.89%       |      66.69%      |
|  25   |    66.57%    |    0.5741     |      65.02%       |      66.37%      |
|  26   |    66.69%    |    0.5831     |      65.16%       |      67.20%      |
|  27   |    66.70%    |    0.5806     |      65.01%       |      66.26%      |
|  28   |    66.85%    |    0.6003     |      65.15%       |      67.25%      |
|  29   |    66.55%    |    0.5860     |      64.90%       |      67.10%      |
|  30   |    66.70%    |    0.5908     |      64.97%       |      66.48%      |
|  31   |    66.64%    |    0.5867     |      65.04%       |      66.72%      |
|  32   |    66.62%    |    0.5810     |      64.93%       |      66.36%      |
|  33   |    66.74%    |    0.5730     |      64.99%       |      66.70%      |
|  34   |    66.67%    |    0.5711     |      64.94%       |      66.04%      |
|  35   |    66.76%    |    0.5718     |      65.07%       |      66.81%      |
|  36   |    66.93%    |    0.5845     |      64.79%       |      66.75%      |
|  37   |    66.71%    |    0.5873     |      64.96%       |      67.08%      |
|  38   |    66.66%    |    0.5902     |      64.92%       |      66.27%      |
|  39   |    66.77%    |    0.5952     |      64.85%       |      66.66%      |
|  40   |    66.65%    |    0.5811     |      64.84%       |      66.30%      |
|  41   |    66.74%    |    0.5798     |      64.97%       |      66.34%      |
|  42   |    67.02%    |    0.5802     |      65.20%       |      67.10%      |
|  43   |    66.69%    |    0.5931     |      64.99%       |      67.06%      |
|  44   |    66.75%    |    0.5911     |      65.08%       |      66.78%      |
|  45   |    66.85%    |    0.5905     |      64.82%       |      65.39%      |
|  46   |    66.84%    |    0.5983     |      65.11%       |      66.97%      |
|  47   |    66.73%    |    0.5934     |      65.00%       |      67.15%      |
|  48   |    66.83%    |    0.5857     |      64.96%       |      66.76%      |
|  49   |    66.78%    |    0.5773     |      65.01%       |      66.63%      |
|  50   |    66.77%    |    0.5709     |      64.94%       |      66.72%      |
|  51   |    66.97%    |    0.5820     |      64.91%       |      66.85%      |
|  52   |    66.74%    |    0.5867     |      65.01%       |      66.67%      |
|  53   |    66.83%    |    0.5943     |      65.03%       |      67.27%      |
|  54   |    66.80%    |    0.5862     |      64.86%       |      67.04%      |
|  55   |    66.92%    |    0.5917     |      65.01%       |      66.89%      |
|  56   |    66.88%    |    0.5857     |      64.92%       |      66.22%      |
|  57   |    66.92%    |    0.5928     |      64.94%       |      66.36%      |
|  58   |    66.78%    |    0.5922     |      64.95%       |      66.56%      |
|  59   |    66.69%    |    0.5701     |      64.77%       |      66.79%      |
|  60   |    66.80%    |    0.5880     |      65.00%       |      66.77%      |
|  61   |    66.64%    |    0.5878     |      65.04%       |      66.68%      |
|  62   |    67.01%    |    0.5876     |      64.78%       |      66.78%      |
|  63   |    66.76%    |    0.5834     |      64.79%       |      66.76%      |
|  64   |    66.96%    |    0.5783     |      64.89%       |      66.64%      |
|  65   |    67.08%    |    0.5645     |      65.13%       |      66.83%      |
|  66   |    66.87%    |    0.5743     |      64.97%       |      66.82%      |
|  67   |    66.60%    |    0.5921     |      64.92%       |      66.71%      |
|  68   |    66.98%    |    0.5837     |      65.01%       |      66.94%      |
|  69   |    66.82%    |    0.5903     |      64.98%       |      66.67%      |
|  70   |    66.85%    |    0.5886     |      65.10%       |      66.28%      |
|  71   |    66.66%    |    0.5841     |      64.92%       |      66.26%      |
|  72   |    66.40%    |    0.5719     |      64.93%       |      66.09%      |
|  73   |    67.12%    |    0.5845     |      65.09%       |      66.79%      |
|  74   |    66.85%    |    0.5851     |      65.01%       |      66.75%      |
|  75   |    66.82%    |    0.5864     |      64.88%       |      66.15%      |
|  76   |    66.95%    |    0.5902     |      64.92%       |      66.46%      |
|  77   |    66.92%    |    0.5898     |      65.05%       |      66.99%      |
|  78   |    67.01%    |    0.5819     |      64.96%       |      66.54%      |
