| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    61.27%    |    0.6264     |      64.85%       |      67.13%      |
|   2   |    66.15%    |    0.6102     |      65.17%       |      66.46%      |
|   3   |    65.98%    |    0.6131     |      65.03%       |      66.76%      |
|   4   |    66.02%    |    0.5908     |      65.08%       |      66.74%      |
|   5   |    66.11%    |    0.6079     |      65.10%       |      66.65%      |
|   6   |    65.95%    |    0.6013     |      65.16%       |      66.85%      |
|   7   |    66.21%    |    0.6095     |      64.96%       |      66.47%      |
|   8   |    66.35%    |    0.6045     |      64.91%       |      66.09%      |
|   9   |    66.20%    |    0.6187     |      64.97%       |      66.47%      |
|  10   |    66.34%    |    0.5787     |      64.89%       |      65.80%      |
|  11   |    66.19%    |    0.6032     |      65.05%       |      66.54%      |
|  12   |    66.36%    |    0.5980     |      65.17%       |      66.44%      |
|  13   |    66.47%    |    0.5966     |      64.95%       |      66.01%      |
|  14   |    66.40%    |    0.6095     |      64.56%       |      65.75%      |
|  15   |    66.79%    |    0.5868     |      64.98%       |      66.34%      |
|  16   |    66.64%    |    0.5889     |      64.72%       |      66.63%      |
|  17   |    66.52%    |    0.6137     |      65.01%       |      66.89%      |
|  18   |    66.71%    |    0.6114     |      64.92%       |      66.31%      |
|  19   |    66.80%    |    0.5864     |      64.89%       |      66.27%      |
|  20   |    66.46%    |    0.6023     |      64.53%       |      66.34%      |
|  21   |    66.36%    |    0.5930     |      64.96%       |      66.45%      |
|  22   |    66.29%    |    0.5864     |      64.87%       |      66.10%      |
|  23   |    66.69%    |    0.5866     |      64.91%       |      66.03%      |
|  24   |    66.47%    |    0.5878     |      64.82%       |      67.09%      |
|  25   |    66.46%    |    0.5839     |      64.88%       |      66.61%      |
|  26   |    66.57%    |    0.5921     |      64.94%       |      66.03%      |
|  27   |    66.91%    |    0.5848     |      65.09%       |      65.93%      |
|  28   |    66.60%    |    0.5883     |      65.00%       |      66.55%      |
|  29   |    66.41%    |    0.5922     |      64.95%       |      66.85%      |
|  30   |    66.69%    |    0.5859     |      64.93%       |      66.31%      |
|  31   |    66.59%    |    0.5970     |      65.11%       |      67.38%      |
