| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    60.73%    |    0.6318     |      63.56%       |      65.41%      |
|   2   |    66.54%    |    0.6438     |      64.32%       |      65.96%      |
|   3   |    66.29%    |    0.6285     |      64.55%       |      66.34%      |
|   4   |    66.56%    |    0.6185     |      64.66%       |      66.00%      |
|   5   |    66.68%    |    0.6065     |      64.65%       |      66.34%      |
|   6   |    66.64%    |    0.5976     |      64.55%       |      66.11%      |
|   7   |    66.42%    |    0.6047     |      64.74%       |      66.40%      |
|   8   |    66.81%    |    0.5956     |      64.64%       |      66.47%      |
|   9   |    66.71%    |    0.5935     |      64.62%       |      66.04%      |
|  10   |    66.66%    |    0.5937     |      64.61%       |      66.55%      |
|  11   |    66.55%    |    0.6331     |      64.56%       |      65.81%      |
|  12   |    66.67%    |    0.5895     |      64.73%       |      66.29%      |
|  13   |    66.58%    |    0.5981     |      64.51%       |      66.07%      |
|  14   |    66.88%    |    0.5985     |      64.63%       |      66.33%      |
|  15   |    66.80%    |    0.6026     |      64.63%       |      66.63%      |
|  16   |    66.75%    |    0.5931     |      64.65%       |      66.26%      |
|  17   |    66.70%    |    0.5933     |      64.90%       |      66.42%      |
|  18   |    66.90%    |    0.5826     |      64.84%       |      66.41%      |
|  19   |    66.91%    |    0.5953     |      64.49%       |      64.65%      |
|  20   |    66.65%    |    0.6038     |      64.69%       |      66.33%      |
|  21   |    66.68%    |    0.6073     |      64.61%       |      65.91%      |
|  22   |    67.04%    |    0.5997     |      64.86%       |      66.30%      |
|  23   |    66.88%    |    0.6111     |      64.76%       |      66.41%      |
|  24   |    66.95%    |    0.5837     |      64.81%       |      66.39%      |
|  25   |    67.00%    |    0.5885     |      64.71%       |      66.27%      |
|  26   |    66.83%    |    0.5960     |      64.39%       |      65.79%      |
|  27   |    66.62%    |    0.5752     |      64.94%       |      66.15%      |
|  28   |    66.54%    |    0.6056     |      64.70%       |      66.07%      |
|  29   |    66.98%    |    0.6091     |      64.53%       |      65.73%      |
|  30   |    66.84%    |    0.5916     |      64.77%       |      66.34%      |
|  31   |    67.00%    |    0.5814     |      64.77%       |      66.05%      |
|  32   |    67.24%    |    0.5917     |      64.75%       |      65.93%      |
|  33   |    66.72%    |    0.5921     |      64.27%       |      64.21%      |
|  34   |    66.85%    |    0.6079     |      64.71%       |      66.05%      |
|  35   |    66.98%    |    0.5792     |      64.81%       |      66.01%      |
|  36   |    67.04%    |    0.5774     |      64.91%       |      66.74%      |
|  37   |    67.21%    |    0.5923     |      64.80%       |      66.43%      |
|  38   |    66.63%    |    0.5939     |      64.84%       |      66.28%      |
|  39   |    66.90%    |    0.6032     |      64.57%       |      66.37%      |
|  40   |    66.89%    |    0.5757     |      64.97%       |      66.50%      |
|  41   |    67.08%    |    0.5848     |      64.79%       |      66.45%      |
|  42   |    66.73%    |    0.5831     |      64.89%       |      66.22%      |
|  43   |    66.80%    |    0.5813     |      64.63%       |      65.78%      |
|  44   |    66.90%    |    0.5942     |      65.01%       |      66.67%      |
|  45   |    66.66%    |    0.5941     |      64.75%       |      66.20%      |
|  46   |    66.58%    |    0.6053     |      64.57%       |      66.30%      |
|  47   |    66.91%    |    0.5920     |      64.75%       |      66.26%      |
|  48   |    66.87%    |    0.6018     |      64.79%       |      66.53%      |
|  49   |    66.60%    |    0.5804     |      64.65%       |      66.06%      |
|  50   |    66.91%    |    0.5826     |      64.88%       |      66.30%      |
|  51   |    67.02%    |    0.5972     |      64.63%       |      66.04%      |
|  52   |    66.99%    |    0.5879     |      64.93%       |      66.14%      |
|  53   |    66.81%    |    0.5968     |      64.70%       |      66.29%      |
|  54   |    67.00%    |    0.5893     |      64.64%       |      66.17%      |
|  55   |    67.15%    |    0.6085     |      64.74%       |      65.80%      |
|  56   |    67.12%    |    0.5825     |      64.74%       |      66.26%      |
|  57   |    66.94%    |    0.5831     |      64.66%       |      65.78%      |
|  58   |    67.06%    |    0.5975     |      64.95%       |      66.31%      |
|  59   |    66.84%    |    0.5886     |      64.81%       |      66.29%      |
|  60   |    66.66%    |    0.5998     |      64.97%       |      66.80%      |
|  61   |    66.92%    |    0.5910     |      64.83%       |      66.11%      |
|  62   |    67.04%    |    0.5889     |      64.69%       |      66.50%      |
|  63   |    66.99%    |    0.5874     |      64.68%       |      66.19%      |
|  64   |    66.79%    |    0.5781     |      64.70%       |      66.33%      |
|  65   |    66.79%    |    0.6014     |      64.72%       |      65.97%      |
|  66   |    66.71%    |    0.5855     |      64.81%       |      66.46%      |
|  67   |    66.88%    |    0.5722     |      64.98%       |      66.42%      |
|  68   |    66.84%    |    0.5677     |      64.43%       |      66.38%      |
|  69   |    66.66%    |    0.5759     |      64.79%       |      66.28%      |
|  70   |    66.97%    |    0.5890     |      64.66%       |      66.16%      |
