| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.50%    |    0.6975     |      50.13%       |      50.38%      |
|   2   |    50.99%    |    0.6955     |      50.87%       |      55.00%      |
|   3   |    53.17%    |    0.6925     |      52.90%       |      52.64%      |
|   4   |    52.76%    |    0.6853     |      53.92%       |      52.66%      |
|   5   |    52.95%    |    0.6896     |      56.02%       |      52.87%      |
|   6   |    52.79%    |    0.6862     |      56.41%       |      53.62%      |
|   7   |    52.26%    |    0.6861     |      56.32%       |      52.56%      |
|   8   |    52.59%    |    0.6796     |      56.83%       |      53.43%      |
|   9   |    53.26%    |    0.6774     |      57.29%       |      54.00%      |
|  10   |    53.53%    |    0.6723     |      57.52%       |      53.98%      |
|  11   |    53.89%    |    0.6732     |      58.33%       |      54.32%      |
|  12   |    54.04%    |    0.6789     |      58.55%       |      54.59%      |
|  13   |    54.18%    |    0.6716     |      58.73%       |      55.47%      |
|  14   |    54.73%    |    0.6762     |      58.97%       |      55.52%      |
|  15   |    54.75%    |    0.6600     |      59.16%       |      55.59%      |
|  16   |    54.74%    |    0.6746     |      59.36%       |      55.28%      |
|  17   |    55.04%    |    0.6609     |      60.22%       |      55.66%      |
|  18   |    55.48%    |    0.6734     |      60.52%       |      56.66%      |
|  19   |    56.00%    |    0.6716     |      60.65%       |      56.98%      |
|  20   |    56.41%    |    0.6622     |      60.69%       |      57.79%      |
|  21   |    56.78%    |    0.6597     |      60.78%       |      57.69%      |
|  22   |    57.20%    |    0.6612     |      61.06%       |      58.82%      |
|  23   |    57.82%    |    0.6563     |      60.99%       |      58.65%      |
|  24   |    58.34%    |    0.6624     |      61.23%       |      59.19%      |
|  25   |    58.76%    |    0.6566     |      61.25%       |      59.22%      |
|  26   |    59.06%    |    0.6576     |      61.42%       |      60.05%      |
|  27   |    59.60%    |    0.6575     |      61.72%       |      60.37%      |
|  28   |    59.78%    |    0.6708     |      61.83%       |      60.56%      |
|  29   |    59.81%    |    0.6583     |      61.84%       |      60.67%      |
|  30   |    60.10%    |    0.6661     |      61.84%       |      60.89%      |
|  31   |    60.37%    |    0.6481     |      62.08%       |      61.14%      |
|  32   |    60.66%    |    0.6598     |      62.21%       |      61.52%      |
|  33   |    60.86%    |    0.6670     |      62.35%       |      61.89%      |
|  34   |    61.15%    |    0.6745     |      62.49%       |      62.04%      |
|  35   |    61.45%    |    0.6643     |      62.59%       |      62.13%      |
|  36   |    61.72%    |    0.6529     |      62.67%       |      62.25%      |
|  37   |    61.95%    |    0.6576     |      62.77%       |      62.83%      |
|  38   |    62.08%    |    0.6713     |      62.91%       |      62.82%      |
|  39   |    62.18%    |    0.6611     |      63.05%       |      63.20%      |
|  40   |    62.42%    |    0.6594     |      63.14%       |      63.29%      |
|  41   |    62.57%    |    0.6450     |      63.15%       |      63.15%      |
|  42   |    62.71%    |    0.6313     |      63.15%       |      63.01%      |
|  43   |    62.80%    |    0.6739     |      63.15%       |      63.50%      |
|  44   |    62.95%    |    0.6703     |      63.28%       |      63.77%      |
|  45   |    63.08%    |    0.6586     |      63.27%       |      64.10%      |
|  46   |    63.22%    |    0.6474     |      63.25%       |      64.19%      |
|  47   |    63.34%    |    0.6569     |      63.28%       |      63.99%      |
|  48   |    63.38%    |    0.6440     |      63.31%       |      64.11%      |
|  49   |    63.43%    |    0.6445     |      63.33%       |      64.28%      |
|  50   |    63.50%    |    0.6384     |      63.30%       |      64.46%      |
|  51   |    63.50%    |    0.6479     |      63.22%       |      64.32%      |
|  52   |    63.58%    |    0.6448     |      63.31%       |      64.03%      |
|  53   |    63.67%    |    0.6468     |      63.39%       |      64.65%      |
|  54   |    63.80%    |    0.6310     |      63.36%       |      64.64%      |
|  55   |    63.88%    |    0.6378     |      63.37%       |      64.81%      |
|  56   |    64.08%    |    0.6400     |      63.57%       |      65.00%      |
|  57   |    64.20%    |    0.6617     |      63.65%       |      65.06%      |
|  58   |    64.25%    |    0.6319     |      63.78%       |      64.99%      |
|  59   |    64.41%    |    0.6565     |      63.59%       |      65.52%      |
|  60   |    64.59%    |    0.6300     |      63.77%       |      65.32%      |
|  61   |    64.60%    |    0.6475     |      63.75%       |      65.46%      |
|  62   |    64.59%    |    0.6371     |      63.77%       |      65.57%      |
|  63   |    64.77%    |    0.6450     |      63.79%       |      65.62%      |
|  64   |    64.81%    |    0.6441     |      63.70%       |      65.46%      |
|  65   |    64.86%    |    0.6469     |      63.63%       |      65.50%      |
|  66   |    64.93%    |    0.6669     |      63.74%       |      65.54%      |
|  67   |    64.98%    |    0.6530     |      63.64%       |      65.55%      |
|  68   |    65.07%    |    0.6334     |      63.70%       |      65.55%      |
|  69   |    65.10%    |    0.6398     |      63.63%       |      65.62%      |
|  70   |    65.11%    |    0.6379     |      63.55%       |      65.62%      |
|  71   |    65.10%    |    0.6317     |      63.67%       |      65.62%      |
|  72   |    65.14%    |    0.6177     |      63.66%       |      65.65%      |
|  73   |    65.14%    |    0.6610     |      63.74%       |      65.65%      |
|  74   |    65.17%    |    0.6533     |      63.71%       |      65.70%      |
|  75   |    65.28%    |    0.6426     |      63.70%       |      65.84%      |
|  76   |    65.25%    |    0.6446     |      63.76%       |      65.77%      |
|  77   |    65.30%    |    0.6568     |      63.76%       |      65.98%      |
|  78   |    65.29%    |    0.6464     |      63.84%       |      65.91%      |
|  79   |    65.29%    |    0.6356     |      63.84%       |      65.62%      |
|  80   |    65.30%    |    0.6376     |      63.89%       |      65.84%      |
|  81   |    65.29%    |    0.6621     |      63.92%       |      65.62%      |
|  82   |    65.29%    |    0.6560     |      63.84%       |      65.62%      |
|  83   |    65.26%    |    0.6395     |      63.86%       |      65.84%      |
|  84   |    65.30%    |    0.6548     |      63.84%       |      65.84%      |
|  85   |    65.26%    |    0.6299     |      63.98%       |      65.83%      |
|  86   |    65.25%    |    0.6365     |      63.89%       |      65.76%      |
|  87   |    65.29%    |    0.6727     |      63.92%       |      65.76%      |
|  88   |    65.25%    |    0.6670     |      63.92%       |      65.61%      |
|  89   |    65.30%    |    0.6390     |      63.92%       |      65.83%      |
|  90   |    65.27%    |    0.6292     |      64.10%       |      65.69%      |
|  91   |    65.27%    |    0.6652     |      63.88%       |      65.61%      |
|  92   |    65.26%    |    0.6509     |      64.09%       |      65.83%      |
|  93   |    65.33%    |    0.6433     |      64.02%       |      65.76%      |
|  94   |    65.29%    |    0.6341     |      64.08%       |      66.02%      |
|  95   |    65.40%    |    0.6419     |      64.12%       |      65.95%      |
|  96   |    65.39%    |    0.6627     |      64.14%       |      65.88%      |
|  97   |    65.43%    |    0.6348     |      64.14%       |      65.78%      |
|  98   |    65.42%    |    0.6066     |      64.13%       |      66.22%      |
|  99   |    65.46%    |    0.6454     |      64.14%       |      66.04%      |
|  100  |    65.51%    |    0.6276     |      64.29%       |      66.30%      |
|  101  |    65.48%    |    0.6322     |      64.21%       |      66.45%      |
|  102  |    65.53%    |    0.6520     |      64.26%       |      66.38%      |
|  103  |    65.50%    |    0.6436     |      64.32%       |      66.35%      |
|  104  |    65.49%    |    0.6299     |      64.34%       |      66.44%      |
|  105  |    65.55%    |    0.6614     |      64.30%       |      66.44%      |
|  106  |    65.52%    |    0.6512     |      64.36%       |      66.30%      |
|  107  |    65.56%    |    0.6507     |      64.36%       |      66.30%      |
|  108  |    65.57%    |    0.6315     |      64.34%       |      66.17%      |
|  109  |    65.52%    |    0.6465     |      64.35%       |      66.24%      |
|  110  |    65.53%    |    0.6378     |      64.34%       |      66.15%      |
|  111  |    65.56%    |    0.6230     |      64.37%       |      66.37%      |
|  112  |    65.54%    |    0.6458     |      64.36%       |      66.44%      |
|  113  |    65.56%    |    0.6482     |      64.40%       |      66.37%      |
|  114  |    65.55%    |    0.6499     |      64.34%       |      66.51%      |
|  115  |    65.56%    |    0.6257     |      64.39%       |      66.29%      |
|  116  |    65.54%    |    0.6186     |      64.39%       |      66.37%      |
|  117  |    65.51%    |    0.6486     |      64.48%       |      66.45%      |
|  118  |    65.54%    |    0.6177     |      64.41%       |      66.30%      |
|  119  |    65.54%    |    0.6471     |      64.39%       |      66.22%      |
|  120  |    65.54%    |    0.6472     |      64.41%       |      66.29%      |
|  121  |    65.54%    |    0.6089     |      64.37%       |      66.18%      |
|  122  |    65.53%    |    0.6286     |      64.40%       |      66.22%      |
|  123  |    65.53%    |    0.6033     |      64.42%       |      66.15%      |
|  124  |    65.51%    |    0.6386     |      64.45%       |      66.52%      |
|  125  |    65.54%    |    0.6415     |      64.33%       |      66.29%      |
|  126  |    65.51%    |    0.6433     |      64.43%       |      66.18%      |
|  127  |    65.49%    |    0.6351     |      64.42%       |      65.97%      |
|  128  |    65.57%    |    0.6388     |      64.46%       |      66.38%      |
|  129  |    65.55%    |    0.6452     |      64.47%       |      66.18%      |
|  130  |    65.49%    |    0.6527     |      64.41%       |      65.90%      |
|  131  |    65.57%    |    0.6491     |      64.40%       |      66.04%      |
|  132  |    65.55%    |    0.6390     |      64.46%       |      66.27%      |
|  133  |    65.58%    |    0.6576     |      64.42%       |      66.14%      |
|  134  |    65.56%    |    0.6453     |      64.53%       |      66.36%      |
|  135  |    65.56%    |    0.6434     |      64.44%       |      66.21%      |
|  136  |    65.57%    |    0.6369     |      64.45%       |      66.27%      |
|  137  |    65.60%    |    0.6390     |      64.45%       |      66.30%      |
|  138  |    65.56%    |    0.6449     |      64.49%       |      66.27%      |
|  139  |    65.58%    |    0.6434     |      64.45%       |      66.27%      |
|  140  |    65.59%    |    0.6321     |      64.48%       |      66.21%      |
|  141  |    65.57%    |    0.6174     |      64.51%       |      66.35%      |
|  142  |    65.53%    |    0.6637     |      64.51%       |      66.09%      |
|  143  |    65.57%    |    0.6357     |      64.50%       |      66.20%      |
|  144  |    65.54%    |    0.6446     |      64.49%       |      66.20%      |
|  145  |    65.56%    |    0.6577     |      64.52%       |      66.20%      |
|  146  |    65.57%    |    0.6347     |      64.48%       |      66.13%      |
|  147  |    65.55%    |    0.6502     |      64.52%       |      66.13%      |
|  148  |    65.53%    |    0.6416     |      64.57%       |      66.21%      |
|  149  |    65.56%    |    0.6096     |      64.57%       |      66.28%      |
|  150  |    65.53%    |    0.6261     |      64.52%       |      66.21%      |
|  151  |    65.52%    |    0.6262     |      64.59%       |      66.12%      |
|  152  |    65.57%    |    0.6269     |      64.58%       |      66.14%      |
|  153  |    65.55%    |    0.6303     |      64.48%       |      66.36%      |
|  154  |    65.56%    |    0.6338     |      64.48%       |      66.27%      |
|  155  |    65.57%    |    0.6473     |      64.46%       |      66.07%      |
|  156  |    65.58%    |    0.6150     |      64.56%       |      66.21%      |
|  157  |    65.63%    |    0.6004     |      64.55%       |      66.14%      |
|  158  |    65.58%    |    0.6436     |      64.51%       |      66.26%      |
|  159  |    65.59%    |    0.6281     |      64.52%       |      66.07%      |
|  160  |    65.63%    |    0.6182     |      64.58%       |      66.36%      |
|  161  |    65.61%    |    0.6400     |      64.60%       |      66.36%      |
|  162  |    65.61%    |    0.6432     |      64.57%       |      66.36%      |
|  163  |    65.65%    |    0.6070     |      64.60%       |      66.43%      |
|  164  |    65.63%    |    0.6102     |      64.65%       |      66.34%      |
|  165  |    65.65%    |    0.6284     |      64.71%       |      66.07%      |
|  166  |    65.64%    |    0.6464     |      64.63%       |      66.28%      |
|  167  |    65.63%    |    0.6362     |      64.69%       |      66.39%      |
|  168  |    65.61%    |    0.6433     |      64.65%       |      66.43%      |
|  169  |    65.67%    |    0.6451     |      64.65%       |      66.41%      |
|  170  |    65.61%    |    0.6271     |      64.68%       |      66.14%      |
|  171  |    65.61%    |    0.6502     |      64.56%       |      66.28%      |
|  172  |    65.65%    |    0.6359     |      64.63%       |      66.34%      |
|  173  |    65.67%    |    0.6374     |      64.71%       |      66.31%      |
|  174  |    65.65%    |    0.6334     |      64.70%       |      66.28%      |
|  175  |    65.64%    |    0.6261     |      64.68%       |      66.42%      |
|  176  |    65.64%    |    0.6263     |      64.68%       |      66.26%      |
|  177  |    65.62%    |    0.6290     |      64.62%       |      66.07%      |
|  178  |    65.65%    |    0.6197     |      64.64%       |      66.39%      |
|  179  |    65.59%    |    0.6349     |      64.67%       |      66.31%      |
|  180  |    65.59%    |    0.6280     |      64.76%       |      66.39%      |
|  181  |    65.60%    |    0.6293     |      64.70%       |      66.34%      |
|  182  |    65.59%    |    0.6317     |      64.66%       |      66.24%      |
|  183  |    65.65%    |    0.6355     |      64.63%       |      66.35%      |
|  184  |    65.60%    |    0.6298     |      64.66%       |      66.46%      |
|  185  |    65.62%    |    0.6273     |      64.67%       |      66.05%      |
|  186  |    65.56%    |    0.6106     |      64.54%       |      66.27%      |
|  187  |    65.56%    |    0.6199     |      64.72%       |      66.36%      |
|  188  |    65.61%    |    0.6267     |      64.66%       |      66.31%      |
|  189  |    65.56%    |    0.6305     |      64.69%       |      66.28%      |
|  190  |    65.58%    |    0.6168     |      64.75%       |      66.31%      |
|  191  |    65.53%    |    0.6139     |      64.76%       |      66.28%      |
|  192  |    65.52%    |    0.6190     |      64.73%       |      65.96%      |
|  193  |    65.54%    |    0.6469     |      64.73%       |      66.10%      |
|  194  |    65.50%    |    0.6300     |      64.80%       |      66.10%      |
|  195  |    65.50%    |    0.6280     |      64.69%       |      66.24%      |
|  196  |    65.54%    |    0.6392     |      64.68%       |      66.09%      |
|  197  |    65.53%    |    0.6277     |      64.74%       |      66.21%      |
|  198  |    65.52%    |    0.6366     |      64.70%       |      66.14%      |
|  199  |    65.54%    |    0.6197     |      64.75%       |      66.21%      |
|  200  |    65.52%    |    0.6264     |      64.74%       |      66.31%      |
