| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    52.30%    |    0.6681     |      56.90%       |      53.20%      |
|   2   |    56.26%    |    0.6518     |      61.02%       |      58.10%      |
|   3   |    60.13%    |    0.6986     |      62.18%       |      61.39%      |
|   4   |    62.35%    |    0.6433     |      63.12%       |      63.20%      |
|   5   |    64.36%    |    0.6512     |      63.48%       |      64.61%      |
|   6   |    65.19%    |    0.6247     |      63.70%       |      65.93%      |
|   7   |    65.42%    |    0.6409     |      64.10%       |      65.80%      |
|   8   |    65.72%    |    0.6462     |      64.43%       |      66.48%      |
|   9   |    66.04%    |    0.6110     |      64.46%       |      66.43%      |
|  10   |    66.21%    |    0.6457     |      64.71%       |      66.51%      |
|  11   |    66.22%    |    0.6362     |      64.70%       |      66.15%      |
|  12   |    66.27%    |    0.6548     |      64.69%       |      66.22%      |
|  13   |    66.35%    |    0.6248     |      64.81%       |      66.19%      |
|  14   |    66.35%    |    0.6174     |      64.86%       |      66.16%      |
|  15   |    66.47%    |    0.6400     |      64.87%       |      66.42%      |
|  16   |    66.63%    |    0.6439     |      65.08%       |      66.36%      |
|  17   |    66.56%    |    0.6072     |      65.18%       |      66.65%      |
|  18   |    66.54%    |    0.6279     |      65.13%       |      66.92%      |
|  19   |    66.50%    |    0.6247     |      65.09%       |      66.45%      |
|  20   |    66.42%    |    0.6126     |      65.15%       |      66.62%      |
|  21   |    66.37%    |    0.5972     |      65.17%       |      66.58%      |
|  22   |    66.41%    |    0.6435     |      65.19%       |      66.64%      |
|  23   |    66.38%    |    0.6269     |      64.99%       |      66.37%      |
|  24   |    66.30%    |    0.6149     |      64.96%       |      66.19%      |
|  25   |    66.27%    |    0.6163     |      65.15%       |      66.23%      |
|  26   |    66.33%    |    0.5914     |      65.03%       |      66.67%      |
|  27   |    66.45%    |    0.6049     |      65.04%       |      66.70%      |
|  28   |    66.40%    |    0.5948     |      64.97%       |      66.56%      |
|  29   |    66.52%    |    0.6069     |      65.05%       |      66.50%      |
|  30   |    66.55%    |    0.6068     |      64.99%       |      66.47%      |
|  31   |    66.54%    |    0.6244     |      65.02%       |      66.48%      |
|  32   |    66.59%    |    0.5962     |      64.93%       |      66.20%      |
|  33   |    66.65%    |    0.6123     |      64.98%       |      66.49%      |
|  34   |    66.69%    |    0.6366     |      65.05%       |      66.94%      |
|  35   |    66.76%    |    0.6325     |      64.97%       |      66.67%      |
|  36   |    66.72%    |    0.6135     |      65.11%       |      66.66%      |
|  37   |    66.92%    |    0.6190     |      65.09%       |      66.62%      |
|  38   |    66.81%    |    0.6140     |      65.21%       |      66.96%      |
|  39   |    66.91%    |    0.5976     |      65.11%       |      66.73%      |
|  40   |    66.77%    |    0.6324     |      65.08%       |      66.84%      |
|  41   |    66.88%    |    0.6094     |      65.13%       |      66.85%      |
|  42   |    66.87%    |    0.5970     |      65.08%       |      66.98%      |
|  43   |    66.97%    |    0.6259     |      65.30%       |      66.59%      |
|  44   |    66.95%    |    0.5971     |      64.93%       |      66.76%      |
|  45   |    66.97%    |    0.5939     |      65.14%       |      66.86%      |
|  46   |    66.88%    |    0.6031     |      64.89%       |      66.80%      |
|  47   |    66.80%    |    0.6296     |      65.10%       |      66.74%      |
|  48   |    66.82%    |    0.6073     |      65.05%       |      66.95%      |
|  49   |    67.02%    |    0.6060     |      65.19%       |      66.92%      |
|  50   |    66.88%    |    0.6077     |      65.20%       |      66.70%      |
|  51   |    67.00%    |    0.5890     |      65.10%       |      66.69%      |
|  52   |    66.88%    |    0.6065     |      65.13%       |      66.62%      |
|  53   |    66.91%    |    0.6140     |      65.17%       |      66.93%      |
|  54   |    66.89%    |    0.6292     |      65.21%       |      66.83%      |
|  55   |    66.96%    |    0.6095     |      65.05%       |      66.68%      |
|  56   |    67.10%    |    0.5822     |      65.02%       |      66.89%      |
|  57   |    66.95%    |    0.6017     |      65.20%       |      66.91%      |
|  58   |    66.94%    |    0.5874     |      65.04%       |      66.78%      |
|  59   |    66.94%    |    0.6206     |      65.29%       |      66.63%      |
|  60   |    66.97%    |    0.5908     |      65.06%       |      66.58%      |
|  61   |    66.97%    |    0.5950     |      65.23%       |      66.71%      |
|  62   |    67.03%    |    0.5982     |      65.15%       |      66.83%      |
|  63   |    67.12%    |    0.6024     |      65.05%       |      66.78%      |
|  64   |    66.99%    |    0.5876     |      65.02%       |      66.63%      |
|  65   |    66.96%    |    0.5777     |      65.11%       |      66.41%      |
|  66   |    67.02%    |    0.5998     |      65.05%       |      66.70%      |
|  67   |    66.96%    |    0.6021     |      65.19%       |      66.85%      |
|  68   |    66.99%    |    0.5789     |      65.18%       |      66.61%      |
|  69   |    66.99%    |    0.5987     |      65.32%       |      66.47%      |
|  70   |    67.01%    |    0.5973     |      65.14%       |      66.68%      |
|  71   |    67.06%    |    0.6059     |      65.13%       |      66.80%      |
|  72   |    67.07%    |    0.6036     |      64.93%       |      66.89%      |
|  73   |    67.04%    |    0.5969     |      65.05%       |      66.77%      |
|  74   |    67.00%    |    0.5946     |      65.11%       |      66.51%      |
|  75   |    67.10%    |    0.5901     |      65.06%       |      66.71%      |
|  76   |    67.03%    |    0.6069     |      65.01%       |      66.59%      |
|  77   |    66.92%    |    0.5987     |      65.20%       |      66.59%      |
|  78   |    66.97%    |    0.5982     |      64.99%       |      66.92%      |
|  79   |    67.05%    |    0.6035     |      65.16%       |      66.78%      |
|  80   |    67.04%    |    0.5981     |      65.02%       |      66.71%      |
|  81   |    66.80%    |    0.5880     |      65.18%       |      66.76%      |
|  82   |    66.95%    |    0.6057     |      65.25%       |      66.71%      |
|  83   |    66.89%    |    0.5964     |      65.32%       |      66.77%      |
|  84   |    67.00%    |    0.5968     |      64.93%       |      66.76%      |
|  85   |    66.89%    |    0.5995     |      65.29%       |      66.75%      |
|  86   |    66.98%    |    0.5886     |      65.24%       |      66.78%      |
|  87   |    66.93%    |    0.5944     |      65.09%       |      66.72%      |
|  88   |    66.86%    |    0.5926     |      65.08%       |      66.64%      |
|  89   |    67.00%    |    0.6037     |      65.05%       |      66.65%      |
|  90   |    66.95%    |    0.5889     |      65.18%       |      66.71%      |
|  91   |    67.07%    |    0.5895     |      65.10%       |      66.71%      |
|  92   |    67.11%    |    0.5956     |      65.37%       |      66.86%      |
|  93   |    67.00%    |    0.6074     |      65.15%       |      66.57%      |
|  94   |    66.96%    |    0.6043     |      65.00%       |      66.50%      |
|  95   |    66.93%    |    0.6020     |      64.84%       |      66.86%      |
|  96   |    66.89%    |    0.6094     |      64.95%       |      66.73%      |
|  97   |    67.01%    |    0.5889     |      65.15%       |      66.79%      |
|  98   |    66.88%    |    0.5959     |      65.43%       |      67.06%      |
|  99   |    66.93%    |    0.5849     |      65.13%       |      66.53%      |
|  100  |    66.87%    |    0.5980     |      65.16%       |      66.61%      |
|  101  |    66.98%    |    0.5939     |      65.15%       |      66.43%      |
|  102  |    66.83%    |    0.6067     |      65.32%       |      66.87%      |
|  103  |    66.94%    |    0.6059     |      65.06%       |      66.43%      |
|  104  |    66.82%    |    0.6009     |      65.22%       |      66.71%      |
|  105  |    67.04%    |    0.5975     |      65.12%       |      66.64%      |
|  106  |    66.92%    |    0.5941     |      65.26%       |      66.78%      |
|  107  |    66.95%    |    0.6071     |      65.12%       |      66.42%      |
|  108  |    66.89%    |    0.5901     |      64.84%       |      66.51%      |
|  109  |    66.94%    |    0.5943     |      65.34%       |      66.98%      |
|  110  |    66.98%    |    0.5827     |      65.28%       |      67.09%      |
|  111  |    67.05%    |    0.5869     |      65.25%       |      67.14%      |
|  112  |    67.02%    |    0.5742     |      65.05%       |      66.46%      |
|  113  |    67.05%    |    0.5903     |      64.89%       |      66.78%      |
|  114  |    66.90%    |    0.5925     |      65.04%       |      66.49%      |
|  115  |    66.91%    |    0.5826     |      65.32%       |      66.48%      |
|  116  |    66.99%    |    0.5990     |      65.13%       |      66.86%      |
|  117  |    66.96%    |    0.5995     |      65.24%       |      66.52%      |
|  118  |    67.12%    |    0.6011     |      65.25%       |      66.58%      |
|  119  |    67.05%    |    0.6065     |      65.18%       |      66.54%      |
|  120  |    67.02%    |    0.5821     |      65.09%       |      66.71%      |
|  121  |    67.05%    |    0.5902     |      65.05%       |      66.19%      |
|  122  |    66.99%    |    0.6051     |      65.26%       |      66.41%      |
|  123  |    66.90%    |    0.5881     |      65.26%       |      66.96%      |
|  124  |    66.99%    |    0.5811     |      65.31%       |      66.09%      |
|  125  |    67.10%    |    0.5839     |      64.77%       |      66.71%      |
|  126  |    66.98%    |    0.5849     |      65.30%       |      66.83%      |
|  127  |    66.95%    |    0.5815     |      65.20%       |      66.80%      |
|  128  |    66.95%    |    0.5810     |      65.19%       |      66.70%      |
|  129  |    66.84%    |    0.5849     |      65.19%       |      66.92%      |
|  130  |    67.06%    |    0.6013     |      65.18%       |      66.54%      |
|  131  |    67.09%    |    0.5906     |      65.30%       |      66.74%      |
|  132  |    66.99%    |    0.5819     |      65.11%       |      66.72%      |
|  133  |    66.98%    |    0.5873     |      65.21%       |      66.81%      |
|  134  |    66.99%    |    0.5855     |      64.91%       |      66.94%      |
|  135  |    66.99%    |    0.5974     |      65.20%       |      66.77%      |
|  136  |    66.97%    |    0.5867     |      65.18%       |      67.08%      |
|  137  |    66.97%    |    0.5852     |      65.18%       |      66.93%      |
|  138  |    67.00%    |    0.5968     |      65.19%       |      66.23%      |
|  139  |    66.97%    |    0.5901     |      65.02%       |      66.54%      |
|  140  |    67.05%    |    0.5807     |      65.34%       |      66.55%      |
|  141  |    67.04%    |    0.5870     |      65.24%       |      66.44%      |
|  142  |    66.89%    |    0.5981     |      65.17%       |      66.49%      |
|  143  |    67.10%    |    0.5861     |      65.19%       |      67.08%      |
|  144  |    67.06%    |    0.5857     |      64.98%       |      66.78%      |
|  145  |    67.05%    |    0.5772     |      65.07%       |      67.12%      |
|  146  |    66.97%    |    0.5969     |      65.17%       |      66.33%      |
|  147  |    67.03%    |    0.5930     |      65.20%       |      66.86%      |
|  148  |    66.92%    |    0.6018     |      65.23%       |      66.52%      |
|  149  |    67.22%    |    0.5915     |      65.24%       |      66.90%      |
|  150  |    67.24%    |    0.5784     |      65.21%       |      66.71%      |
|  151  |    67.09%    |    0.5913     |      65.17%       |      66.31%      |
|  152  |    67.09%    |    0.6093     |      65.24%       |      66.50%      |
|  153  |    67.14%    |    0.5990     |      65.28%       |      66.51%      |
|  154  |    67.11%    |    0.5776     |      65.12%       |      66.59%      |
|  155  |    67.08%    |    0.5879     |      65.33%       |      66.88%      |
|  156  |    67.24%    |    0.5959     |      64.93%       |      66.30%      |
|  157  |    67.16%    |    0.5967     |      64.94%       |      66.84%      |
|  158  |    67.16%    |    0.5792     |      65.26%       |      66.55%      |
|  159  |    67.07%    |    0.5734     |      65.02%       |      66.72%      |
|  160  |    67.14%    |    0.5980     |      65.27%       |      66.67%      |
|  161  |    67.12%    |    0.5838     |      65.26%       |      66.66%      |
|  162  |    67.09%    |    0.5860     |      65.11%       |      66.48%      |
|  163  |    67.20%    |    0.5731     |      65.21%       |      66.61%      |
|  164  |    67.46%    |    0.5860     |      65.23%       |      67.15%      |
|  165  |    67.13%    |    0.5892     |      65.22%       |      66.30%      |
|  166  |    67.09%    |    0.5894     |      64.95%       |      66.22%      |
|  167  |    67.31%    |    0.5963     |      64.89%       |      66.58%      |
|  168  |    67.00%    |    0.5818     |      65.07%       |      66.87%      |
|  169  |    67.23%    |    0.5789     |      65.24%       |      66.76%      |
|  170  |    67.12%    |    0.5922     |      65.27%       |      66.50%      |
|  171  |    67.20%    |    0.5927     |      65.06%       |      66.50%      |
|  172  |    66.93%    |    0.5942     |      65.32%       |      66.78%      |
|  173  |    67.17%    |    0.5850     |      65.41%       |      66.59%      |
|  174  |    67.20%    |    0.5772     |      65.30%       |      66.42%      |
|  175  |    67.31%    |    0.5812     |      65.12%       |      66.01%      |
|  176  |    67.28%    |    0.5948     |      65.37%       |      66.74%      |
|  177  |    67.31%    |    0.5965     |      65.13%       |      66.62%      |
|  178  |    67.21%    |    0.6048     |      65.05%       |      66.34%      |
|  179  |    67.32%    |    0.5835     |      65.37%       |      67.09%      |
|  180  |    67.20%    |    0.5900     |      65.02%       |      66.59%      |
|  181  |    67.03%    |    0.5878     |      65.11%       |      67.00%      |
|  182  |    67.22%    |    0.5794     |      65.10%       |      66.39%      |
|  183  |    67.40%    |    0.5815     |      65.19%       |      66.90%      |
|  184  |    67.11%    |    0.5769     |      65.11%       |      66.53%      |
|  185  |    67.09%    |    0.5831     |      65.27%       |      66.59%      |
|  186  |    67.20%    |    0.5945     |      65.17%       |      66.74%      |
|  187  |    67.40%    |    0.5838     |      65.17%       |      66.80%      |
|  188  |    67.21%    |    0.5899     |      65.26%       |      66.82%      |
|  189  |    67.22%    |    0.5974     |      65.17%       |      67.08%      |
|  190  |    67.25%    |    0.5792     |      65.32%       |      66.56%      |
|  191  |    67.20%    |    0.5876     |      65.14%       |      66.68%      |
|  192  |    67.10%    |    0.5956     |      65.19%       |      66.73%      |
|  193  |    67.27%    |    0.5739     |      65.17%       |      66.88%      |
|  194  |    67.22%    |    0.5960     |      65.14%       |      66.60%      |
|  195  |    67.18%    |    0.5892     |      65.21%       |      66.89%      |
|  196  |    67.33%    |    0.5860     |      65.20%       |      66.60%      |
|  197  |    67.41%    |    0.5763     |      65.05%       |      66.68%      |
|  198  |    67.15%    |    0.5919     |      65.22%       |      67.10%      |
|  199  |    67.20%    |    0.5884     |      65.00%       |      66.65%      |
|  200  |    67.42%    |    0.6027     |      65.15%       |      66.96%      |
