| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    62.10%    |    0.6385     |      65.04%       |      66.91%      |
|   2   |    66.64%    |    0.6216     |      64.90%       |      66.06%      |
|   3   |    66.33%    |    0.6144     |      65.03%       |      66.62%      |
|   4   |    66.34%    |    0.6262     |      65.00%       |      65.97%      |
|   5   |    66.26%    |    0.6220     |      64.97%       |      66.37%      |
|   6   |    66.39%    |    0.6065     |      65.04%       |      65.89%      |
|   7   |    66.29%    |    0.6034     |      64.87%       |      65.81%      |
|   8   |    66.13%    |    0.5986     |      65.08%       |      65.50%      |
|   9   |    66.38%    |    0.6097     |      64.99%       |      65.71%      |
|  10   |    66.55%    |    0.5936     |      64.79%       |      65.42%      |
|  11   |    66.47%    |    0.5970     |      64.90%       |      66.48%      |
|  12   |    66.43%    |    0.6061     |      65.10%       |      66.74%      |
|  13   |    66.66%    |    0.5947     |      64.94%       |      65.95%      |
|  14   |    66.28%    |    0.5986     |      65.00%       |      65.78%      |
|  15   |    66.40%    |    0.5918     |      65.12%       |      66.84%      |
|  16   |    66.68%    |    0.5943     |      64.99%       |      65.80%      |
|  17   |    66.51%    |    0.5892     |      64.73%       |      66.04%      |
|  18   |    66.51%    |    0.5995     |      64.92%       |      66.05%      |
|  19   |    66.39%    |    0.5902     |      64.81%       |      66.06%      |
|  20   |    66.57%    |    0.5996     |      65.02%       |      66.60%      |
|  21   |    66.44%    |    0.5910     |      64.97%       |      65.76%      |
|  22   |    66.65%    |    0.5943     |      64.92%       |      66.15%      |
|  23   |    66.43%    |    0.5842     |      64.90%       |      65.75%      |
|  24   |    66.84%    |    0.5913     |      64.47%       |      65.14%      |
|  25   |    66.35%    |    0.5880     |      65.04%       |      65.43%      |
|  26   |    66.55%    |    0.6053     |      65.04%       |      66.47%      |
|  27   |    66.79%    |    0.5830     |      64.96%       |      66.08%      |
|  28   |    66.71%    |    0.5703     |      65.14%       |      67.34%      |
|  29   |    66.99%    |    0.5915     |      64.87%       |      66.91%      |
|  30   |    66.91%    |    0.5709     |      64.87%       |      65.87%      |
|  31   |    66.89%    |    0.5912     |      65.00%       |      65.95%      |
|  32   |    66.67%    |    0.5840     |      64.98%       |      66.62%      |
|  33   |    66.84%    |    0.5903     |      64.94%       |      66.12%      |
|  34   |    66.73%    |    0.5982     |      64.87%       |      66.44%      |
|  35   |    66.76%    |    0.5760     |      64.79%       |      66.21%      |
|  36   |    66.61%    |    0.5944     |      65.04%       |      66.45%      |
|  37   |    66.83%    |    0.5930     |      64.74%       |      65.73%      |
|  38   |    66.95%    |    0.5867     |      64.79%       |      66.43%      |
|  39   |    66.67%    |    0.5983     |      64.81%       |      65.45%      |
|  40   |    66.65%    |    0.5971     |      64.88%       |      65.68%      |
|  41   |    67.05%    |    0.5966     |      64.98%       |      66.40%      |
|  42   |    66.99%    |    0.5892     |      65.15%       |      66.81%      |
|  43   |    66.82%    |    0.5719     |      64.85%       |      66.02%      |
|  44   |    66.95%    |    0.5911     |      64.74%       |      65.66%      |
|  45   |    66.97%    |    0.5782     |      65.11%       |      66.74%      |
|  46   |    66.88%    |    0.5905     |      65.19%       |      66.16%      |
|  47   |    66.72%    |    0.5884     |      65.03%       |      66.38%      |
|  48   |    67.08%    |    0.5981     |      65.05%       |      66.14%      |
|  49   |    67.01%    |    0.5785     |      64.96%       |      66.33%      |
|  50   |    66.96%    |    0.5662     |      64.97%       |      66.35%      |
|  51   |    66.81%    |    0.5921     |      65.19%       |      66.92%      |
|  52   |    66.96%    |    0.5870     |      64.94%       |      66.61%      |
|  53   |    67.05%    |    0.5955     |      65.00%       |      66.03%      |
|  54   |    67.17%    |    0.5902     |      64.97%       |      66.79%      |
|  55   |    66.86%    |    0.5897     |      64.93%       |      66.57%      |
|  56   |    67.06%    |    0.5787     |      64.96%       |      65.88%      |
|  57   |    67.04%    |    0.5850     |      64.87%       |      65.97%      |
|  58   |    66.79%    |    0.5850     |      64.85%       |      66.00%      |
|  59   |    67.05%    |    0.5795     |      64.98%       |      66.01%      |
|  60   |    66.96%    |    0.5969     |      64.94%       |      65.69%      |
