| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    64.25%    |    0.6013     |      64.54%       |      65.15%      |
|   2   |    66.29%    |    0.6027     |      64.82%       |      66.40%      |
|   3   |    66.09%    |    0.6097     |      64.89%       |      65.98%      |
|   4   |    66.19%    |    0.6074     |      64.72%       |      66.53%      |
|   5   |    66.39%    |    0.5944     |      64.63%       |      66.19%      |
|   6   |    66.20%    |    0.5750     |      64.89%       |      66.53%      |
|   7   |    66.32%    |    0.5931     |      64.57%       |      66.73%      |
|   8   |    66.57%    |    0.5925     |      64.82%       |      66.66%      |
|   9   |    66.58%    |    0.5957     |      64.77%       |      66.36%      |
|  10   |    66.67%    |    0.5902     |      64.55%       |      66.36%      |
|  11   |    66.94%    |    0.5829     |      64.84%       |      66.64%      |
|  12   |    66.84%    |    0.6135     |      64.84%       |      66.76%      |
|  13   |    66.70%    |    0.5903     |      64.97%       |      67.13%      |
|  14   |    66.84%    |    0.5961     |      64.80%       |      66.15%      |
|  15   |    66.78%    |    0.5784     |      64.78%       |      66.59%      |
|  16   |    66.47%    |    0.5735     |      64.77%       |      66.50%      |
|  17   |    66.91%    |    0.5793     |      64.79%       |      66.34%      |
|  18   |    66.49%    |    0.5817     |      64.97%       |      66.98%      |
|  19   |    66.81%    |    0.5857     |      64.79%       |      66.66%      |
|  20   |    66.77%    |    0.5781     |      64.55%       |      65.53%      |
|  21   |    66.69%    |    0.5799     |      64.77%       |      66.45%      |
|  22   |    66.44%    |    0.5902     |      64.97%       |      66.72%      |
|  23   |    66.68%    |    0.5987     |      64.63%       |      66.00%      |
|  24   |    67.01%    |    0.5977     |      64.84%       |      66.56%      |
|  25   |    66.64%    |    0.5839     |      64.75%       |      66.39%      |
|  26   |    64.55%    |    0.5746     |      64.86%       |      66.28%      |
|  27   |    66.68%    |    0.5917     |      64.53%       |      65.71%      |
|  28   |    66.76%    |    0.5867     |      64.71%       |      66.07%      |
|  29   |    67.10%    |    0.5821     |      64.66%       |      66.02%      |
|  30   |    66.40%    |    0.5894     |      64.87%       |      66.18%      |
|  31   |    66.33%    |    0.5766     |      64.98%       |      66.57%      |
|  32   |    66.68%    |    0.6007     |      64.29%       |      65.49%      |
|  33   |    65.19%    |    0.5848     |      64.98%       |      66.87%      |
|  34   |    66.71%    |    0.5866     |      64.84%       |      65.83%      |
|  35   |    66.56%    |    0.5849     |      65.11%       |      66.35%      |
|  36   |    66.81%    |    0.5876     |      64.67%       |      66.58%      |
|  37   |    66.58%    |    0.5904     |      64.81%       |      66.22%      |
|  38   |    66.85%    |    0.5702     |      64.79%       |      66.22%      |
|  39   |    66.43%    |    0.6311     |      64.26%       |      65.36%      |
|  40   |    66.37%    |    0.6071     |      64.72%       |      66.21%      |
|  41   |    63.15%    |    0.5921     |      64.15%       |      60.59%      |
|  42   |    61.58%    |    0.6102     |      64.50%       |      66.26%      |
|  43   |    66.96%    |    0.6072     |      64.77%       |      65.97%      |
|  44   |    66.93%    |    0.5965     |      64.88%       |      65.99%      |
|  45   |    66.68%    |    0.6036     |      64.83%       |      66.11%      |
|  46   |    66.56%    |    0.6048     |      64.90%       |      67.05%      |
|  47   |    66.61%    |    0.5892     |      64.81%       |      66.51%      |
|  48   |    66.77%    |    0.6076     |      64.82%       |      66.66%      |
|  49   |    65.93%    |    0.6203     |      63.86%       |      61.55%      |
|  50   |    64.82%    |    0.6178     |      64.75%       |      66.60%      |
|  51   |    66.17%    |    0.5889     |      64.56%       |      66.63%      |
|  52   |    65.60%    |    0.6334     |      63.59%       |      64.47%      |
|  53   |    64.55%    |    0.6219     |      64.51%       |      64.27%      |
|  54   |    65.79%    |    0.6099     |      63.55%       |      59.81%      |
|  55   |    66.26%    |    0.5918     |      64.80%       |      66.12%      |
|  56   |    66.42%    |    0.5878     |      64.75%       |      66.53%      |
|  57   |    65.33%    |    0.6278     |      64.54%       |      64.73%      |
|  58   |    61.35%    |    0.6353     |      62.18%       |      60.05%      |
|  59   |    56.88%    |    0.6555     |      63.18%       |      63.13%      |
|  60   |    63.18%    |    0.6545     |      63.86%       |      66.08%      |
|  61   |    63.38%    |    0.6516     |      62.36%       |      61.62%      |
|  62   |    59.35%    |    0.6646     |      62.11%       |      63.21%      |
|  63   |    62.41%    |    0.6458     |      63.19%       |      64.31%      |
|  64   |    60.45%    |    0.6436     |      62.02%       |      61.25%      |
|  65   |    58.49%    |    0.6585     |      61.06%       |      57.72%      |
|  66   |    59.24%    |    0.6575     |      63.32%       |      62.67%      |
|  67   |    60.51%    |    0.6549     |      61.19%       |      59.21%      |
|  68   |    62.79%    |    0.6656     |      63.55%       |      64.94%      |
|  69   |    59.12%    |    0.8040     |      50.18%       |      50.74%      |
|  70   |    53.56%    |    0.6601     |      56.44%       |      55.45%      |
|  71   |    55.51%    |    0.6830     |      56.73%       |      52.95%      |
|  72   |    54.61%    |    0.7005     |      56.77%       |      57.51%      |
|  73   |    58.58%    |    0.6877     |      54.41%       |      56.24%      |
|  74   |    60.06%    |    0.6674     |      60.93%       |      63.28%      |
|  75   |    59.76%    |    0.6791     |      58.41%       |      61.90%      |
|  76   |    59.05%    |    0.6872     |      55.64%       |      58.39%      |
|  77   |    60.99%    |    0.6718     |      57.09%       |      65.69%      |
|  78   |    63.84%    |    0.6620     |      58.85%       |      63.40%      |
|  79   |    63.23%    |    0.7118     |      56.72%       |      63.06%      |
|  80   |    61.17%    |    0.6826     |      60.00%       |      64.83%      |
|  81   |    60.58%    |    0.6766     |      58.32%       |      62.52%      |
|  82   |    61.16%    |    0.6739     |      57.27%       |      62.33%      |
|  83   |    61.20%    |    0.6676     |      60.61%       |      62.96%      |
|  84   |    61.55%    |    0.6886     |      60.36%       |      61.80%      |
|  85   |    64.00%    |    0.6420     |      62.45%       |      63.00%      |
|  86   |    62.79%    |    0.6641     |      60.86%       |      63.47%      |
|  87   |    63.94%    |    0.6238     |      61.15%       |      60.98%      |
|  88   |    63.39%    |    0.6739     |      58.57%       |      66.09%      |
|  89   |    57.14%    |    0.6949     |      56.22%       |      57.71%      |
|  90   |    59.79%    |    0.6749     |      56.42%       |      63.80%      |
|  91   |    61.80%    |    0.7068     |      57.04%       |      63.56%      |
|  92   |    62.37%    |    0.6828     |      55.45%       |      57.86%      |
|  93   |    62.08%    |    0.6758     |      56.96%       |      64.52%      |
|  94   |    62.17%    |    0.6780     |      59.14%       |      60.26%      |
|  95   |    59.23%    |    0.6798     |      55.48%       |      55.05%      |
|  96   |    59.03%    |    0.6786     |      57.69%       |      60.52%      |
|  97   |    61.16%    |    0.6485     |      60.43%       |      63.22%      |
|  98   |    62.86%    |    0.6619     |      60.80%       |      63.59%      |
|  99   |    62.07%    |    0.6697     |      60.06%       |      57.91%      |
|  100  |    51.35%    |    0.6706     |      59.94%       |      51.66%      |
|  101  |    52.03%    |    0.7028     |      54.05%       |      51.55%      |
|  102  |    52.01%    |    0.6883     |      55.08%       |      54.06%      |
|  103  |    58.12%    |    0.6741     |      59.55%       |      61.74%      |
|  104  |    56.38%    |    0.6869     |      52.84%       |      53.67%      |
|  105  |    58.42%    |    0.6761     |      57.97%       |      61.77%      |
|  106  |    60.27%    |    0.6722     |      58.85%       |      59.50%      |
|  107  |    55.13%    |    0.6893     |      53.90%       |      53.49%      |
|  108  |    54.41%    |    0.7013     |      52.84%       |      55.16%      |
|  109  |    55.26%    |    0.6821     |      53.21%       |      51.31%      |
|  110  |    56.89%    |    0.6952     |      57.53%       |      61.31%      |
|  111  |    59.71%    |    0.6668     |      57.60%       |      59.58%      |
|  112  |    58.06%    |    0.6899     |      54.84%       |      56.50%      |
|  113  |    52.96%    |    0.7109     |      53.32%       |      50.95%      |
|  114  |    54.60%    |    0.6907     |      56.36%       |      56.19%      |
|  115  |    54.77%    |    0.6760     |      58.02%       |      56.39%      |
|  116  |    55.33%    |    0.6782     |      57.86%       |      54.64%      |
|  117  |    53.01%    |    0.6704     |      55.15%       |      52.51%      |
|  118  |    53.55%    |    0.6767     |      56.17%       |      53.15%      |
|  119  |    57.06%    |    0.6917     |      56.43%       |      57.95%      |
|  120  |    59.48%    |    0.6647     |      59.32%       |      61.76%      |
|  121  |    60.05%    |    0.6741     |      56.96%       |      57.61%      |
|  122  |    60.47%    |    0.6692     |      60.03%       |      60.31%      |
|  123  |    61.59%    |    0.6712     |      59.77%       |      62.51%      |
|  124  |    57.23%    |    0.6661     |      58.89%       |      55.45%      |
|  125  |    56.15%    |    0.7265     |      50.31%       |      50.49%      |
|  126  |    56.20%    |    0.6729     |      54.20%       |      56.48%      |
|  127  |    56.98%    |    0.6982     |      55.67%       |      53.66%      |
|  128  |    57.18%    |    0.6545     |      57.92%       |      57.23%      |
|  129  |    57.12%    |    0.6769     |      58.18%       |      57.02%      |
|  130  |    57.19%    |    0.6802     |      57.87%       |      56.76%      |
|  131  |    56.40%    |    0.6778     |      56.44%       |      56.21%      |
|  132  |    56.08%    |    0.6671     |      57.42%       |      56.28%      |
|  133  |    56.26%    |    0.6860     |      59.20%       |      56.94%      |
|  134  |    55.86%    |    0.7022     |      59.01%       |      56.52%      |
|  135  |    56.38%    |    0.6585     |      57.90%       |      59.13%      |
|  136  |    59.96%    |    0.6632     |      58.47%       |      60.73%      |
|  137  |    56.72%    |    0.6779     |      55.83%       |      56.84%      |
|  138  |    59.36%    |    0.6887     |      55.53%       |      65.01%      |
|  139  |    61.29%    |    0.7002     |      55.41%       |      65.80%      |
|  140  |    62.92%    |    0.6928     |      56.29%       |      66.15%      |
|  141  |    61.30%    |    0.6938     |      54.14%       |      59.06%      |
|  142  |    59.72%    |    0.6675     |      56.21%       |      61.30%      |
|  143  |    59.87%    |    0.6850     |      55.17%       |      58.17%      |
|  144  |    56.19%    |    0.6837     |      54.07%       |      57.10%      |
|  145  |    60.50%    |    0.6787     |      55.75%       |      61.49%      |
|  146  |    57.79%    |    0.7133     |      53.78%       |      58.31%      |
|  147  |    58.89%    |    0.6865     |      55.78%       |      62.99%      |
|  148  |    61.25%    |    0.6965     |      55.40%       |      63.72%      |
|  149  |    56.51%    |    0.6872     |      55.62%       |      52.10%      |
|  150  |    54.09%    |    0.6861     |      54.03%       |      48.04%      |
|  151  |    55.23%    |    0.7113     |      54.40%       |      46.73%      |
|  152  |    51.08%    |    0.7112     |      51.84%       |      50.22%      |
|  153  |    50.75%    |    0.7030     |      55.72%       |      51.81%      |
|  154  |    51.35%    |    0.6904     |      54.62%       |      52.92%      |
|  155  |    55.95%    |    0.6731     |      56.25%       |      62.95%      |
|  156  |    61.51%    |    0.6905     |      53.14%       |      57.34%      |
|  157  |    56.15%    |    0.6798     |      53.90%       |      58.76%      |
|  158  |    56.89%    |    0.6919     |      55.75%       |      52.25%      |
|  159  |    56.48%    |    0.6879     |      55.22%       |      50.45%      |
|  160  |    50.54%    |    0.6919     |      54.62%       |      55.07%      |
|  161  |    52.57%    |    0.7003     |      53.99%       |      51.12%      |
|  162  |    51.63%    |    0.6982     |      53.90%       |      50.79%      |
|  163  |    51.99%    |    0.6837     |      54.06%       |      52.88%      |
|  164  |    50.75%    |    0.6924     |      50.90%       |      49.71%      |
|  165  |    49.68%    |    0.6937     |      51.19%       |      49.89%      |
|  166  |    49.56%    |    0.6950     |      50.04%       |      50.24%      |
|  167  |    50.04%    |    0.6920     |      50.99%       |      50.15%      |
|  168  |    50.09%    |    0.6960     |      52.00%       |      50.15%      |
|  169  |    50.29%    |    0.6937     |      50.93%       |      50.08%      |
|  170  |    49.60%    |    0.6914     |      50.87%       |      49.86%      |
|  171  |    50.22%    |    0.6916     |      51.41%       |      49.94%      |
|  172  |    49.85%    |    0.6989     |      50.10%       |      50.22%      |
|  173  |    50.00%    |    0.6913     |      50.44%       |      50.01%      |
|  174  |    50.39%    |    0.6946     |      50.04%       |      49.78%      |
