| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.94%    |   2750.6982   |      50.80%       |      50.60%      |
|   2   |    49.66%    |   1176.6853   |      49.59%       |      49.54%      |
|   3   |    50.17%    |   102.3495    |      49.53%       |      49.48%      |
|   4   |    50.07%    |  437415.5625  |      50.95%       |      50.43%      |
|   5   |    50.43%    | 6870509.0000  |      49.58%       |      49.69%      |
|   6   |    49.92%    | 4598959.5000  |      50.43%       |      50.46%      |
|   7   |    49.77%    | 4801165.0000  |      50.42%       |      50.53%      |
|   8   |    50.15%    |  662578.9375  |      50.36%       |      50.39%      |
|   9   |    49.92%    |  341923.5625  |      49.56%       |      49.54%      |
|  10   |    50.16%    | 26018636.0000 |      49.69%       |      49.33%      |
|  11   |    49.97%    | 2518158.2500  |      49.62%       |      49.24%      |
|  12   |    50.12%    | 27207988.0000 |      50.41%       |      50.39%      |
|  13   |    50.04%    | 9453746.0000  |      50.38%       |      50.46%      |
|  14   |    49.52%    | 2790411.7500  |      50.42%       |      50.46%      |
|  15   |    50.05%    | 2999154.5000  |      50.44%       |      50.24%      |
|  16   |    50.11%    | 2705532.2500  |      49.31%       |      50.41%      |
|  17   |    50.32%    | 5508470.0000  |      50.41%       |      50.39%      |
|  18   |    49.79%    | 4780367.0000  |      51.15%       |      50.39%      |
|  19   |    50.22%    |  371171.5625  |      49.59%       |      49.47%      |
|  20   |    49.91%    |  773105.1250  |      49.61%       |      49.69%      |
|  21   |    49.70%    | 16433597.0000 |      49.56%       |      49.33%      |
|  22   |    49.62%    | 4281771.5000  |      50.34%       |      50.31%      |
|  23   |    49.60%    | 3023020.7500  |      49.54%       |      49.40%      |
|  24   |    50.46%    | 1190681.2500  |      50.41%       |      50.53%      |
|  25   |    50.28%    | 2584114.7500  |      50.43%       |      50.67%      |
|  26   |    49.92%    | 1063254.1250  |      50.43%       |      50.31%      |
|  27   |    49.99%    |  113141.3281  |      50.34%       |      50.46%      |
|  28   |    50.31%    |  434632.0625  |      50.41%       |      50.46%      |
|  29   |    50.10%    |  66638.9297   |      49.22%       |      49.15%      |
|  30   |    50.10%    | 3225445.5000  |      50.41%       |      50.60%      |
|  31   |    50.18%    |  74496.9922   |      50.41%       |      50.60%      |
|  32   |    50.11%    |  74690.8750   |      49.62%       |      49.54%      |
|  33   |    49.91%    |  78262.2656   |      49.63%       |      49.26%      |
|  34   |    50.06%    |  40684.7383   |      50.11%       |      50.43%      |
|  35   |    49.85%    |  23122.8633   |      49.35%       |      50.72%      |
|  36   |    49.90%    |   8513.5234   |      48.80%       |      51.21%      |
|  37   |    49.65%    | 28823687168.0000 |      50.45%       |      50.39%      |
|  38   |    49.89%    | 27117561856.0000 |      50.42%       |      50.53%      |
|  39   |    50.19%    | 39067533312.0000 |      50.24%       |      49.38%      |
|  40   |    50.33%    | 4765627392.0000 |      50.50%       |      50.34%      |
|  41   |    50.06%    | 4342748160.0000 |      49.54%       |      49.61%      |
