| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.97%    |    0.6970     |      50.30%       |      50.19%      |
|   2   |    50.03%    |    0.7014     |      50.53%       |      53.78%      |
|   3   |    51.22%    |    0.6881     |      49.91%       |      50.43%      |
|   4   |    49.02%    |    0.6992     |      49.32%       |      47.96%      |
|   5   |    48.98%    |    0.6907     |      49.91%       |      48.85%      |
|   6   |    49.80%    |    0.6948     |      49.62%       |      49.90%      |
|   7   |    50.00%    |    0.6949     |      49.96%       |      50.14%      |
|   8   |    49.99%    |    0.6944     |      50.29%       |      50.13%      |
|   9   |    50.00%    |    0.6937     |      50.67%       |      50.00%      |
|  10   |    49.98%    |    0.6921     |      50.80%       |      50.13%      |
|  11   |    50.01%    |    0.6938     |      50.86%       |      49.93%      |
|  12   |    49.98%    |    0.6944     |      50.61%       |      50.14%      |
|  13   |    49.99%    |    0.6935     |      50.69%       |      50.14%      |
|  14   |    49.97%    |    0.6933     |      50.48%       |      49.93%      |
|  15   |    49.97%    |    0.6934     |      50.48%       |      50.07%      |
|  16   |    50.01%    |    0.6936     |      50.31%       |      50.07%      |
|  17   |    50.02%    |    0.6944     |      50.30%       |      50.00%      |
|  18   |    49.97%    |    0.6932     |      50.29%       |      50.00%      |
|  19   |    50.27%    |    0.6935     |      50.41%       |      50.21%      |
|  20   |    50.07%    |    0.6934     |      50.37%       |      50.14%      |
|  21   |    49.94%    |    0.6926     |      50.47%       |      50.49%      |
|  22   |    49.94%    |    0.6926     |      50.52%       |      50.56%      |
|  23   |    50.01%    |    0.6935     |      50.49%       |      50.27%      |
|  24   |    50.27%    |    0.6929     |      50.47%       |      50.56%      |
|  25   |    49.94%    |    0.6936     |      50.52%       |      50.49%      |
|  26   |    50.20%    |    0.6930     |      50.47%       |      50.34%      |
|  27   |    50.07%    |    0.6930     |      50.48%       |      50.56%      |
|  28   |    50.06%    |    0.6931     |      50.55%       |      50.56%      |
|  29   |    50.16%    |    0.6931     |      50.45%       |      50.34%      |
|  30   |    50.05%    |    0.6932     |      50.40%       |      50.49%      |
|  31   |    50.08%    |    0.6931     |      50.45%       |      50.56%      |
|  32   |    50.07%    |    0.6931     |      50.42%       |      50.49%      |
|  33   |    50.20%    |    0.6931     |      50.46%       |      50.56%      |
|  34   |    49.80%    |    0.6931     |      50.41%       |      50.49%      |
