| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.78%    |    0.6931     |      50.24%       |      50.12%      |
|   2   |    49.73%    |    0.6930     |      50.19%       |      50.19%      |
|   3   |    49.68%    |    0.6932     |      49.81%       |      49.81%      |
|   4   |    49.79%    |    0.6945     |      50.27%       |      50.05%      |
|   5   |    49.82%    |    0.6921     |      50.21%       |      50.12%      |
|   6   |    50.02%    |    0.6967     |      49.83%       |      49.88%      |
|   7   |    49.67%    |    0.6931     |      50.22%       |      49.98%      |
|   8   |    50.38%    |    0.6937     |      49.77%       |      49.88%      |
|   9   |    50.10%    |    0.6939     |      49.83%       |      49.95%      |
|  10   |    50.16%    |    0.6938     |      50.26%       |      50.19%      |
|  11   |    50.09%    |    0.6952     |      50.12%       |      49.98%      |
|  12   |    49.90%    |  85129.6172   |      50.04%       |      50.11%      |
|  13   |    49.43%    |  159615.3125  |      50.21%       |      50.12%      |
|  14   |    50.20%    |  194306.7188  |      49.85%       |      50.02%      |
|  15   |    49.92%    |  207288.8750  |      50.26%       |      49.94%      |
|  16   |    50.10%    |  191600.4531  |      49.23%       |      51.02%      |
|  17   |    50.99%    |  189138.6719  |      49.62%       |      51.55%      |
|  18   |    51.60%    |  29780.9688   |      50.19%       |      51.11%      |
|  19   |    52.09%    |  14884.5625   |      50.89%       |      52.36%      |
|  20   |    51.82%    |   7827.2490   |      51.09%       |      51.72%      |
|  21   |    52.07%    |   4025.6265   |      50.48%       |      50.28%      |
|  22   |    50.94%    |   6620.3594   |      50.46%       |      50.14%      |
|  23   |    51.03%    |   8710.7959   |      51.79%       |      50.42%      |
|  24   |    51.48%    |   6399.1006   |      50.59%       |      51.40%      |
|  25   |    51.88%    |   6742.7329   |      50.38%       |      50.32%      |
|  26   |    53.47%    |  10364.0107   |      51.64%       |      53.35%      |
|  27   |    52.64%    |  11550.9717   |      50.07%       |      53.21%      |
|  28   |    52.40%    |  19452.9297   |      49.29%       |      49.87%      |
|  29   |    51.10%    |  269702.6875  |      49.84%       |      49.88%      |
|  30   |    49.76%    |  122247.8750  |      49.74%       |      49.88%      |
|  31   |    48.51%    |  16307.0215   |      50.27%       |      47.95%      |
|  32   |    48.64%    |  41137.2266   |      48.83%       |      49.35%      |
|  33   |    48.27%    |  41991.8672   |      50.19%       |      49.98%      |
|  34   |    49.40%    |  87337.0156   |      50.19%       |      49.98%      |
|  35   |    50.28%    |  20052.4727   |      50.01%       |      50.01%      |
|  36   |    49.79%    | 1031574.3125  |      49.84%       |      49.95%      |
|  37   |    50.00%    |  497989.3438  |      50.17%       |      50.12%      |
|  38   |    50.07%    |  307641.8750  |      50.23%       |      50.12%      |
|  39   |    50.14%    |  290618.9375  |      49.86%       |      50.02%      |
|  40   |    50.16%    |   9284.4043   |      49.96%       |      50.09%      |
|  41   |    49.74%    |  31331.0781   |      50.20%       |      50.12%      |
|  42   |    50.21%    |  23369.2598   |      50.22%       |      50.05%      |
|  43   |    49.62%    |  54495.6445   |      50.22%       |      50.05%      |
|  44   |    49.90%    |  264503.8125  |      49.83%       |      50.02%      |
|  45   |    49.51%    |   442.1738    |      49.90%       |      50.25%      |
|  46   |    50.36%    |  36432.5234   |      50.41%       |      50.70%      |
|  47   |    49.46%    |   2772.8010   |      50.22%       |      50.05%      |
|  48   |    49.73%    |   2550.4026   |      50.17%       |      50.05%      |
|  49   |    49.90%    |   1502.2013   |      50.27%       |      49.89%      |
|  50   |    49.73%    |   2990.6462   |      50.21%       |      49.91%      |
|  51   |    50.31%    |   1001.2703   |      49.02%       |      50.13%      |
|  52   |    49.72%    |   564.7079    |      49.74%       |      50.00%      |
|  53   |    49.86%    |  25977.6621   |      50.24%       |      49.91%      |
|  54   |    49.85%    | 1301557.6250  |      50.22%       |      49.98%      |
|  55   |    49.90%    | 1049771.1250  |      49.78%       |      49.88%      |
|  56   |    50.07%    |  158933.6562  |      50.26%       |      49.06%      |
|  57   |    50.06%    |  167036.1562  |      49.75%       |      50.02%      |
|  58   |    50.14%    |  81183.5859   |      49.84%       |      49.95%      |
|  59   |    50.06%    | 1357120.7500  |      49.81%       |      49.95%      |
|  60   |    50.09%    | 5850121.0000  |      50.19%       |      50.12%      |
|  61   |    49.91%    |  255006.7031  |      49.86%       |      49.88%      |
|  62   |    50.68%    |  129320.7500  |      50.10%       |      49.81%      |
|  63   |    49.95%    | 11919194.0000 |      50.21%       |      50.05%      |
|  64   |    50.05%    | 2413055.5000  |      50.17%       |      50.12%      |
|  65   |    50.04%    | 3173926.0000  |      50.20%       |      50.05%      |
