| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.71%    |    0.6929     |      50.89%       |      51.03%      |
|   2   |    50.53%    |    0.6936     |      50.87%       |      50.96%      |
|   3   |    49.62%    |    0.6932     |      49.13%       |      49.04%      |
|   4   |    49.80%    |    0.6948     |      49.11%       |      48.97%      |
|   5   |    50.00%    |    0.6933     |      50.25%       |      50.96%      |
|   6   |    49.45%    |    0.6931     |      49.12%       |      49.04%      |
|   7   |    50.73%    |    0.6935     |      50.89%       |      51.03%      |
|   8   |    50.35%    |    0.6940     |      50.81%       |      50.89%      |
|   9   |    50.27%    |    0.6928     |      50.85%       |      50.89%      |
|  10   |    50.35%    |    0.6930     |      49.15%       |      49.04%      |
|  11   |    50.12%    |    0.6933     |      50.88%       |      51.03%      |
|  12   |    49.95%    |    0.6944     |      49.18%       |      49.18%      |
|  13   |    50.36%    |    0.6939     |      50.89%       |      51.03%      |
|  14   |    50.18%    |    0.6942     |      49.13%       |      49.11%      |
|  15   |    50.28%    |    0.6948     |      49.13%       |      48.89%      |
|  16   |    50.28%    |    0.6928     |      50.82%       |      50.96%      |
|  17   |    50.13%    |    0.6927     |      49.13%       |      49.04%      |
|  18   |    50.25%    |    0.6921     |      50.92%       |      50.96%      |
|  19   |    50.25%    |    0.6938     |      50.82%       |      50.82%      |
|  20   |    50.07%    |    0.6930     |      50.87%       |      51.03%      |
|  21   |    49.98%    |    0.6971     |      50.89%       |      51.11%      |
|  22   |    50.03%    |    0.6933     |      49.09%       |      48.97%      |
|  23   |    50.56%    |    0.6944     |      50.85%       |      50.89%      |
|  24   |    50.18%    |    0.6930     |      49.06%       |      49.04%      |
|  25   |    49.93%    |    0.6960     |      49.14%       |      49.04%      |
|  26   |    50.26%    |    0.6950     |      50.92%       |      50.96%      |
|  27   |    50.46%    |    0.6937     |      50.89%       |      50.89%      |
|  28   |    49.99%    |    0.6931     |      50.82%       |      50.82%      |
|  29   |    50.05%    |    0.6918     |      49.13%       |      49.04%      |
|  30   |    49.85%    |    0.6940     |      50.88%       |      51.03%      |
|  31   |    50.05%    |    0.6930     |      50.86%       |      50.89%      |
|  32   |    50.49%    |    0.6925     |      49.17%       |      49.25%      |
|  33   |    50.00%    |    0.6932     |      50.90%       |      50.89%      |
|  34   |    49.93%    |    0.6952     |      50.92%       |      50.89%      |
|  35   |    50.21%    |    0.6934     |      50.91%       |      50.96%      |
