| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.54%    |    0.6941     |      50.36%       |      50.29%      |
|   2   |    50.63%    |    0.6917     |      50.36%       |      50.37%      |
|   3   |    50.06%    |    0.6932     |      50.38%       |      50.20%      |
|   4   |    50.26%    |    0.6932     |      50.17%       |      50.20%      |
|   5   |    50.06%    |    0.6933     |      50.20%       |      50.20%      |
|   6   |    50.25%    |    0.6931     |      50.16%       |      50.06%      |
|   7   |    50.07%    |    0.6932     |      50.14%       |      49.99%      |
|   8   |    50.14%    |    0.6931     |      50.14%       |      49.99%      |
|   9   |    50.16%    |    0.6935     |      50.14%       |      50.20%      |
|  10   |    50.16%    |    0.6932     |      50.20%       |      50.20%      |
|  11   |    49.89%    |    0.6931     |      50.21%       |      50.13%      |
|  12   |    50.15%    |    0.6931     |      50.19%       |      50.13%      |
|  13   |    50.16%    |    0.6932     |      50.19%       |      50.34%      |
|  14   |    50.15%    |    0.6932     |      50.19%       |      49.99%      |
|  15   |    50.15%    |    0.6931     |      50.14%       |      50.13%      |
|  16   |    50.15%    |    0.6931     |      49.81%       |      49.73%      |
|  17   |    50.08%    |    0.6931     |      50.17%       |      50.06%      |
|  18   |    50.14%    |    0.6933     |      50.21%       |      50.20%      |
|  19   |    50.12%    |    0.6930     |      50.15%       |      50.27%      |
|  20   |    50.10%    |    0.6932     |      50.17%       |      50.13%      |
|  21   |    50.15%    |    0.6931     |      50.19%       |      50.20%      |
|  22   |    50.14%    |    0.6933     |      50.20%       |      50.13%      |
|  23   |    49.97%    |    0.6931     |      50.22%       |      50.06%      |
|  24   |    50.15%    |    0.6933     |      50.14%       |      49.99%      |
|  25   |    50.09%    |    0.6931     |      50.23%       |      50.13%      |
|  26   |    50.15%    |    0.6932     |      50.19%       |      49.99%      |
|  27   |    50.02%    |    0.6931     |      50.21%       |      50.06%      |
|  28   |    50.10%    |    0.6932     |      50.15%       |      50.06%      |
|  29   |    50.15%    |    0.6931     |      50.16%       |      50.20%      |
|  30   |    49.94%    |    0.6930     |      50.31%       |      50.20%      |
|  31   |    50.07%    |    0.6930     |      50.16%       |      50.06%      |
|  32   |    49.98%    |    0.6933     |      50.15%       |      50.20%      |
|  33   |    50.14%    |    0.6931     |      50.19%       |      50.20%      |
|  34   |    49.88%    |    0.6932     |      50.19%       |      50.06%      |
|  35   |    50.15%    |    0.6936     |      50.21%       |      50.20%      |
|  36   |    50.21%    |    0.6932     |      50.21%       |      50.20%      |
|  37   |    50.08%    |    0.6932     |      50.24%       |      50.27%      |
|  38   |    50.03%    |    0.6931     |      50.19%       |      50.20%      |
|  39   |    50.15%    |    0.6932     |      50.16%       |      50.13%      |
|  40   |    50.18%    |    0.6929     |      50.19%       |      50.13%      |
|  41   |    50.18%    |    0.6934     |      50.23%       |      50.13%      |
|  42   |    50.28%    |    0.6934     |      50.14%       |      49.92%      |
|  43   |    50.22%    |    0.6929     |      50.19%       |      50.06%      |
|  44   |    50.14%    |    0.6932     |      50.20%       |      50.27%      |
