| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.86%    |    0.6935     |      49.70%       |      49.78%      |
|   2   |    49.84%    |    0.6929     |      49.70%       |      49.71%      |
|   3   |    50.27%    |    0.6909     |      49.78%       |      49.56%      |
|   4   |    50.28%    |    0.6925     |      50.34%       |      50.51%      |
|   5   |    50.11%    |    0.6942     |      50.27%       |      50.22%      |
|   6   |    49.80%    |    0.6932     |      50.26%       |      50.22%      |
|   7   |    50.03%    |    0.6931     |      49.72%       |      49.78%      |
|   8   |    49.78%    |    0.6932     |      50.30%       |      50.37%      |
|   9   |    50.19%    |    0.6937     |      49.73%       |      49.78%      |
|  10   |    49.77%    |    0.6934     |      49.73%       |      49.71%      |
|  11   |    49.85%    |    0.6935     |      49.72%       |      49.63%      |
|  12   |    49.91%    |    0.6931     |      50.25%       |      49.81%      |
|  13   |    49.97%    |    0.6940     |      50.30%       |      50.37%      |
|  14   |    49.82%    |    0.6960     |      50.29%       |      50.29%      |
|  15   |    49.88%    |    0.6949     |      49.72%       |      49.71%      |
|  16   |    50.20%    |    0.6931     |      50.28%       |      50.15%      |
|  17   |    49.71%    |    0.6935     |      49.72%       |      49.78%      |
|  18   |    49.85%    |    0.6914     |      50.32%       |      50.37%      |
|  19   |    49.72%    |    0.6955     |      49.72%       |      49.92%      |
|  20   |    50.18%    |    0.6925     |      50.30%       |      50.37%      |
|  21   |    50.73%    |    0.6958     |      50.24%       |      50.22%      |
|  22   |    49.71%    |    0.6928     |      49.67%       |      49.49%      |
|  23   |    50.12%    |    0.6934     |      49.73%       |      49.71%      |
|  24   |    50.19%    |    0.6906     |      50.24%       |      50.15%      |
|  25   |    50.08%    |    0.6942     |      49.73%       |      49.71%      |
|  26   |    49.62%    |    0.6965     |      49.71%       |      49.63%      |
|  27   |    50.39%    |    0.6924     |      49.69%       |      49.56%      |
|  28   |    49.72%    |    0.6894     |      50.27%       |      50.22%      |
|  29   |    49.86%    |    0.6932     |      49.70%       |      49.63%      |
|  30   |    49.87%    |    0.6927     |      50.22%       |      50.29%      |
|  31   |    50.02%    |    0.6931     |      50.25%       |      50.29%      |
|  32   |    49.80%    |    0.6929     |      49.76%       |      49.71%      |
|  33   |    50.18%    |    0.6934     |      49.81%       |      49.78%      |
|  34   |    49.44%    |    0.6955     |      50.30%       |      50.37%      |
|  35   |    49.85%    |    0.6924     |      50.33%       |      50.22%      |
|  36   |    49.42%    |    0.6948     |      49.72%       |      49.63%      |
|  37   |    49.63%    |    0.6931     |      50.33%       |      50.29%      |
|  38   |    50.79%    |    0.6917     |      50.26%       |      50.44%      |
|  39   |    50.29%    |    0.6923     |      49.72%       |      49.71%      |
|  40   |    49.62%    |    0.7039     |      50.25%       |      50.22%      |
|  41   |    50.09%    |    0.6936     |      49.71%       |      49.85%      |
|  42   |    50.09%    |    0.6941     |      49.72%       |      49.63%      |
