| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.84%    |    0.6931     |      49.82%       |      49.98%      |
|   2   |    50.22%    |    0.6926     |      49.76%       |      49.77%      |
|   3   |    49.84%    |    0.6936     |      50.17%       |      50.09%      |
|   4   |    50.16%    |    0.6918     |      50.24%       |      50.30%      |
|   5   |    49.62%    |    0.6930     |      49.83%       |      49.77%      |
|   6   |    50.06%    |    0.6915     |      49.80%       |      49.84%      |
|   7   |    50.03%    |    0.6946     |      50.12%       |      50.02%      |
|   8   |    49.94%    |    0.6932     |      50.17%       |      50.09%      |
|   9   |    50.08%    |    0.6934     |      50.19%       |      50.16%      |
|  10   |    50.40%    |    0.6931     |      49.81%       |      49.84%      |
|  11   |    50.26%    |    0.6934     |      50.17%       |      50.09%      |
|  12   |    50.21%    |    0.6931     |      50.14%       |      50.02%      |
|  13   |    49.65%    |    0.6934     |      50.15%       |      50.09%      |
|  14   |    49.94%    |    0.6932     |      50.15%       |      50.09%      |
|  15   |    50.14%    |    0.6932     |      50.19%       |      50.09%      |
|  16   |    49.87%    |    0.6931     |      50.19%       |      50.09%      |
|  17   |    50.09%    |    0.6922     |      50.21%       |      50.02%      |
|  18   |    49.91%    |    0.6930     |      49.85%       |      49.84%      |
|  19   |    50.10%    |    0.6932     |      49.85%       |      49.91%      |
|  20   |    50.32%    |    0.6935     |      49.78%       |      49.84%      |
|  21   |    50.42%    |    0.6938     |      49.85%       |      50.05%      |
|  22   |    49.76%    |    0.6936     |      50.15%       |      50.16%      |
|  23   |    49.66%    |    0.6949     |      50.15%       |      50.23%      |
|  24   |    49.69%    |    0.6936     |      49.84%       |      49.84%      |
|  25   |    49.97%    |    0.6935     |      50.15%       |      50.02%      |
|  26   |    50.56%    |    0.6943     |      49.78%       |      49.62%      |
|  27   |    50.11%    |    0.6931     |      50.19%       |      50.09%      |
|  28   |    50.07%    |    0.6922     |      50.15%       |      50.02%      |
|  29   |    49.63%    |    0.6947     |      49.84%       |      49.98%      |
|  30   |    50.12%    |    0.6934     |      50.20%       |      50.23%      |
|  31   |    49.85%    |    0.6934     |      50.07%       |      50.02%      |
|  32   |    49.76%    |    0.6935     |      50.16%       |      50.09%      |
|  33   |    49.75%    |    0.6942     |      50.17%       |      50.09%      |
|  34   |    49.98%    |    0.6931     |      50.22%       |      50.16%      |
|  35   |    49.59%    |    0.6932     |      49.80%       |      49.84%      |
|  36   |    50.34%    |    0.6931     |      49.82%       |      49.98%      |
|  37   |    49.94%    |    0.6933     |      50.15%       |      50.09%      |
|  38   |    50.27%    |    0.6943     |      49.85%       |      50.05%      |
|  39   |    49.96%    |    0.6938     |      49.84%       |      49.84%      |
|  40   |    50.08%    |    0.6939     |      50.17%       |      50.16%      |
|  41   |    50.16%    |    0.6925     |      50.18%       |      50.23%      |
|  42   |    49.74%    |    0.6941     |      50.15%       |      50.09%      |
|  43   |    50.36%    |    0.6928     |      50.18%       |      50.09%      |
|  44   |    50.19%    |    0.6934     |      50.20%       |      50.09%      |
|  45   |    50.10%    |    0.6928     |      50.15%       |      50.16%      |
|  46   |    49.55%    |    0.6928     |      50.17%       |      50.23%      |
|  47   |    49.83%    |    0.6916     |      49.81%       |      49.91%      |
|  48   |    50.21%    |    0.6915     |      49.84%       |      49.91%      |
|  49   |    49.63%    |    0.6932     |      50.15%       |      50.09%      |
|  50   |    50.06%    |    0.6933     |      50.19%       |      50.16%      |
|  51   |    50.19%    |    0.6932     |      50.17%       |      50.23%      |
|  52   |    50.26%    |    0.6933     |      50.22%       |      50.30%      |
|  53   |    50.11%    |    0.6929     |      50.23%       |      50.23%      |
|  54   |    50.42%    |    0.6947     |      49.85%       |      49.98%      |
|  55   |    50.11%    |    0.6932     |      50.15%       |      50.16%      |
