| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.10%    |    0.6914     |      50.33%       |      50.57%      |
|   2   |    50.36%    |    0.6932     |      49.97%       |      50.07%      |
|   3   |    50.36%    |    0.6932     |      50.20%       |      50.14%      |
|   4   |    50.34%    |    0.6934     |      50.18%       |      50.14%      |
|   5   |    50.34%    |    0.6936     |      50.18%       |      50.21%      |
|   6   |    50.35%    |    0.6927     |      50.23%       |      50.28%      |
|   7   |    50.35%    |    0.6930     |      50.22%       |      50.07%      |
|   8   |    50.35%    |    0.6934     |      50.23%       |      50.14%      |
|   9   |    50.35%    |    0.6929     |      50.21%       |      50.28%      |
|  10   |    50.33%    |    0.6932     |      50.24%       |      50.43%      |
|  11   |    50.35%    |    0.6929     |      50.21%       |      50.14%      |
|  12   |    50.34%    |    0.6931     |      50.21%       |      50.21%      |
|  13   |    50.34%    |    0.6930     |      50.27%       |      50.36%      |
|  14   |    50.35%    |    0.6934     |      50.20%       |      50.14%      |
|  15   |    50.34%    |    0.6932     |      50.21%       |      50.14%      |
|  16   |    50.35%    |    0.6923     |      50.19%       |      50.21%      |
|  17   |    50.36%    |    0.6933     |      50.20%       |      50.07%      |
|  18   |    50.35%    |    0.6933     |      50.25%       |      50.14%      |
|  19   |    50.35%    |    0.6928     |      50.20%       |      50.07%      |
|  20   |    50.35%    |    0.6922     |      50.25%       |      50.21%      |
|  21   |    50.33%    |    0.6934     |      50.18%       |      50.07%      |
|  22   |    50.33%    |    0.6940     |      50.25%       |      50.21%      |
|  23   |    50.33%    |    0.6936     |      50.27%       |      50.21%      |
|  24   |    50.35%    |    0.6928     |      50.19%       |      50.28%      |
|  25   |    50.35%    |    0.6923     |      50.21%       |      50.14%      |
|  26   |    50.35%    |    0.6925     |      50.28%       |      50.36%      |
|  27   |    50.34%    |    0.6926     |      50.18%       |      50.07%      |
|  28   |    50.35%    |    0.6930     |      50.28%       |      50.28%      |
|  29   |    50.34%    |    0.6932     |      50.15%       |      50.00%      |
|  30   |    50.35%    |    0.6935     |      50.24%       |      50.14%      |
|  31   |    50.34%    |    0.6934     |      50.21%       |      50.21%      |
|  32   |    50.36%    |    0.6924     |      50.18%       |      50.36%      |
|  33   |    50.34%    |    0.6931     |      50.17%       |      50.21%      |
|  34   |    50.35%    |    0.6930     |      50.26%       |      50.28%      |
|  35   |    50.34%    |    0.6930     |      50.22%       |      50.28%      |
|  36   |    50.35%    |    0.6933     |      50.27%       |      50.07%      |
|  37   |    50.35%    |    0.6933     |      50.20%       |      50.28%      |
|  38   |    50.34%    |    0.6928     |      50.25%       |      50.36%      |
|  39   |    50.35%    |    0.6935     |      50.17%       |      50.21%      |
|  40   |    50.33%    |    0.6934     |      50.26%       |      50.21%      |
|  41   |    50.34%    |    0.6930     |      50.23%       |      50.21%      |
|  42   |    50.34%    |    0.6928     |      50.14%       |      50.14%      |
|  43   |    50.35%    |    0.6936     |      50.23%       |      50.28%      |
|  44   |    50.33%    |    0.6939     |      50.32%       |      50.28%      |
|  45   |    50.34%    |    0.6929     |      50.23%       |      50.28%      |
|  46   |    50.35%    |    0.6934     |      50.25%       |      50.14%      |
|  47   |    50.34%    |    0.6930     |      50.23%       |      50.28%      |
|  48   |    50.34%    |    0.6934     |      50.19%       |      50.21%      |
|  49   |    50.35%    |    0.6933     |      50.18%       |      50.36%      |
|  50   |    50.34%    |    0.6927     |      50.21%       |      50.21%      |
|  51   |    50.33%    |    0.6937     |      50.25%       |      50.21%      |
|  52   |    50.35%    |    0.6930     |      50.20%       |      50.14%      |
|  53   |    50.34%    |    0.6932     |      50.21%       |      50.21%      |
|  54   |    50.34%    |    0.6928     |      50.20%       |      50.21%      |
|  55   |    50.35%    |    0.6932     |      50.20%       |      50.28%      |
|  56   |    50.34%    |    0.6934     |      50.19%       |      50.21%      |
|  57   |    50.33%    |    0.6938     |      50.18%       |      50.28%      |
|  58   |    50.33%    |    0.6937     |      50.15%       |      50.28%      |
|  59   |    50.35%    |    0.6924     |      50.17%       |      50.00%      |
|  60   |    50.34%    |    0.6937     |      50.23%       |      50.00%      |
|  61   |    50.35%    |    0.6932     |      50.24%       |      50.14%      |
|  62   |    50.35%    |    0.6924     |      50.18%       |      50.14%      |
|  63   |    50.34%    |    0.6926     |      50.24%       |      50.28%      |
|  64   |    50.34%    |    0.6931     |      50.27%       |      50.21%      |
|  65   |    50.34%    |    0.6931     |      50.22%       |      50.07%      |
|  66   |    50.34%    |    0.6934     |      50.25%       |      50.28%      |
|  67   |    50.34%    |    0.6931     |      50.16%       |      50.14%      |
|  68   |    50.35%    |    0.6931     |      50.23%       |      50.07%      |
|  69   |    50.35%    |    0.6924     |      50.25%       |      50.36%      |
|  70   |    50.35%    |    0.6925     |      50.25%       |      50.28%      |
|  71   |    50.34%    |    0.6943     |      50.24%       |      50.28%      |
|  72   |    50.35%    |    0.6925     |      50.26%       |      50.21%      |
|  73   |    50.34%    |    0.6930     |      50.17%       |      50.21%      |
|  74   |    50.35%    |    0.6925     |      50.25%       |      50.28%      |
|  75   |    50.33%    |    0.6934     |      50.21%       |      50.36%      |
|  76   |    50.34%    |    0.6935     |      50.18%       |      50.14%      |
|  77   |    50.34%    |    0.6931     |      50.23%       |      50.21%      |
|  78   |    50.34%    |    0.6927     |      50.24%       |      50.28%      |
|  79   |    50.35%    |    0.6928     |      50.16%       |      50.36%      |
|  80   |    50.34%    |    0.6937     |      50.23%       |      50.28%      |
|  81   |    50.35%    |    0.6932     |      50.22%       |      50.43%      |
|  82   |    50.35%    |    0.6932     |      50.22%       |      50.14%      |
|  83   |    50.34%    |    0.6939     |      50.19%       |      50.28%      |
|  84   |    50.33%    |    0.6934     |      50.29%       |      50.28%      |
|  85   |    50.34%    |    0.6931     |      50.26%       |      50.36%      |
|  86   |    50.35%    |    0.6923     |      50.22%       |      50.21%      |
|  87   |    50.35%    |    0.6928     |      50.20%       |      50.14%      |
|  88   |    50.34%    |    0.6930     |      50.20%       |      50.07%      |
|  89   |    50.34%    |    0.6933     |      50.20%       |      50.28%      |
|  90   |    50.34%    |    0.6931     |      50.18%       |      50.28%      |
|  91   |    50.35%    |    0.6930     |      50.16%       |      50.07%      |
|  92   |    50.35%    |    0.6930     |      50.17%       |      50.00%      |
|  93   |    50.35%    |    0.6921     |      50.24%       |      50.28%      |
|  94   |    50.35%    |    0.6930     |      50.17%       |      50.21%      |
|  95   |    50.33%    |    0.6930     |      50.19%       |      50.28%      |
|  96   |    50.34%    |    0.6931     |      50.15%       |      50.07%      |
|  97   |    50.34%    |    0.6933     |      50.25%       |      50.28%      |
|  98   |    50.35%    |    0.6931     |      50.23%       |      50.28%      |
|  99   |    50.34%    |    0.6935     |      50.23%       |      50.14%      |
|  100  |    50.34%    |    0.6934     |      50.20%       |      50.14%      |
|  101  |    50.35%    |    0.6928     |      50.22%       |      50.00%      |
|  102  |    50.34%    |    0.6933     |      50.30%       |      50.21%      |
|  103  |    50.34%    |    0.6931     |      50.23%       |      50.28%      |
|  104  |    50.35%    |    0.6931     |      50.24%       |      50.36%      |
|  105  |    50.35%    |    0.6926     |      50.23%       |      50.14%      |
|  106  |    50.35%    |    0.6928     |      50.20%       |      50.21%      |
|  107  |    50.33%    |    0.6933     |      50.27%       |      50.36%      |
|  108  |    50.35%    |    0.6934     |      50.21%       |      50.21%      |
|  109  |    50.35%    |    0.6931     |      50.21%       |      50.21%      |
|  110  |    50.34%    |    0.6943     |      50.25%       |      50.36%      |
|  111  |    50.34%    |    0.6934     |      50.24%       |      50.50%      |
|  112  |    50.33%    |    0.6932     |      50.18%       |      50.21%      |
|  113  |    50.35%    |    0.6924     |      50.24%       |      50.00%      |
|  114  |    50.36%    |    0.6929     |      50.24%       |      50.21%      |
|  115  |    50.34%    |    0.6929     |      50.20%       |      50.21%      |
|  116  |    50.34%    |    0.6933     |      50.21%       |      50.28%      |
|  117  |    50.35%    |    0.6932     |      50.22%       |      50.07%      |
|  118  |    50.34%    |    0.6936     |      50.23%       |      50.28%      |
|  119  |    50.34%    |    0.6932     |      50.20%       |      50.21%      |
|  120  |    50.34%    |    0.6930     |      50.25%       |      50.28%      |
|  121  |    50.33%    |    0.6937     |      50.25%       |      50.21%      |
|  122  |    50.34%    |    0.6930     |      50.18%       |      50.36%      |
|  123  |    50.35%    |    0.6932     |      50.18%       |      50.14%      |
|  124  |    50.34%    |    0.6932     |      50.20%       |      50.28%      |
|  125  |    50.34%    |    0.6934     |      50.22%       |      50.07%      |
|  126  |    50.34%    |    0.6928     |      50.26%       |      50.36%      |
|  127  |    50.35%    |    0.6932     |      50.18%       |      50.28%      |
|  128  |    50.37%    |    0.6927     |      50.20%       |      50.28%      |
|  129  |    50.34%    |    0.6928     |      50.27%       |      50.21%      |
|  130  |    50.35%    |    0.6935     |      50.17%       |      50.00%      |
|  131  |    50.35%    |    0.6930     |      50.23%       |      50.36%      |
|  132  |    50.35%    |    0.6927     |      50.26%       |      50.28%      |
|  133  |    50.34%    |    0.6931     |      50.20%       |      50.14%      |
|  134  |    50.36%    |    0.6925     |      50.25%       |      50.36%      |
|  135  |    50.35%    |    0.6935     |      50.26%       |      50.21%      |
|  136  |    50.35%    |    0.6937     |      50.30%       |      50.43%      |
|  137  |    50.34%    |    0.6936     |      50.22%       |      50.43%      |
|  138  |    50.35%    |    0.6933     |      50.23%       |      50.36%      |
|  139  |    50.34%    |    0.6920     |      50.29%       |      50.36%      |
|  140  |    50.35%    |    0.6933     |      50.23%       |      50.21%      |
|  141  |    50.35%    |    0.6931     |      50.20%       |      50.14%      |
|  142  |    50.33%    |    0.6937     |      50.20%       |      50.28%      |
|  143  |    50.36%    |    0.6928     |      50.22%       |      50.21%      |
|  144  |    50.36%    |    0.6928     |      50.24%       |      50.21%      |
|  145  |    50.34%    |    0.6919     |      50.23%       |      50.28%      |
|  146  |    50.34%    |    0.6930     |      50.15%       |      50.21%      |
|  147  |    50.33%    |    0.6934     |      50.16%       |      50.07%      |
|  148  |    50.34%    |    0.6932     |      50.23%       |      50.36%      |
|  149  |    50.34%    |    0.6935     |      50.23%       |      50.07%      |
|  150  |    50.34%    |    0.6927     |      50.20%       |      50.28%      |
|  151  |    50.35%    |    0.6933     |      50.20%       |      49.93%      |
|  152  |    50.35%    |    0.6933     |      50.23%       |      50.14%      |
|  153  |    50.35%    |    0.6933     |      50.17%       |      50.21%      |
|  154  |    50.35%    |    0.6924     |      50.19%       |      50.14%      |
|  155  |    50.34%    |    0.6940     |      50.18%       |      50.21%      |
|  156  |    50.34%    |    0.6932     |      50.20%       |      50.00%      |
|  157  |    50.35%    |    0.6928     |      50.21%       |      50.36%      |
|  158  |    50.34%    |    0.6931     |      50.25%       |      50.28%      |
|  159  |    50.34%    |    0.6931     |      50.18%       |      50.14%      |
|  160  |    50.34%    |    0.6930     |      50.18%       |      50.14%      |
|  161  |    50.34%    |    0.6931     |      50.22%       |      50.14%      |
|  162  |    50.34%    |    0.6938     |      50.21%       |      50.14%      |
|  163  |    50.33%    |    0.6927     |      50.15%       |      49.93%      |
|  164  |    50.35%    |    0.6933     |      50.20%       |      50.28%      |
|  165  |    50.34%    |    0.6932     |      50.21%       |      50.36%      |
|  166  |    50.35%    |    0.6927     |      50.24%       |      50.07%      |
|  167  |    50.34%    |    0.6930     |      50.21%       |      50.14%      |
|  168  |    50.34%    |    0.6933     |      50.27%       |      50.21%      |
|  169  |    50.34%    |    0.6928     |      50.17%       |      50.00%      |
|  170  |    50.34%    |    0.6927     |      50.22%       |      50.36%      |
|  171  |    50.34%    |    0.6933     |      50.20%       |      50.07%      |
|  172  |    50.35%    |    0.6930     |      50.21%       |      50.36%      |
|  173  |    50.34%    |    0.6929     |      50.25%       |      50.36%      |
|  174  |    50.34%    |    0.6932     |      50.25%       |      50.36%      |
|  175  |    50.35%    |    0.6934     |      50.20%       |      50.14%      |
|  176  |    50.34%    |    0.6934     |      50.22%       |      50.28%      |
|  177  |    50.35%    |    0.6930     |      50.22%       |      50.21%      |
|  178  |    50.35%    |    0.6931     |      50.18%       |      50.21%      |
|  179  |    50.34%    |    0.6938     |      50.20%       |      50.28%      |
|  180  |    50.34%    |    0.6933     |      50.24%       |      50.14%      |
|  181  |    50.33%    |    0.6933     |      50.23%       |      50.21%      |
|  182  |    50.35%    |    0.6933     |      50.25%       |      50.14%      |
|  183  |    50.35%    |    0.6926     |      50.25%       |      50.14%      |
|  184  |    50.34%    |    0.6935     |      50.18%       |      50.14%      |
|  185  |    50.35%    |    0.6922     |      50.27%       |      50.14%      |
|  186  |    50.35%    |    0.6931     |      50.20%       |      50.28%      |
|  187  |    50.34%    |    0.6935     |      50.23%       |      50.28%      |
|  188  |    50.34%    |    0.6932     |      50.20%       |      50.36%      |
|  189  |    50.35%    |    0.6933     |      50.23%       |      50.21%      |
|  190  |    50.35%    |    0.6933     |      50.25%       |      49.93%      |
|  191  |    50.34%    |    0.6931     |      50.18%       |      50.28%      |
|  192  |    50.35%    |    0.6921     |      50.25%       |      50.14%      |
|  193  |    50.35%    |    0.6927     |      50.23%       |      50.14%      |
|  194  |    50.34%    |    0.6932     |      50.21%       |      50.28%      |
