| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    51.49%    |    0.6971     |      50.23%       |      50.20%      |
|   2   |    50.57%    |    0.6930     |      50.18%       |      50.20%      |
|   3   |    50.38%    |    0.6930     |      50.20%       |      50.20%      |
|   4   |    50.41%    |    0.6937     |      50.21%       |      50.20%      |
|   5   |    50.28%    |    0.6935     |      50.20%       |      50.20%      |
|   6   |    50.27%    |    0.6927     |      50.22%       |      50.27%      |
|   7   |    50.24%    |    0.6940     |      50.20%       |      50.20%      |
|   8   |    50.25%    |    0.6931     |      50.16%       |      50.06%      |
|   9   |    50.38%    |    0.6932     |      50.18%       |      50.20%      |
|  10   |    50.36%    |    0.6931     |      50.20%       |      50.34%      |
|  11   |    50.23%    |    0.6942     |      50.23%       |      50.20%      |
|  12   |    50.36%    |    0.6931     |      50.20%       |      50.42%      |
|  13   |    50.35%    |    0.6931     |      50.18%       |      50.20%      |
|  14   |    50.34%    |    0.6931     |      50.18%       |      50.20%      |
|  15   |    50.35%    |    0.6933     |      50.09%       |      50.06%      |
|  16   |    50.40%    |    0.6930     |      50.23%       |      50.49%      |
|  17   |    50.22%    |    0.6934     |      50.20%       |      50.34%      |
|  18   |    50.60%    |    0.6936     |      50.18%       |      50.06%      |
|  19   |    50.43%    |    0.6930     |      50.21%       |      50.27%      |
|  20   |    50.30%    |    0.6933     |      50.17%       |      50.06%      |
|  21   |    50.04%    |    0.6928     |      50.23%       |      50.27%      |
|  22   |    50.45%    |    0.6931     |      49.81%       |      49.73%      |
|  23   |    50.19%    |    0.6936     |      49.75%       |      49.73%      |
|  24   |    50.23%    |    0.6934     |      50.23%       |      50.27%      |
|  25   |    50.22%    |    0.6932     |      49.82%       |      49.73%      |
|  26   |    50.20%    |    0.6933     |      50.23%       |      50.20%      |
|  27   |    50.22%    |    0.6931     |      50.20%       |      50.42%      |
|  28   |    50.36%    |    0.6931     |      50.17%       |      50.27%      |
|  29   |    50.35%    |    0.6931     |      50.23%       |      50.20%      |
|  30   |    50.21%    |    0.6945     |      50.16%       |      50.20%      |
|  31   |    50.28%    |    0.6932     |      50.12%       |      50.20%      |
|  32   |    50.41%    |    0.6926     |      50.18%       |      50.13%      |
|  33   |    50.34%    |    0.6931     |      49.79%       |      49.66%      |
|  34   |    50.32%    |    0.6936     |      50.20%       |      50.20%      |
|  35   |    50.35%    |    0.6926     |      50.18%       |      50.20%      |
|  36   |    50.36%    |    0.6927     |      50.16%       |      50.06%      |
|  37   |    50.28%    |    0.6934     |      50.20%       |      50.27%      |
|  38   |    50.27%    |    0.6930     |      50.18%       |      50.20%      |
|  39   |    50.32%    |    0.6935     |      50.16%       |      50.13%      |
|  40   |    50.53%    |    0.6927     |      50.23%       |      50.20%      |
|  41   |    50.17%    |    0.6933     |      50.20%       |      50.06%      |
|  42   |    50.04%    |    0.6925     |      50.21%       |      50.42%      |
|  43   |    50.27%    |    0.6941     |      50.20%       |      50.20%      |
|  44   |    50.34%    |    0.6928     |      50.18%       |      49.92%      |
|  45   |    50.17%    |    0.6926     |      50.18%       |      50.27%      |
|  46   |    50.27%    |    0.6931     |      50.18%       |      50.13%      |
|  47   |    50.43%    |    0.6937     |      50.19%       |      50.13%      |
|  48   |    50.38%    |    0.6929     |      50.23%       |      50.06%      |
|  49   |    50.28%    |    0.6923     |      50.21%       |      50.20%      |
|  50   |    50.36%    |    0.6934     |      50.22%       |      50.27%      |
|  51   |    50.37%    |    0.6931     |      50.20%       |      50.13%      |
|  52   |    50.27%    |    0.6937     |      50.18%       |      50.34%      |
|  53   |    50.10%    |    0.6933     |      50.20%       |      50.42%      |
|  54   |    50.38%    |    0.6930     |      50.17%       |      50.27%      |
|  55   |    50.02%    |    0.6941     |      50.24%       |      50.27%      |
|  56   |    50.36%    |    0.6931     |      50.18%       |      50.27%      |
|  57   |    50.27%    |    0.6928     |      50.14%       |      50.20%      |
|  58   |    50.10%    |    0.6938     |      50.16%       |      50.06%      |
|  59   |    50.25%    |    0.6925     |      50.17%       |      50.20%      |
|  60   |    50.23%    |    0.6937     |      50.18%       |      50.13%      |
|  61   |    50.10%    |    0.6940     |      50.20%       |      50.27%      |
|  62   |    50.44%    |    0.6927     |      50.20%       |      50.13%      |
|  63   |    50.29%    |    0.6936     |      50.21%       |      50.27%      |
|  64   |    50.17%    |    0.6932     |      49.82%       |      49.87%      |
|  65   |    50.20%    |    0.6921     |      50.16%       |      50.13%      |
|  66   |    50.19%    |    0.6931     |      50.19%       |      50.20%      |
|  67   |    50.31%    |    0.6933     |      50.20%       |      50.20%      |
|  68   |    50.35%    |    0.6932     |      50.18%       |      50.27%      |
|  69   |    50.45%    |    0.6932     |      49.82%       |      49.73%      |
|  70   |    50.24%    |    0.6928     |      50.16%       |      49.99%      |
|  71   |    50.11%    |    0.6932     |      49.82%       |      49.87%      |
|  72   |    50.40%    |    0.6934     |      50.22%       |      50.20%      |
|  73   |    50.49%    |    0.6929     |      50.23%       |      50.20%      |
|  74   |    50.20%    |    0.6926     |      50.13%       |      50.20%      |
|  75   |    50.42%    |    0.6932     |      49.84%       |      49.94%      |
|  76   |    50.38%    |    0.6932     |      50.18%       |      50.06%      |
|  77   |    50.27%    |    0.6932     |      50.20%       |      50.13%      |
|  78   |    50.35%    |    0.6933     |      50.23%       |      50.34%      |
|  79   |    50.31%    |    0.6927     |      50.20%       |      50.27%      |
|  80   |    50.37%    |    0.6931     |      50.17%       |      50.27%      |
|  81   |    50.13%    |    0.6932     |      50.21%       |      50.34%      |
|  82   |    50.28%    |    0.6933     |      50.19%       |      49.99%      |
|  83   |    50.34%    |    0.6930     |      50.20%       |      50.20%      |
|  84   |    50.35%    |    0.6934     |      50.20%       |      50.34%      |
|  85   |    50.38%    |    0.6933     |      50.18%       |      50.27%      |
|  86   |    50.45%    |    0.6932     |      50.18%       |      50.06%      |
|  87   |    50.42%    |    0.6931     |      50.23%       |      50.27%      |
|  88   |    50.17%    |    0.6931     |      50.18%       |      50.06%      |
|  89   |    50.11%    |    0.6925     |      50.19%       |      50.20%      |
|  90   |    50.28%    |    0.6932     |      49.83%       |      49.80%      |
|  91   |    50.39%    |    0.6929     |      50.18%       |      50.20%      |
|  92   |    50.47%    |    0.6930     |      50.19%       |      50.27%      |
|  93   |    50.38%    |    0.6930     |      50.13%       |      50.13%      |
|  94   |    50.26%    |    0.6930     |      50.20%       |      50.06%      |
|  95   |    50.42%    |    0.6938     |      50.17%       |      50.13%      |
|  96   |    50.33%    |    0.6939     |      50.21%       |      50.34%      |
|  97   |    50.36%    |    0.6936     |      50.20%       |      50.13%      |
|  98   |    50.43%    |    0.6932     |      50.23%       |      50.20%      |
