| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.47%    |    0.6938     |      49.61%       |      50.05%      |
|   2   |    50.85%    |    0.6927     |      49.49%       |      52.09%      |
|   3   |    49.19%    |    0.6934     |      48.98%       |      49.62%      |
|   4   |    49.27%    |    0.6952     |      49.15%       |      50.10%      |
|   5   |    49.84%    |    0.6921     |      49.83%       |      50.11%      |
|   6   |    50.10%    |    0.6944     |      49.34%       |      50.14%      |
|   7   |    50.78%    |    0.6942     |      49.71%       |      51.30%      |
|   8   |    50.39%    |    0.6941     |      49.67%       |      49.22%      |
|   9   |    49.68%    |    0.6936     |      49.32%       |      49.08%      |
|  10   |    49.49%    |    0.6934     |      49.40%       |      49.43%      |
|  11   |    49.50%    |    0.6941     |      49.41%       |      49.22%      |
|  12   |    49.49%    |    0.6938     |      49.43%       |      49.15%      |
|  13   |    49.49%    |    0.6939     |      49.45%       |      49.29%      |
|  14   |    49.50%    |    0.6933     |      49.42%       |      49.29%      |
|  15   |    49.49%    |    0.6928     |      49.81%       |      49.22%      |
|  16   |    49.49%    |    0.6936     |      49.89%       |      49.29%      |
|  17   |    49.85%    |    0.6931     |      50.05%       |      50.12%      |
|  18   |    50.48%    |    0.6931     |      50.01%       |      50.12%      |
|  19   |    50.46%    |    0.6938     |      50.01%       |      50.05%      |
|  20   |    50.46%    |    0.6937     |      50.04%       |      49.98%      |
|  21   |    50.48%    |    0.6928     |      50.04%       |      49.98%      |
|  22   |    50.47%    |    0.6938     |      50.03%       |      50.12%      |
|  23   |    50.47%    |    0.6932     |      49.94%       |      49.98%      |
|  24   |    50.47%    |    0.6930     |      50.02%       |      49.91%      |
|  25   |    50.47%    |    0.6935     |      50.02%       |      49.98%      |
|  26   |    50.48%    |    0.6934     |      50.01%       |      49.91%      |
|  27   |    50.47%    |    0.6930     |      50.02%       |      50.05%      |
|  28   |    50.48%    |    0.6932     |      50.06%       |      50.05%      |
|  29   |    50.46%    |    0.6930     |      50.02%       |      50.05%      |
|  30   |    50.48%    |    0.6928     |      50.06%       |      49.91%      |
|  31   |    50.48%    |    0.6925     |      50.02%       |      50.05%      |
|  32   |    50.48%    |    0.6934     |      50.01%       |      49.98%      |
|  33   |    50.46%    |    0.6937     |      50.01%       |      49.91%      |
|  34   |    50.46%    |    0.6934     |      49.97%       |      49.84%      |
|  35   |    50.47%    |    0.6933     |      50.02%       |      49.91%      |
|  36   |    50.46%    |    0.6939     |      49.97%       |      49.98%      |
|  37   |    50.46%    |    0.6934     |      50.05%       |      50.05%      |
|  38   |    50.48%    |    0.6931     |      49.97%       |      50.05%      |
|  39   |    50.46%    |    0.6934     |      49.99%       |      49.91%      |
|  40   |    50.47%    |    0.6933     |      50.05%       |      50.12%      |
|  41   |    50.48%    |    0.6931     |      49.99%       |      49.98%      |
|  42   |    50.46%    |    0.6932     |      50.02%       |      49.98%      |
|  43   |    50.48%    |    0.6928     |      50.03%       |      50.12%      |
|  44   |    50.47%    |    0.6935     |      49.99%       |      49.84%      |
|  45   |    50.47%    |    0.6933     |      49.99%       |      49.84%      |
|  46   |    50.48%    |    0.6930     |      49.97%       |      50.12%      |
|  47   |    50.47%    |    0.6927     |      49.97%       |      49.84%      |
|  48   |    50.48%    |    0.6930     |      50.02%       |      50.12%      |
