| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.65%    |    0.6940     |      49.57%       |      49.62%      |
|   2   |    49.75%    |    0.6933     |      49.66%       |      49.26%      |
|   3   |    50.39%    |    0.6926     |      50.34%       |      50.38%      |
|   4   |    50.50%    |    0.6921     |      50.37%       |      50.52%      |
|   5   |    50.51%    |    0.6935     |      50.37%       |      50.45%      |
|   6   |    50.51%    |    0.6935     |      50.32%       |      50.30%      |
|   7   |    50.50%    |    0.6929     |      50.33%       |      50.30%      |
|   8   |    50.52%    |    0.6922     |      50.32%       |      50.66%      |
|   9   |    50.53%    |    0.6925     |      50.32%       |      50.23%      |
|  10   |    50.52%    |    0.6926     |      50.41%       |      50.45%      |
|  11   |    50.51%    |    0.6929     |      50.32%       |      50.30%      |
|  12   |    50.51%    |    0.6920     |      50.39%       |      50.45%      |
|  13   |    50.50%    |    0.6933     |      50.38%       |      50.30%      |
|  14   |    50.51%    |    0.6928     |      50.37%       |      50.30%      |
|  15   |    50.51%    |    0.6937     |      50.39%       |      50.59%      |
|  16   |    50.50%    |    0.6934     |      50.34%       |      50.23%      |
|  17   |    50.51%    |    0.6930     |      50.39%       |      50.38%      |
|  18   |    50.50%    |    0.6930     |      50.37%       |      50.45%      |
|  19   |    50.51%    |    0.6933     |      50.34%       |      50.38%      |
|  20   |    50.52%    |    0.6924     |      50.33%       |      50.52%      |
|  21   |    50.51%    |    0.6929     |      50.33%       |      50.52%      |
|  22   |    50.51%    |    0.6932     |      50.33%       |      50.38%      |
|  23   |    50.51%    |    0.6926     |      50.29%       |      50.52%      |
|  24   |    50.52%    |    0.6937     |      50.34%       |      50.38%      |
|  25   |    50.51%    |    0.6934     |      50.41%       |      50.45%      |
|  26   |    50.51%    |    0.6924     |      50.36%       |      50.38%      |
|  27   |    50.51%    |    0.6930     |      50.36%       |      50.38%      |
|  28   |    50.52%    |    0.6929     |      50.32%       |      50.23%      |
|  29   |    50.49%    |    0.6941     |      50.37%       |      50.45%      |
|  30   |    50.51%    |    0.6930     |      50.36%       |      50.45%      |
|  31   |    50.50%    |    0.6942     |      50.37%       |      50.45%      |
|  32   |    50.51%    |    0.6930     |      50.34%       |      50.52%      |
|  33   |    50.51%    |    0.6940     |      50.36%       |      50.45%      |
|  34   |    50.50%    |    0.6932     |      50.36%       |      50.45%      |
|  35   |    50.50%    |    0.6940     |      50.40%       |      50.66%      |
|  36   |    50.51%    |    0.6929     |      50.37%       |      50.52%      |
|  37   |    50.50%    |    0.6927     |      50.38%       |      50.59%      |
|  38   |    50.50%    |    0.6938     |      50.39%       |      50.45%      |
|  39   |    50.51%    |    0.6927     |      50.34%       |      50.45%      |
|  40   |    50.51%    |    0.6934     |      50.33%       |      50.30%      |
|  41   |    50.51%    |    0.6919     |      50.40%       |      50.38%      |
|  42   |    50.52%    |    0.6931     |      50.29%       |      50.38%      |
|  43   |    50.51%    |    0.6929     |      50.32%       |      50.45%      |
|  44   |    50.51%    |    0.6928     |      50.31%       |      50.38%      |
|  45   |    50.50%    |    0.6932     |      50.32%       |      50.38%      |
|  46   |    50.51%    |    0.6934     |      50.37%       |      50.23%      |
|  47   |    50.50%    |    0.6934     |      50.32%       |      50.23%      |
|  48   |    50.51%    |    0.6927     |      50.37%       |      50.45%      |
|  49   |    50.52%    |    0.6927     |      50.37%       |      50.52%      |
|  50   |    50.50%    |    0.6931     |      50.34%       |      50.52%      |
|  51   |    50.51%    |    0.6939     |      50.34%       |      50.45%      |
|  52   |    50.52%    |    0.6932     |      50.36%       |      50.59%      |
|  53   |    50.51%    |    0.6931     |      50.33%       |      50.59%      |
|  54   |    50.51%    |    0.6930     |      50.32%       |      50.45%      |
|  55   |    50.51%    |    0.6939     |      50.36%       |      50.45%      |
|  56   |    50.51%    |    0.6928     |      50.33%       |      50.52%      |
|  57   |    50.51%    |    0.6935     |      50.39%       |      50.59%      |
|  58   |    50.51%    |    0.6933     |      50.35%       |      50.45%      |
|  59   |    50.52%    |    0.6931     |      50.29%       |      50.45%      |
|  60   |    50.51%    |    0.6937     |      50.41%       |      50.45%      |
|  61   |    50.51%    |    0.6929     |      50.37%       |      50.38%      |
|  62   |    50.50%    |    0.6929     |      50.32%       |      50.52%      |
|  63   |    50.50%    |    0.6939     |      50.37%       |      50.52%      |
|  64   |    50.50%    |    0.6937     |      50.35%       |      50.30%      |
|  65   |    50.50%    |    0.6938     |      50.36%       |      50.38%      |
|  66   |    50.50%    |    0.6934     |      50.38%       |      50.38%      |
|  67   |    50.52%    |    0.6933     |      50.38%       |      50.52%      |
|  68   |    50.50%    |    0.6935     |      50.34%       |      50.45%      |
|  69   |    50.51%    |    0.6939     |      50.30%       |      50.23%      |
|  70   |    50.51%    |    0.6927     |      50.29%       |      50.38%      |
|  71   |    50.51%    |    0.6926     |      50.37%       |      50.73%      |
|  72   |    50.52%    |    0.6930     |      50.34%       |      50.52%      |
|  73   |    50.50%    |    0.6933     |      50.37%       |      50.52%      |
|  74   |    50.50%    |    0.6933     |      50.36%       |      50.38%      |
|  75   |    50.49%    |    0.6935     |      50.32%       |      50.38%      |
|  76   |    50.51%    |    0.6929     |      50.37%       |      50.30%      |
|  77   |    50.51%    |    0.6931     |      50.32%       |      50.52%      |
|  78   |    50.50%    |    0.6938     |      50.32%       |      50.66%      |
|  79   |    50.52%    |    0.6923     |      50.38%       |      50.38%      |
|  80   |    50.51%    |    0.6932     |      50.36%       |      50.52%      |
|  81   |    50.51%    |    0.6933     |      50.35%       |      50.38%      |
|  82   |    50.51%    |    0.6939     |      50.37%       |      50.45%      |
|  83   |    50.51%    |    0.6939     |      50.36%       |      50.45%      |
|  84   |    50.51%    |    0.6935     |      50.35%       |      50.38%      |
|  85   |    50.52%    |    0.6925     |      50.34%       |      50.30%      |
|  86   |    50.51%    |    0.6931     |      50.31%       |      50.38%      |
|  87   |    50.50%    |    0.6929     |      50.32%       |      50.45%      |
|  88   |    50.51%    |    0.6943     |      50.34%       |      50.45%      |
|  89   |    50.50%    |    0.6936     |      50.34%       |      50.45%      |
|  90   |    50.51%    |    0.6934     |      50.32%       |      50.38%      |
|  91   |    50.51%    |    0.6936     |      50.34%       |      50.45%      |
|  92   |    50.51%    |    0.6930     |      50.32%       |      50.38%      |
|  93   |    50.50%    |    0.6933     |      50.37%       |      50.66%      |
|  94   |    50.52%    |    0.6935     |      50.34%       |      50.52%      |
|  95   |    50.51%    |    0.6925     |      50.32%       |      50.38%      |
|  96   |    50.51%    |    0.6936     |      50.38%       |      50.38%      |
|  97   |    50.50%    |    0.6938     |      50.38%       |      50.45%      |
|  98   |    50.52%    |    0.6920     |      50.35%       |      50.52%      |
|  99   |    50.51%    |    0.6931     |      50.39%       |      50.45%      |
|  100  |    50.50%    |    0.6930     |      50.36%       |      50.45%      |
|  101  |    50.51%    |    0.6934     |      50.34%       |      50.38%      |
|  102  |    50.51%    |    0.6935     |      50.36%       |      50.45%      |
|  103  |    50.50%    |    0.6937     |      50.36%       |      50.52%      |
|  104  |    50.50%    |    0.6930     |      50.38%       |      50.52%      |
|  105  |    50.51%    |    0.6931     |      50.39%       |      50.66%      |
|  106  |    50.51%    |    0.6932     |      50.37%       |      50.45%      |
|  107  |    50.51%    |    0.6929     |      50.39%       |      50.52%      |
|  108  |    50.51%    |    0.6931     |      50.37%       |      50.45%      |
|  109  |    50.51%    |    0.6919     |      50.39%       |      50.45%      |
|  110  |    50.50%    |    0.6929     |      50.35%       |      50.45%      |
|  111  |    50.50%    |    0.6935     |      50.36%       |      50.45%      |
|  112  |    50.50%    |    0.6934     |      50.33%       |      50.59%      |
|  113  |    50.52%    |    0.6924     |      50.35%       |      50.30%      |
|  114  |    50.51%    |    0.6936     |      50.41%       |      50.52%      |
|  115  |    50.50%    |    0.6929     |      50.39%       |      50.52%      |
|  116  |    50.53%    |    0.6926     |      50.33%       |      50.38%      |
|  117  |    50.52%    |    0.6935     |      50.34%       |      50.30%      |
|  118  |    50.51%    |    0.6929     |      50.34%       |      50.38%      |
|  119  |    50.51%    |    0.6932     |      50.35%       |      50.16%      |
|  120  |    50.51%    |    0.6932     |      50.32%       |      50.45%      |
|  121  |    50.51%    |    0.6923     |      50.36%       |      50.38%      |
|  122  |    50.51%    |    0.6925     |      50.37%       |      50.45%      |
|  123  |    50.52%    |    0.6926     |      50.36%       |      50.45%      |
|  124  |    50.52%    |    0.6932     |      50.36%       |      50.52%      |
