| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.71%    |    0.6913     |      48.72%       |      46.95%      |
|   2   |    47.21%    |    0.6955     |      48.91%       |      47.33%      |
|   3   |    51.69%    |    0.6915     |      49.79%       |      51.64%      |
|   4   |    50.97%    |    0.6910     |      49.22%       |      50.95%      |
|   5   |    50.51%    |    0.6943     |      49.25%       |      50.65%      |
|   6   |    50.26%    |    0.6951     |      49.66%       |      50.65%      |
|   7   |    50.18%    |    0.6951     |      49.81%       |      50.40%      |
|   8   |    50.07%    |    0.6931     |      49.84%       |      50.47%      |
|   9   |    50.05%    |    0.6951     |      49.74%       |      50.40%      |
|  10   |    50.09%    |    0.6962     |      49.51%       |      50.47%      |
|  11   |    50.06%    |    0.6966     |      49.37%       |      48.87%      |
|  12   |    50.02%    |    0.6930     |      49.42%       |      49.23%      |
|  13   |    49.58%    |    0.6955     |      49.46%       |      49.44%      |
|  14   |    49.71%    |    0.6943     |      49.42%       |      49.30%      |
|  15   |    49.95%    |    0.6940     |      49.29%       |      48.39%      |
|  16   |    50.06%    |    0.6935     |      49.52%       |      49.44%      |
|  17   |    50.02%    |    0.6930     |      49.46%       |      49.51%      |
|  18   |    49.45%    |    0.6922     |      49.42%       |      49.37%      |
|  19   |    49.69%    |    0.6927     |      49.41%       |      49.51%      |
|  20   |    49.70%    |    0.6931     |      49.51%       |      50.61%      |
|  21   |    50.06%    |    0.6928     |      49.53%       |      50.40%      |
|  22   |    50.07%    |    0.6928     |      49.66%       |      50.54%      |
|  23   |    50.06%    |    0.6931     |      49.60%       |      50.40%      |
|  24   |    50.05%    |    0.6932     |      49.70%       |      50.54%      |
|  25   |    50.05%    |    0.6932     |      50.41%       |      50.54%      |
|  26   |    50.07%    |    0.6931     |      50.33%       |      50.32%      |
|  27   |    50.06%    |    0.6931     |      50.43%       |      50.40%      |
|  28   |    50.07%    |    0.6931     |      50.44%       |      50.40%      |
|  29   |    50.06%    |    0.6933     |      50.47%       |      50.40%      |
|  30   |    50.06%    |    0.6932     |      50.48%       |      50.40%      |
|  31   |    50.07%    |    0.6931     |      50.48%       |      50.47%      |
|  32   |    50.06%    |    0.6931     |      50.52%       |      50.47%      |
|  33   |    50.06%    |    0.6933     |      50.46%       |      50.40%      |
|  34   |    50.08%    |    0.6932     |      50.44%       |      50.47%      |
|  35   |    50.06%    |    0.6932     |      50.47%       |      50.32%      |
|  36   |    50.06%    |    0.6931     |      50.46%       |      50.54%      |
|  37   |    50.07%    |    0.6931     |      50.47%       |      50.54%      |
|  38   |    50.07%    |    0.6931     |      50.44%       |      50.40%      |
|  39   |    50.06%    |    0.6932     |      50.46%       |      50.40%      |
|  40   |    50.07%    |    0.6930     |      50.44%       |      50.47%      |
|  41   |    50.06%    |    0.6932     |      50.52%       |      50.47%      |
|  42   |    50.07%    |    0.6930     |      50.40%       |      50.40%      |
|  43   |    50.07%    |    0.6930     |      50.45%       |      50.47%      |
|  44   |    50.06%    |    0.6932     |      50.44%       |      50.47%      |
|  45   |    50.05%    |    0.6932     |      50.47%       |      50.61%      |
|  46   |    50.07%    |    0.6930     |      50.43%       |      50.47%      |
|  47   |    50.06%    |    0.6931     |      50.43%       |      50.32%      |
|  48   |    50.06%    |    0.6931     |      50.45%       |      50.40%      |
|  49   |    50.05%    |    0.6931     |      50.47%       |      50.40%      |
|  50   |    50.06%    |    0.6931     |      50.40%       |      50.40%      |
|  51   |    50.06%    |    0.6933     |      50.46%       |      50.61%      |
|  52   |    50.06%    |    0.6932     |      50.45%       |      50.47%      |
|  53   |    50.07%    |    0.6932     |      50.43%       |      50.54%      |
|  54   |    50.05%    |    0.6933     |      50.46%       |      50.40%      |
|  55   |    50.07%    |    0.6932     |      50.43%       |      50.54%      |
|  56   |    50.06%    |    0.6931     |      50.43%       |      50.40%      |
|  57   |    50.05%    |    0.6931     |      50.45%       |      50.54%      |
|  58   |    50.06%    |    0.6931     |      50.41%       |      50.47%      |
|  59   |    50.07%    |    0.6931     |      50.39%       |      50.40%      |
|  60   |    50.05%    |    0.6931     |      50.50%       |      50.61%      |
|  61   |    50.07%    |    0.6930     |      50.46%       |      50.32%      |
|  62   |    50.06%    |    0.6933     |      50.48%       |      50.40%      |
|  63   |    50.07%    |    0.6933     |      50.48%       |      50.61%      |
|  64   |    50.05%    |    0.6931     |      50.48%       |      50.40%      |
|  65   |    50.06%    |    0.6933     |      50.52%       |      50.40%      |
|  66   |    50.07%    |    0.6930     |      50.47%       |      50.47%      |
|  67   |    50.07%    |    0.6931     |      50.51%       |      50.61%      |
|  68   |    50.06%    |    0.6931     |      50.43%       |      50.32%      |
|  69   |    50.06%    |    0.6932     |      50.41%       |      50.54%      |
|  70   |    50.06%    |    0.6932     |      50.45%       |      50.47%      |
|  71   |    50.06%    |    0.6932     |      50.51%       |      50.54%      |
|  72   |    50.05%    |    0.6931     |      50.51%       |      50.54%      |
|  73   |    50.07%    |    0.6931     |      50.45%       |      50.32%      |
|  74   |    50.04%    |    0.6932     |      50.47%       |      50.47%      |
|  75   |    50.06%    |    0.6932     |      50.42%       |      50.47%      |
|  76   |    50.08%    |    0.6930     |      50.47%       |      50.54%      |
|  77   |    50.06%    |    0.6933     |      50.52%       |      50.68%      |
|  78   |    50.07%    |    0.6928     |      50.43%       |      50.47%      |
|  79   |    50.06%    |    0.6931     |      50.43%       |      50.61%      |
|  80   |    50.06%    |    0.6933     |      50.50%       |      50.40%      |
|  81   |    50.05%    |    0.6933     |      50.45%       |      50.54%      |
