| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    48.95%    |    0.6889     |      48.89%       |      46.30%      |
|   2   |    49.98%    |    0.6924     |      49.87%       |      50.31%      |
|   3   |    50.50%    |    0.6958     |      49.48%       |      50.50%      |
|   4   |    50.32%    |    0.6936     |      50.19%       |      50.27%      |
|   5   |    50.18%    |    0.6911     |      50.49%       |      50.42%      |
|   6   |    50.33%    |    0.6920     |      50.33%       |      50.30%      |
|   7   |    50.12%    |    0.6921     |      50.61%       |      50.24%      |
|   8   |    50.04%    |    0.6911     |      50.29%       |      50.24%      |
|   9   |    49.82%    |    0.6933     |      50.27%       |      49.15%      |
|  10   |    50.40%    |    0.6925     |      50.29%       |      50.17%      |
|  11   |    50.05%    |    0.6929     |      50.34%       |      50.31%      |
|  12   |    49.97%    |    0.6933     |      50.34%       |      50.17%      |
|  13   |    49.87%    |    0.6938     |      50.26%       |      50.31%      |
|  14   |    50.29%    |    0.6933     |      50.26%       |      50.23%      |
|  15   |    50.07%    |    0.6931     |      50.20%       |      50.09%      |
|  16   |    50.10%    |    0.6932     |      50.28%       |      50.45%      |
|  17   |    50.11%    |    0.6931     |      50.19%       |      50.16%      |
|  18   |    50.13%    |    0.6931     |      50.21%       |      50.30%      |
|  19   |    50.10%    |    0.6932     |      50.21%       |      50.23%      |
|  20   |    50.10%    |    0.6932     |      50.17%       |      50.30%      |
|  21   |    50.11%    |    0.6934     |      50.17%       |      49.95%      |
|  22   |    50.11%    |    0.6930     |      50.20%       |      50.30%      |
|  23   |    50.11%    |    0.6932     |      50.23%       |      50.45%      |
|  24   |    50.10%    |    0.6932     |      50.22%       |      50.16%      |
|  25   |    50.10%    |    0.6931     |      50.22%       |      50.16%      |
|  26   |    50.10%    |    0.6932     |      50.22%       |      50.16%      |
|  27   |    50.10%    |    0.6933     |      50.23%       |      50.38%      |
|  28   |    50.12%    |    0.6930     |      50.25%       |      50.30%      |
|  29   |    50.12%    |    0.6931     |      50.22%       |      50.23%      |
|  30   |    50.11%    |    0.6931     |      50.24%       |      50.16%      |
|  31   |    50.12%    |    0.6931     |      50.19%       |      50.23%      |
|  32   |    50.11%    |    0.6931     |      50.19%       |      50.09%      |
|  33   |    50.12%    |    0.6932     |      50.17%       |      50.23%      |
|  34   |    50.10%    |    0.6931     |      50.25%       |      50.16%      |
|  35   |    50.11%    |    0.6933     |      50.24%       |      50.30%      |
|  36   |    50.10%    |    0.6931     |      50.22%       |      50.16%      |
|  37   |    50.10%    |    0.6932     |      50.22%       |      50.02%      |
|  38   |    50.12%    |    0.6931     |      50.19%       |      50.30%      |
|  39   |    50.11%    |    0.6931     |      50.22%       |      50.16%      |
|  40   |    50.11%    |    0.6931     |      50.22%       |      50.30%      |
|  41   |    50.11%    |    0.6932     |      50.18%       |      50.23%      |
|  42   |    50.12%    |    0.6932     |      50.22%       |      50.23%      |
|  43   |    50.11%    |    0.6931     |      50.23%       |      50.16%      |
