| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.50%    |    0.6919     |      50.10%       |      50.22%      |
|   2   |    50.50%    |    0.6928     |      50.14%       |      50.15%      |
|   3   |    50.51%    |    0.6938     |      50.21%       |      50.08%      |
|   4   |    50.52%    |    0.6939     |      50.10%       |      50.08%      |
|   5   |    50.52%    |    0.6934     |      50.13%       |      50.08%      |
|   6   |    50.52%    |    0.6928     |      50.10%       |      50.08%      |
|   7   |    50.51%    |    0.6935     |      50.13%       |      50.01%      |
|   8   |    50.51%    |    0.6933     |      50.14%       |      50.08%      |
|   9   |    50.51%    |    0.6931     |      50.07%       |      50.15%      |
|  10   |    50.52%    |    0.6932     |      50.14%       |      50.15%      |
|  11   |    50.51%    |    0.6930     |      50.16%       |      50.08%      |
|  12   |    50.52%    |    0.6931     |      50.14%       |      50.08%      |
|  13   |    50.51%    |    0.6939     |      50.09%       |      50.15%      |
|  14   |    50.52%    |    0.6932     |      50.11%       |      50.15%      |
|  15   |    50.51%    |    0.6935     |      50.10%       |      49.94%      |
|  16   |    50.49%    |    0.6927     |      50.19%       |      50.15%      |
|  17   |    50.51%    |    0.6930     |      50.15%       |      50.37%      |
|  18   |    50.51%    |    0.6937     |      50.14%       |      50.01%      |
|  19   |    50.52%    |    0.6925     |      50.16%       |      50.15%      |
|  20   |    50.50%    |    0.6931     |      50.10%       |      50.15%      |
|  21   |    50.52%    |    0.6929     |      50.11%       |      49.94%      |
|  22   |    50.51%    |    0.6930     |      50.19%       |      50.29%      |
|  23   |    50.53%    |    0.6926     |      50.11%       |      50.15%      |
|  24   |    50.51%    |    0.6930     |      50.14%       |      50.22%      |
|  25   |    50.51%    |    0.6929     |      50.18%       |      50.15%      |
|  26   |    50.52%    |    0.6937     |      50.14%       |      50.15%      |
|  27   |    50.52%    |    0.6930     |      50.14%       |      50.08%      |
|  28   |    50.52%    |    0.6936     |      50.16%       |      49.94%      |
|  29   |    50.53%    |    0.6934     |      50.12%       |      50.22%      |
|  30   |    50.53%    |    0.6938     |      50.14%       |      50.08%      |
|  31   |    50.51%    |    0.6935     |      50.09%       |      50.01%      |
|  32   |    50.51%    |    0.6940     |      50.12%       |      50.15%      |
|  33   |    50.51%    |    0.6927     |      50.08%       |      50.01%      |
|  34   |    50.52%    |    0.6945     |      50.10%       |      50.15%      |
|  35   |    50.53%    |    0.6928     |      50.13%       |      50.15%      |
|  36   |    50.52%    |    0.6930     |      50.21%       |      50.15%      |
|  37   |    50.52%    |    0.6935     |      50.14%       |      50.37%      |
|  38   |    50.51%    |    0.6942     |      50.09%       |      50.01%      |
|  39   |    50.51%    |    0.6931     |      50.15%       |      50.37%      |
|  40   |    50.52%    |    0.6935     |      50.16%       |      50.08%      |
|  41   |    50.52%    |    0.6926     |      50.04%       |      49.94%      |
|  42   |    50.53%    |    0.6935     |      50.15%       |      50.15%      |
|  43   |    50.51%    |    0.6930     |      50.19%       |      50.29%      |
|  44   |    50.53%    |    0.6923     |      50.15%       |      50.15%      |
|  45   |    50.52%    |    0.6930     |      50.09%       |      49.94%      |
|  46   |    50.54%    |    0.6936     |      50.20%       |      50.15%      |
|  47   |    50.51%    |    0.6922     |      50.15%       |      50.29%      |
|  48   |    50.53%    |    0.6931     |      50.10%       |      50.08%      |
|  49   |    50.52%    |    0.6929     |      50.09%       |      50.08%      |
|  50   |    50.52%    |    0.6926     |      50.14%       |      50.22%      |
|  51   |    50.52%    |    0.6935     |      50.16%       |      50.29%      |
|  52   |    50.52%    |    0.6926     |      50.14%       |      50.22%      |
|  53   |    50.50%    |    0.6936     |      50.14%       |      50.08%      |
|  54   |    50.51%    |    0.6937     |      50.16%       |      50.37%      |
|  55   |    50.52%    |    0.6930     |      50.11%       |      50.08%      |
|  56   |    50.53%    |    0.6922     |      50.22%       |      50.15%      |
|  57   |    50.51%    |    0.6928     |      50.13%       |      49.94%      |
|  58   |    50.52%    |    0.6927     |      50.16%       |      50.15%      |
|  59   |    50.53%    |    0.6935     |      50.16%       |      50.15%      |
|  60   |    50.51%    |    0.6933     |      50.16%       |      50.15%      |
|  61   |    50.50%    |    0.6942     |      50.13%       |      50.22%      |
|  62   |    50.53%    |    0.6930     |      50.16%       |      50.15%      |
|  63   |    50.52%    |    0.6933     |      50.14%       |      50.01%      |
|  64   |    50.51%    |    0.6941     |      50.16%       |      50.08%      |
|  65   |    50.52%    |    0.6931     |      50.16%       |      50.08%      |
|  66   |    50.53%    |    0.6937     |      50.13%       |      50.01%      |
|  67   |    50.51%    |    0.6933     |      50.14%       |      50.22%      |
|  68   |    50.53%    |    0.6923     |      50.14%       |      50.29%      |
|  69   |    50.51%    |    0.6931     |      50.19%       |      50.08%      |
|  70   |    50.51%    |    0.6929     |      50.14%       |      50.15%      |
|  71   |    50.51%    |    0.6928     |      50.11%       |      50.22%      |
|  72   |    50.51%    |    0.6933     |      50.14%       |      50.01%      |
|  73   |    50.53%    |    0.6923     |      50.10%       |      50.01%      |
|  74   |    50.51%    |    0.6932     |      50.10%       |      50.01%      |
|  75   |    50.51%    |    0.6936     |      50.13%       |      50.08%      |
|  76   |    50.52%    |    0.6937     |      50.15%       |      50.22%      |
|  77   |    50.52%    |    0.6939     |      50.14%       |      50.29%      |
|  78   |    50.51%    |    0.6934     |      50.15%       |      50.15%      |
|  79   |    50.52%    |    0.6936     |      50.13%       |      50.22%      |
|  80   |    50.51%    |    0.6930     |      50.14%       |      50.22%      |
|  81   |    50.51%    |    0.6933     |      50.20%       |      50.08%      |
|  82   |    50.52%    |    0.6926     |      50.14%       |      50.15%      |
|  83   |    50.52%    |    0.6924     |      50.10%       |      49.94%      |
|  84   |    50.41%    |    0.6931     |      50.12%       |      50.22%      |
|  85   |    50.52%    |    0.6937     |      50.13%       |      50.22%      |
|  86   |    50.51%    |    0.6932     |      50.20%       |      50.22%      |
|  87   |    50.52%    |    0.6908     |      50.14%       |      50.22%      |
|  88   |    50.53%    |    0.6933     |      50.13%       |      50.29%      |
|  89   |    50.51%    |    0.6933     |      50.18%       |      50.22%      |
|  90   |    50.51%    |    0.6935     |      50.15%       |      50.08%      |
|  91   |    50.52%    |    0.6933     |      50.14%       |      50.15%      |
|  92   |    50.53%    |    0.6922     |      50.11%       |      50.08%      |
|  93   |    50.51%    |    0.6926     |      50.13%       |      50.29%      |
|  94   |    50.51%    |    0.6921     |      50.16%       |      50.22%      |
|  95   |    50.52%    |    0.6928     |      50.21%       |      50.15%      |
|  96   |    50.50%    |    0.6936     |      50.16%       |      50.29%      |
|  97   |    50.52%    |    0.6927     |      50.11%       |      50.22%      |
|  98   |    50.52%    |    0.6926     |      50.13%       |      50.08%      |
|  99   |    50.51%    |    0.6935     |      50.16%       |      50.22%      |
|  100  |    50.51%    |    0.6936     |      50.21%       |      50.22%      |
|  101  |    50.52%    |    0.6932     |      50.18%       |      50.15%      |
|  102  |    50.53%    |    0.6937     |      50.14%       |      50.22%      |
|  103  |    50.51%    |    0.6943     |      50.10%       |      50.22%      |
|  104  |    50.51%    |    0.6934     |      50.10%       |      49.94%      |
|  105  |    50.52%    |    0.6928     |      50.13%       |      50.08%      |
|  106  |    50.51%    |    0.6931     |      50.16%       |      50.15%      |
|  107  |    50.53%    |    0.6931     |      50.16%       |      50.29%      |
|  108  |    50.52%    |    0.6927     |      50.11%       |      50.01%      |
|  109  |    50.51%    |    0.6930     |      50.13%       |      50.15%      |
|  110  |    50.51%    |    0.6920     |      50.20%       |      50.44%      |
|  111  |    50.51%    |    0.6929     |      50.10%       |      50.22%      |
|  112  |    50.53%    |    0.6929     |      50.15%       |      50.08%      |
|  113  |    50.52%    |    0.6924     |      50.14%       |      50.22%      |
|  114  |    50.52%    |    0.6937     |      50.15%       |      50.01%      |
|  115  |    50.51%    |    0.6938     |      50.11%       |      50.08%      |
|  116  |    50.51%    |    0.6931     |      50.14%       |      50.01%      |
|  117  |    50.52%    |    0.6930     |      50.14%       |      50.15%      |
|  118  |    50.52%    |    0.6935     |      50.21%       |      50.08%      |
|  119  |    50.52%    |    0.6928     |      50.14%       |      50.08%      |
|  120  |    50.52%    |    0.6935     |      50.13%       |      50.08%      |
|  121  |    50.51%    |    0.6932     |      50.14%       |      50.22%      |
|  122  |    50.52%    |    0.6929     |      50.16%       |      50.22%      |
|  123  |    50.53%    |    0.6934     |      50.14%       |      50.08%      |
|  124  |    50.52%    |    0.6926     |      50.16%       |      50.08%      |
|  125  |    50.53%    |    0.6912     |      50.11%       |      50.01%      |
|  126  |    50.53%    |    0.6926     |      50.15%       |      50.15%      |
|  127  |    50.51%    |    0.6929     |      50.13%       |      50.01%      |
|  128  |    50.53%    |    0.6927     |      50.16%       |      50.15%      |
|  129  |    50.52%    |    0.6932     |      50.16%       |      49.94%      |
|  130  |    50.52%    |    0.6927     |      50.13%       |      50.08%      |
|  131  |    50.53%    |    0.6924     |      50.10%       |      50.15%      |
|  132  |    50.51%    |    0.6942     |      50.14%       |      50.08%      |
|  133  |    50.51%    |    0.6930     |      50.21%       |      50.15%      |
|  134  |    50.51%    |    0.6923     |      50.17%       |      50.15%      |
|  135  |    50.52%    |    0.6929     |      50.15%       |      50.01%      |
|  136  |    50.53%    |    0.6936     |      50.14%       |      50.15%      |
|  137  |    50.50%    |    0.6933     |      50.14%       |      50.08%      |
|  138  |    50.52%    |    0.6933     |      50.12%       |      50.08%      |
|  139  |    50.51%    |    0.6932     |      50.13%       |      50.08%      |
|  140  |    50.51%    |    0.6931     |      50.15%       |      50.15%      |
|  141  |    50.52%    |    0.6932     |      50.21%       |      50.37%      |
|  142  |    50.51%    |    0.6928     |      50.09%       |      50.01%      |
|  143  |    50.52%    |    0.6928     |      50.14%       |      50.22%      |
|  144  |    50.51%    |    0.6923     |      50.14%       |      50.15%      |
|  145  |    50.51%    |    0.6939     |      50.09%       |      50.01%      |
|  146  |    50.52%    |    0.6930     |      50.14%       |      50.15%      |
|  147  |    50.53%    |    0.6930     |      50.12%       |      50.22%      |
|  148  |    50.53%    |    0.6936     |      50.16%       |      50.15%      |
|  149  |    50.51%    |    0.6926     |      50.19%       |      50.22%      |
|  150  |    50.51%    |    0.6934     |      50.11%       |      50.15%      |
|  151  |    50.52%    |    0.6939     |      50.11%       |      50.15%      |
|  152  |    50.52%    |    0.6925     |      50.22%       |      50.22%      |
|  153  |    50.52%    |    0.6932     |      50.14%       |      50.22%      |
|  154  |    50.52%    |    0.6927     |      50.12%       |      50.08%      |
|  155  |    50.53%    |    0.6938     |      50.14%       |      50.08%      |
|  156  |    50.51%    |    0.6936     |      50.16%       |      50.15%      |
|  157  |    50.52%    |    0.6933     |      50.14%       |      50.22%      |
|  158  |    50.51%    |    0.6933     |      50.15%       |      50.01%      |
|  159  |    50.52%    |    0.6932     |      50.16%       |      50.29%      |
|  160  |    50.53%    |    0.6929     |      50.13%       |      50.01%      |
|  161  |    50.51%    |    0.6934     |      50.15%       |      50.29%      |
|  162  |    50.51%    |    0.6932     |      50.16%       |      50.08%      |
|  163  |    50.51%    |    0.6922     |      50.18%       |      50.01%      |
|  164  |    50.51%    |    0.6929     |      50.15%       |      50.29%      |
|  165  |    50.50%    |    0.6932     |      50.13%       |      50.08%      |
|  166  |    50.51%    |    0.6929     |      50.15%       |      50.22%      |
|  167  |    50.50%    |    0.6928     |      50.14%       |      50.15%      |
|  168  |    50.52%    |    0.6933     |      50.11%       |      50.15%      |
|  169  |    50.53%    |    0.6926     |      50.16%       |      50.08%      |
|  170  |    50.50%    |    0.6933     |      50.16%       |      50.08%      |
|  171  |    50.52%    |    0.6928     |      50.08%       |      49.94%      |
|  172  |    50.52%    |    0.6933     |      50.12%       |      50.22%      |
|  173  |    50.52%    |    0.6928     |      50.14%       |      50.01%      |
|  174  |    50.51%    |    0.6931     |      50.14%       |      50.22%      |
|  175  |    50.52%    |    0.6930     |      50.09%       |      50.01%      |
|  176  |    50.51%    |    0.6923     |      50.19%       |      50.22%      |
|  177  |    50.51%    |    0.6933     |      50.11%       |      50.01%      |
|  178  |    50.53%    |    0.6929     |      50.18%       |      50.37%      |
|  179  |    50.50%    |    0.6933     |      50.18%       |      50.44%      |
|  180  |    50.52%    |    0.6935     |      50.16%       |      50.15%      |
|  181  |    50.51%    |    0.6928     |      50.17%       |      50.29%      |
|  182  |    50.53%    |    0.6930     |      50.17%       |      50.29%      |
|  183  |    50.53%    |    0.6929     |      50.12%       |      50.15%      |
|  184  |    50.52%    |    0.6928     |      50.19%       |      50.15%      |
|  185  |    50.52%    |    0.6933     |      50.16%       |      50.15%      |
|  186  |    50.56%    |    0.6935     |      50.15%       |      50.08%      |
|  187  |    50.52%    |    0.6924     |      50.10%       |      50.08%      |
|  188  |    50.51%    |    0.6937     |      50.14%       |      50.08%      |
|  189  |    50.51%    |    0.6924     |      50.12%       |      49.94%      |
|  190  |    50.51%    |    0.6933     |      50.15%       |      50.15%      |
|  191  |    50.53%    |    0.6936     |      50.11%       |      50.01%      |
|  192  |    50.52%    |    0.6926     |      50.16%       |      50.37%      |
|  193  |    50.53%    |    0.6922     |      50.18%       |      50.22%      |
|  194  |    50.51%    |    0.6924     |      50.10%       |      50.08%      |
|  195  |    50.52%    |    0.6924     |      50.13%       |      50.15%      |
|  196  |    50.52%    |    0.6936     |      50.11%       |      50.08%      |
|  197  |    50.53%    |    0.6928     |      50.15%       |      50.22%      |
|  198  |    50.51%    |    0.6931     |      50.21%       |      50.15%      |
|  199  |    50.51%    |    0.6929     |      50.12%       |      50.08%      |
|  200  |    50.51%    |    0.6936     |      50.14%       |      50.15%      |
