| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.92%    |    0.6928     |      50.43%       |      50.60%      |
|   2   |    49.86%    |    0.6934     |      49.59%       |      49.54%      |
|   3   |    50.01%    |    0.6932     |      50.41%       |      50.53%      |
|   4   |    50.12%    |    0.6932     |      49.59%       |      49.47%      |
|   5   |    49.89%    |    0.6931     |      49.58%       |      49.69%      |
|   6   |    49.80%    |    0.6930     |      50.43%       |      50.46%      |
|   7   |    49.80%    |    0.6935     |      50.42%       |      50.53%      |
|   8   |    50.12%    |    0.6933     |      50.36%       |      50.39%      |
|   9   |    50.30%    |    0.6931     |      50.44%       |      50.46%      |
|  10   |    49.96%    |    0.6932     |      49.58%       |      49.54%      |
|  11   |    49.57%    |    0.6931     |      49.60%       |      49.47%      |
|  12   |    50.40%    |    0.6925     |      49.59%       |      49.61%      |
|  13   |    49.48%    |    0.6936     |      50.38%       |      50.46%      |
|  14   |    50.01%    |    0.6932     |      50.42%       |      50.46%      |
|  15   |    49.89%    |    0.6931     |      49.56%       |      49.76%      |
|  16   |    49.96%    |    0.6931     |      50.42%       |      50.46%      |
|  17   |    49.93%    |    0.6929     |      49.59%       |      49.61%      |
|  18   |    50.27%    |    0.6932     |      49.62%       |      49.61%      |
|  19   |    50.07%    |    0.6930     |      49.59%       |      49.47%      |
|  20   |    49.70%    |    0.6936     |      50.39%       |      50.31%      |
|  21   |    49.98%    |    0.6932     |      49.56%       |      49.33%      |
|  22   |    50.00%    |    0.6934     |      49.66%       |      49.69%      |
|  23   |    49.81%    |    0.6927     |      49.54%       |      49.40%      |
|  24   |    50.02%    |    0.6931     |      50.41%       |      50.53%      |
|  25   |    49.79%    |    0.6944     |      50.43%       |      50.67%      |
|  26   |    50.27%    |    0.6930     |      49.57%       |      49.69%      |
|  27   |    49.99%    |    0.6931     |      50.39%       |      50.46%      |
|  28   |    50.44%    |    0.6931     |      50.41%       |      50.46%      |
|  29   |    50.06%    |    0.6939     |      50.43%       |      50.46%      |
|  30   |    49.97%    |    0.6931     |      50.41%       |      50.60%      |
|  31   |    50.01%    |    0.6932     |      49.59%       |      49.40%      |
|  32   |    50.35%    |    0.6926     |      50.38%       |      50.46%      |
|  33   |    49.45%    |    0.6940     |      49.57%       |      49.40%      |
|  34   |    50.13%    |    0.6932     |      49.59%       |      49.54%      |
|  35   |    50.05%    |    0.6927     |      50.41%       |      50.31%      |
|  36   |    50.30%    |    0.6929     |      49.65%       |      49.69%      |
|  37   |    49.74%    |    0.6931     |      49.62%       |      49.61%      |
|  38   |    49.42%    |    0.6932     |      49.58%       |      49.47%      |
|  39   |    49.95%    |    0.6938     |      50.36%       |      50.39%      |
|  40   |    50.08%    |    0.6931     |      50.37%       |      50.31%      |
|  41   |    49.88%    |    0.6932     |      49.54%       |      49.61%      |
|  42   |    49.65%    |    0.6931     |      49.64%       |      49.69%      |
|  43   |    49.88%    |    0.6934     |      49.59%       |      49.54%      |
|  44   |    49.68%    |    0.6925     |      49.62%       |      49.47%      |
|  45   |    49.98%    |    0.6931     |      50.42%       |      50.46%      |
|  46   |    49.56%    |    0.6933     |      50.38%       |      50.31%      |
|  47   |    49.74%    |    0.6931     |      49.54%       |      49.47%      |
|  48   |    50.23%    |    0.6930     |      49.64%       |      49.83%      |
|  49   |    50.08%    |    0.6932     |      49.59%       |      49.47%      |
|  50   |    50.44%    |    0.6930     |      49.57%       |      49.54%      |
|  51   |    49.96%    |    0.6935     |      50.47%       |      50.39%      |
|  52   |    50.34%    |    0.6933     |      49.62%       |      49.47%      |
|  53   |    49.86%    |    0.6932     |      49.56%       |      49.47%      |
|  54   |    49.67%    |    0.6928     |      50.43%       |      50.31%      |
|  55   |    50.10%    |    0.6931     |      49.54%       |      49.61%      |
|  56   |    50.03%    |    0.6925     |      50.41%       |      50.60%      |
|  57   |    49.70%    |    0.6932     |      49.52%       |      49.54%      |
|  58   |    50.15%    |    0.6930     |      50.37%       |      50.39%      |
|  59   |    49.73%    |    0.6930     |      49.56%       |      49.47%      |
|  60   |    50.00%    |    0.6929     |      49.58%       |      49.47%      |
|  61   |    49.79%    |    0.6930     |      50.40%       |      50.53%      |
|  62   |    50.15%    |    0.6932     |      49.59%       |      49.40%      |
|  63   |    49.63%    |    0.6931     |      50.41%       |      50.53%      |
|  64   |    50.05%    |    0.6933     |      49.62%       |      49.61%      |
|  65   |    49.88%    |    0.6924     |      49.52%       |      49.40%      |
|  66   |    49.93%    |    0.6932     |      50.45%       |      50.24%      |
|  67   |    49.87%    |    0.6932     |      50.41%       |      50.53%      |
|  68   |    49.81%    |    0.6932     |      49.57%       |      49.54%      |
|  69   |    49.89%    |    0.6932     |      49.62%       |      49.76%      |
|  70   |    49.61%    |    0.6932     |      50.45%       |      50.67%      |
|  71   |    49.49%    |    0.6934     |      49.64%       |      49.69%      |
|  72   |    49.91%    |    0.6937     |      49.63%       |      49.54%      |
|  73   |    49.66%    |    0.6936     |      50.43%       |      50.53%      |
|  74   |    49.81%    |    0.6931     |      49.57%       |      49.61%      |
|  75   |    49.87%    |    0.6931     |      49.58%       |      49.40%      |
