| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    51.86%    |    0.6890     |      55.58%       |      53.95%      |
|   2   |    53.70%    |    0.6904     |      56.75%       |      54.44%      |
|   3   |    53.35%    |    0.6924     |      54.21%       |      51.51%      |
|   4   |    50.57%    |    0.6927     |      49.95%       |      49.41%      |
|   5   |    49.86%    |    0.6934     |      50.22%       |      50.38%      |
|   6   |    49.72%    |    0.6931     |      50.15%       |      50.59%      |
|   7   |    50.09%    |    0.6931     |      49.38%       |      49.41%      |
|   8   |    49.66%    |    0.6933     |      50.68%       |      50.52%      |
|   9   |    50.23%    |    0.6932     |      50.02%       |      49.80%      |
|  10   |    50.10%    |    0.6931     |      50.64%       |      50.52%      |
|  11   |    50.13%    |    0.6931     |      49.89%       |      50.08%      |
|  12   |    49.82%    |    0.6935     |      50.61%       |      50.59%      |
|  13   |    50.11%    |    0.6931     |      50.61%       |      50.59%      |
|  14   |    50.13%    |    0.6931     |      50.63%       |      50.66%      |
|  15   |    49.72%    |    0.6930     |      50.65%       |      50.66%      |
|  16   |    50.11%    |    0.6931     |      50.58%       |      50.66%      |
|  17   |    50.13%    |    0.6932     |      50.63%       |      50.59%      |
|  18   |    50.11%    |    0.6933     |      50.68%       |      50.73%      |
|  19   |    50.11%    |    0.6931     |      50.69%       |      50.45%      |
|  20   |    49.65%    |    0.6930     |      50.66%       |      50.66%      |
|  21   |    50.01%    |    0.6932     |      50.69%       |      50.66%      |
|  22   |    50.23%    |    0.6930     |      50.70%       |      50.73%      |
|  23   |    50.19%    |    0.6931     |      50.63%       |      50.52%      |
|  24   |    50.16%    |    0.6932     |      49.34%       |      49.20%      |
|  25   |    50.23%    |    0.6932     |      50.60%       |      50.66%      |
|  26   |    50.32%    |    0.6929     |      50.58%       |      50.73%      |
|  27   |    50.11%    |    0.6932     |      50.59%       |      50.66%      |
|  28   |    50.26%    |    0.6931     |      50.63%       |      50.80%      |
|  29   |    50.22%    |    0.6932     |      50.61%       |      50.59%      |
|  30   |    50.20%    |    0.6932     |      50.65%       |      50.73%      |
|  31   |    50.11%    |    0.6933     |      50.65%       |      50.66%      |
|  32   |    50.12%    |    0.6931     |      50.66%       |      50.66%      |
|  33   |    49.38%    |    0.6932     |      50.63%       |      50.59%      |
|  34   |    50.04%    |    0.6932     |      50.68%       |      50.59%      |
|  35   |    50.15%    |    0.6931     |      50.66%       |      50.52%      |
|  36   |    50.11%    |    0.6932     |      50.61%       |      50.45%      |
|  37   |    50.01%    |    0.6930     |      50.65%       |      50.87%      |
|  38   |    49.94%    |    0.6930     |      50.66%       |      50.80%      |
|  39   |    49.86%    |    0.6932     |      50.68%       |      50.66%      |
|  40   |    50.17%    |    0.6931     |      50.63%       |      50.73%      |
|  41   |    49.93%    |    0.6931     |      50.61%       |      50.59%      |
|  42   |    50.13%    |    0.6933     |      50.64%       |      50.59%      |
|  43   |    50.17%    |    0.6933     |      50.61%       |      50.45%      |
|  44   |    50.08%    |    0.6931     |      50.60%       |      50.66%      |
|  45   |    50.18%    |    0.6932     |      50.71%       |      50.80%      |
|  46   |    49.75%    |    0.6931     |      50.66%       |      50.80%      |
|  47   |    49.83%    |    0.6931     |      49.33%       |      49.41%      |
|  48   |    50.12%    |    0.6933     |      50.65%       |      50.52%      |
|  49   |    50.18%    |    0.6932     |      50.66%       |      50.87%      |
|  50   |    50.07%    |    0.6931     |      50.56%       |      50.66%      |
|  51   |    50.11%    |    0.6933     |      50.61%       |      50.73%      |
|  52   |    50.21%    |    0.6932     |      50.61%       |      50.59%      |
|  53   |    50.28%    |    0.6932     |      50.66%       |      50.66%      |
|  54   |    50.39%    |    0.6932     |      50.68%       |      50.73%      |
|  55   |    50.12%    |    0.6931     |      50.60%       |      50.59%      |
|  56   |    49.75%    |    0.6931     |      50.62%       |      50.66%      |
|  57   |    50.05%    |    0.6931     |      50.61%       |      50.73%      |
|  58   |    49.50%    |    0.6931     |      50.66%       |      50.87%      |
|  59   |    50.28%    |    0.6931     |      49.31%       |      49.13%      |
|  60   |    49.56%    |    0.6931     |      50.66%       |      50.59%      |
|  61   |    50.00%    |    0.6930     |      50.67%       |      50.80%      |
|  62   |    50.11%    |    0.6930     |      50.66%       |      50.87%      |
|  63   |    49.82%    |    0.6936     |      50.58%       |      50.66%      |
|  64   |    50.11%    |    0.6932     |      49.39%       |      49.34%      |
|  65   |    50.03%    |    0.6929     |      50.65%       |      50.73%      |
|  66   |    50.08%    |    0.6932     |      49.35%       |      49.41%      |
|  67   |    50.16%    |    0.6931     |      50.66%       |      50.73%      |
|  68   |    49.85%    |    0.6933     |      50.66%       |      50.66%      |
|  69   |    49.96%    |    0.6932     |      50.65%       |      50.52%      |
|  70   |    50.12%    |    0.6932     |      50.58%       |      50.73%      |
|  71   |    49.70%    |    0.6932     |      50.65%       |      50.73%      |
|  72   |    50.11%    |    0.6932     |      50.58%       |      50.73%      |
|  73   |    49.78%    |    0.6931     |      49.39%       |      49.41%      |
|  74   |    49.99%    |    0.6932     |      50.67%       |      50.66%      |
|  75   |    50.17%    |    0.6932     |      50.63%       |      50.66%      |
|  76   |    49.95%    |    0.6930     |      50.62%       |      50.73%      |
|  77   |    50.28%    |    0.6929     |      50.64%       |      50.66%      |
|  78   |    50.12%    |    0.6932     |      50.61%       |      50.66%      |
|  79   |    50.11%    |    0.6933     |      50.64%       |      50.59%      |
|  80   |    49.94%    |    0.6931     |      50.63%       |      50.66%      |
|  81   |    50.15%    |    0.6931     |      49.34%       |      49.34%      |
|  82   |    49.78%    |    0.6932     |      50.64%       |      50.59%      |
|  83   |    50.12%    |    0.6932     |      50.65%       |      50.66%      |
|  84   |    50.12%    |    0.6931     |      50.66%       |      50.66%      |
|  85   |    49.92%    |    0.6931     |      50.62%       |      50.66%      |
|  86   |    50.12%    |    0.6931     |      50.65%       |      50.80%      |
|  87   |    50.08%    |    0.6933     |      50.60%       |      50.52%      |
|  88   |    50.16%    |    0.6932     |      50.68%       |      50.87%      |
|  89   |    50.23%    |    0.6931     |      50.63%       |      50.45%      |
|  90   |    50.25%    |    0.6933     |      50.62%       |      50.52%      |
|  91   |    50.11%    |    0.6933     |      50.68%       |      50.80%      |
|  92   |    50.11%    |    0.6931     |      50.68%       |      50.66%      |
