| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    55.52%    |    0.6462     |      61.30%       |      58.33%      |
|   2   |    60.01%    |    0.6298     |      62.57%       |      61.62%      |
|   3   |    62.65%    |    0.6144     |      63.03%       |      62.72%      |
|   4   |    63.15%    |    0.6344     |      63.50%       |      63.57%      |
|   5   |    63.48%    |    0.6492     |      63.67%       |      63.00%      |
|   6   |    63.75%    |    0.6153     |      63.82%       |      63.62%      |
|   7   |    64.65%    |    0.6314     |      64.46%       |      64.67%      |
|   8   |    65.46%    |    0.6213     |      64.71%       |      65.87%      |
|   9   |    66.20%    |    0.6237     |      64.66%       |      66.15%      |
|  10   |    66.18%    |    0.6239     |      64.48%       |      65.49%      |
|  11   |    66.18%    |    0.6060     |      64.31%       |      65.68%      |
|  12   |    66.23%    |    0.6039     |      64.77%       |      66.53%      |
|  13   |    65.92%    |    0.6287     |      64.61%       |      66.01%      |
|  14   |    66.22%    |    0.6196     |      64.53%       |      65.96%      |
|  15   |    66.15%    |    0.6013     |      64.56%       |      65.75%      |
|  16   |    66.30%    |    0.6085     |      64.69%       |      66.02%      |
|  17   |    66.17%    |    0.5909     |      64.54%       |      66.09%      |
|  18   |    66.11%    |    0.6072     |      64.59%       |      65.64%      |
|  19   |    66.36%    |    0.6177     |      64.58%       |      65.92%      |
|  20   |    66.22%    |    0.6186     |      64.65%       |      65.77%      |
|  21   |    66.39%    |    0.6195     |      64.59%       |      65.11%      |
|  22   |    66.32%    |    0.6081     |      64.77%       |      66.46%      |
|  23   |    66.30%    |    0.6048     |      64.58%       |      66.04%      |
|  24   |    66.27%    |    0.6099     |      64.65%       |      66.02%      |
|  25   |    66.31%    |    0.6265     |      64.66%       |      65.93%      |
|  26   |    66.43%    |    0.6157     |      64.65%       |      66.08%      |
|  27   |    66.44%    |    0.6138     |      64.71%       |      66.44%      |
|  28   |    66.48%    |    0.6208     |      64.67%       |      66.22%      |
|  29   |    66.33%    |    0.5950     |      64.63%       |      66.28%      |
|  30   |    66.55%    |    0.6125     |      64.58%       |      65.88%      |
|  31   |    66.24%    |    0.6077     |      64.65%       |      66.23%      |
|  32   |    66.48%    |    0.6178     |      64.52%       |      65.75%      |
|  33   |    66.31%    |    0.6076     |      64.78%       |      66.03%      |
|  34   |    66.15%    |    0.6138     |      64.66%       |      66.27%      |
|  35   |    66.22%    |    0.6084     |      64.84%       |      66.58%      |
|  36   |    66.36%    |    0.6166     |      64.83%       |      66.38%      |
|  37   |    66.29%    |    0.6220     |      64.61%       |      66.20%      |
|  38   |    66.48%    |    0.6386     |      64.72%       |      66.63%      |
|  39   |    66.33%    |    0.6096     |      64.87%       |      66.29%      |
|  40   |    66.36%    |    0.6140     |      64.62%       |      65.89%      |
|  41   |    66.54%    |    0.6073     |      64.82%       |      66.07%      |
|  42   |    66.19%    |    0.6086     |      64.65%       |      66.33%      |
|  43   |    66.48%    |    0.6112     |      64.63%       |      66.03%      |
|  44   |    66.55%    |    0.6044     |      64.71%       |      66.14%      |
|  45   |    66.44%    |    0.6015     |      64.82%       |      66.30%      |
|  46   |    66.18%    |    0.6171     |      64.82%       |      66.61%      |
|  47   |    66.55%    |    0.6113     |      64.75%       |      66.43%      |
|  48   |    66.41%    |    0.6196     |      64.67%       |      66.04%      |
|  49   |    66.34%    |    0.6216     |      64.73%       |      66.31%      |
|  50   |    66.37%    |    0.6111     |      64.53%       |      65.76%      |
|  51   |    66.33%    |    0.6097     |      64.67%       |      66.25%      |
|  52   |    66.26%    |    0.6008     |      64.65%       |      66.19%      |
|  53   |    66.19%    |    0.6204     |      64.77%       |      66.12%      |
|  54   |    66.42%    |    0.5765     |      64.66%       |      66.26%      |
|  55   |    66.59%    |    0.6319     |      64.73%       |      66.44%      |
|  56   |    66.18%    |    0.6078     |      64.77%       |      66.15%      |
|  57   |    66.36%    |    0.6068     |      64.40%       |      65.36%      |
