| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.05%    |    0.7047     |      50.43%       |      50.22%      |
|   2   |    50.02%    |    0.6862     |      50.34%       |      49.98%      |
|   3   |    49.92%    |    0.6997     |      50.37%       |      50.17%      |
|   4   |    51.60%    |    0.6928     |      50.14%       |      53.75%      |
|   5   |    53.66%    |    0.6963     |      50.10%       |      51.02%      |
|   6   |    50.88%    |    0.6910     |      50.10%       |      51.06%      |
|   7   |    50.88%    |    0.6930     |      49.77%       |      50.57%      |
|   8   |    49.78%    |    0.6963     |      49.14%       |      48.79%      |
|   9   |    48.38%    |    0.6944     |      49.13%       |      47.94%      |
|  10   |    48.26%    |    0.6943     |      49.26%       |      48.87%      |
|  11   |    49.87%    |    0.6939     |      49.77%       |      50.30%      |
|  12   |    50.02%    |    0.6921     |      49.61%       |      50.15%      |
|  13   |    50.23%    |    0.6943     |      50.36%       |      50.19%      |
|  14   |    50.23%    |    0.6921     |      50.34%       |      50.08%      |
|  15   |    50.12%    |    0.6928     |      50.79%       |      50.29%      |
|  16   |    50.22%    |    0.6929     |      50.87%       |      50.05%      |
|  17   |    50.12%    |    0.6943     |      50.69%       |      50.15%      |
|  18   |    50.11%    |    0.6937     |      50.75%       |      50.08%      |
|  19   |    50.05%    |    0.6921     |      50.98%       |      50.22%      |
|  20   |    50.07%    |    0.6942     |      50.80%       |      50.22%      |
|  21   |    50.17%    |    0.6942     |      50.58%       |      50.22%      |
|  22   |    50.04%    |    0.6936     |      51.18%       |      49.95%      |
|  23   |    50.20%    |    0.6948     |      51.38%       |      50.05%      |
|  24   |    50.19%    |    0.6953     |      51.12%       |      50.05%      |
|  25   |    50.31%    |    0.6930     |      50.94%       |      50.19%      |
|  26   |    50.33%    |    0.6924     |      50.31%       |      50.05%      |
|  27   |    50.26%    |    0.6923     |      50.31%       |      50.59%      |
|  28   |    50.93%    |    0.6928     |      50.61%       |      50.73%      |
|  29   |    50.82%    |    0.6929     |      49.41%       |      50.04%      |
|  30   |    50.76%    |    0.6918     |      50.45%       |      50.68%      |
|  31   |    51.35%    |    0.6937     |      49.37%       |      50.80%      |
|  32   |    51.35%    |    0.6936     |      50.95%       |      51.85%      |
|  33   |    52.47%    |    0.6928     |      50.45%       |      52.00%      |
|  34   |    50.80%    |    0.6930     |      50.35%       |      52.20%      |
|  35   |    51.18%    |    0.6932     |      49.73%       |      50.12%      |
|  36   |    50.19%    |    0.6936     |      50.48%       |      49.84%      |
|  37   |    50.18%    |    0.6935     |      49.45%       |      49.91%      |
|  38   |    50.18%    |    0.6933     |      50.28%       |      49.98%      |
|  39   |    50.18%    |    0.6923     |      49.99%       |      49.98%      |
|  40   |    50.18%    |    0.6930     |      49.99%       |      49.98%      |
|  41   |    50.17%    |    0.6929     |      50.02%       |      50.05%      |
|  42   |    50.18%    |    0.6925     |      50.01%       |      50.05%      |
|  43   |    50.18%    |    0.6931     |      50.06%       |      49.98%      |
|  44   |    50.19%    |    0.6935     |      50.06%       |      50.05%      |
|  45   |    50.18%    |    0.6928     |      50.06%       |      49.91%      |
|  46   |    50.18%    |    0.6929     |      50.00%       |      49.98%      |
|  47   |    50.19%    |    0.6929     |      50.04%       |      49.91%      |
|  48   |    50.18%    |    0.6931     |      50.03%       |      49.91%      |
|  49   |    50.18%    |    0.6930     |      50.03%       |      49.91%      |
|  50   |    50.17%    |    0.6935     |      50.03%       |      49.91%      |
|  51   |    50.18%    |    0.6931     |      50.04%       |      49.91%      |
|  52   |    50.17%    |    0.6936     |      50.00%       |      49.91%      |
|  53   |    50.17%    |    0.6931     |      50.00%       |      49.98%      |
|  54   |    50.19%    |    0.6930     |      50.02%       |      50.05%      |
|  55   |    50.18%    |    0.6932     |      50.01%       |      49.98%      |
|  56   |    50.18%    |    0.6929     |      50.07%       |      50.12%      |
|  57   |    50.18%    |    0.6934     |      50.01%       |      49.98%      |
|  58   |    50.17%    |    0.6931     |      50.05%       |      50.12%      |
|  59   |    50.18%    |    0.6931     |      50.02%       |      49.98%      |
|  60   |    50.18%    |    0.6934     |      50.02%       |      50.05%      |
|  61   |    50.18%    |    0.6931     |      50.03%       |      49.91%      |
|  62   |    50.18%    |    0.6934     |      50.05%       |      50.12%      |
|  63   |    50.18%    |    0.6932     |      50.03%       |      49.77%      |
|  64   |    50.18%    |    0.6932     |      49.26%       |      49.98%      |
|  65   |    50.18%    |    0.6933     |      50.08%       |      49.91%      |
|  66   |    50.18%    |    0.6931     |      50.05%       |      50.05%      |
|  67   |    50.19%    |    0.6931     |      50.09%       |      50.05%      |
|  68   |    49.99%    |    0.6931     |      50.08%       |      49.93%      |
|  69   |    49.92%    |    0.6930     |      50.15%       |      50.28%      |
