| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.30%    |    0.6934     |      50.75%       |      50.29%      |
|   2   |    50.31%    |    0.6967     |      50.42%       |      50.49%      |
|   3   |    51.15%    |    0.6942     |      50.80%       |      53.18%      |
|   4   |    53.65%    |    0.6964     |      50.73%       |      51.95%      |
|   5   |    51.61%    |    0.6963     |      50.16%       |      49.81%      |
|   6   |    48.95%    |    0.6932     |      49.65%       |      47.03%      |
|   7   |    48.01%    |    0.6935     |      50.11%       |      47.51%      |
|   8   |    48.25%    |    0.6931     |      49.37%       |      49.71%      |
|   9   |    49.51%    |    0.6961     |      49.58%       |      49.49%      |
|  10   |    49.78%    |    0.6932     |      49.45%       |      49.77%      |
|  11   |    49.81%    |    0.6937     |      49.79%       |      49.91%      |
|  12   |    49.91%    |    0.6936     |      50.45%       |      49.84%      |
|  13   |    49.95%    |    0.6941     |      50.41%       |      49.77%      |
|  14   |    49.92%    |    0.6918     |      50.39%       |      49.88%      |
|  15   |    49.96%    |    0.6945     |      50.51%       |      50.07%      |
|  16   |    50.03%    |    0.6946     |      49.76%       |      50.54%      |
|  17   |    50.75%    |    0.6919     |      50.21%       |      51.08%      |
|  18   |    50.80%    |    0.6929     |      51.18%       |      51.36%      |
|  19   |    51.36%    |    0.6932     |      50.80%       |      52.99%      |
|  20   |    51.18%    |    0.6921     |      50.10%       |      50.67%      |
|  21   |    50.06%    |    0.6920     |      50.22%       |      50.53%      |
|  22   |    49.95%    |    0.6939     |      50.12%       |      50.53%      |
|  23   |    49.95%    |    0.6930     |      50.56%       |      50.60%      |
|  24   |    49.96%    |    0.6933     |      50.55%       |      50.60%      |
|  25   |    49.96%    |    0.6936     |      50.60%       |      50.81%      |
|  26   |    49.96%    |    0.6926     |      50.60%       |      50.74%      |
|  27   |    49.95%    |    0.6932     |      50.54%       |      50.67%      |
|  28   |    49.96%    |    0.6929     |      50.62%       |      50.67%      |
|  29   |    49.96%    |    0.6931     |      50.57%       |      50.74%      |
|  30   |    49.97%    |    0.6928     |      50.59%       |      50.67%      |
|  31   |    49.95%    |    0.6926     |      50.52%       |      50.67%      |
|  32   |    49.97%    |    0.6933     |      50.55%       |      50.53%      |
|  33   |    49.97%    |    0.6928     |      50.61%       |      50.74%      |
|  34   |    50.13%    |    0.6929     |      50.49%       |      50.44%      |
|  35   |    50.31%    |    0.6930     |      50.48%       |      50.15%      |
|  36   |    50.31%    |    0.6937     |      50.55%       |      50.29%      |
|  37   |    50.32%    |    0.6928     |      50.49%       |      50.44%      |
|  38   |    50.30%    |    0.6924     |      50.51%       |      50.22%      |
|  39   |    50.32%    |    0.6931     |      50.53%       |      50.37%      |
|  40   |    50.32%    |    0.6929     |      50.52%       |      50.44%      |
|  41   |    50.31%    |    0.6934     |      50.51%       |      50.22%      |
|  42   |    50.32%    |    0.6931     |      50.56%       |      50.51%      |
|  43   |    50.31%    |    0.6929     |      50.50%       |      50.37%      |
|  44   |    50.31%    |    0.6933     |      50.55%       |      50.22%      |
|  45   |    50.32%    |    0.6930     |      50.52%       |      50.22%      |
|  46   |    50.32%    |    0.6929     |      50.53%       |      50.51%      |
|  47   |    50.30%    |    0.6932     |      50.53%       |      50.37%      |
|  48   |    50.31%    |    0.6933     |      50.56%       |      50.51%      |
|  49   |    50.32%    |    0.6936     |      50.56%       |      50.29%      |
|  50   |    50.32%    |    0.6936     |      50.56%       |      50.22%      |
|  51   |    50.30%    |    0.6932     |      50.48%       |      50.58%      |
|  52   |    50.32%    |    0.6928     |      50.58%       |      50.37%      |
|  53   |    50.30%    |    0.6930     |      50.55%       |      50.22%      |
|  54   |    50.30%    |    0.6937     |      50.55%       |      50.37%      |
|  55   |    50.31%    |    0.6932     |      50.55%       |      50.37%      |
|  56   |    50.30%    |    0.6929     |      50.58%       |      50.44%      |
|  57   |    50.31%    |    0.6925     |      50.54%       |      50.29%      |
