| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    52.99%    |    0.6815     |      57.32%       |      53.39%      |
|   2   |    53.59%    |    0.6728     |      59.26%       |      53.96%      |
|   3   |    53.87%    |    0.6646     |      59.29%       |      53.43%      |
|   4   |    54.01%    |    0.6621     |      59.20%       |      53.35%      |
|   5   |    54.07%    |    0.6723     |      59.62%       |      53.95%      |
|   6   |    53.94%    |    0.6804     |      59.37%       |      53.94%      |
|   7   |    53.85%    |    0.6652     |      60.29%       |      55.46%      |
|   8   |    54.03%    |    0.6597     |      60.36%       |      56.96%      |
|   9   |    53.98%    |    0.6676     |      59.84%       |      54.84%      |
|  10   |    53.92%    |    0.6753     |      59.13%       |      54.70%      |
|  11   |    53.98%    |    0.6548     |      59.56%       |      54.34%      |
|  12   |    53.87%    |    0.6884     |      59.25%       |      54.41%      |
|  13   |    53.90%    |    0.6642     |      59.13%       |      53.26%      |
|  14   |    53.76%    |    0.6759     |      59.67%       |      54.98%      |
|  15   |    54.03%    |    0.6620     |      59.80%       |      54.35%      |
|  16   |    54.14%    |    0.6537     |      59.94%       |      55.04%      |
|  17   |    54.07%    |    0.6652     |      58.51%       |      53.09%      |
|  18   |    53.82%    |    0.6641     |      59.68%       |      54.36%      |
|  19   |    54.00%    |    0.6755     |      58.76%       |      52.32%      |
|  20   |    54.21%    |    0.6634     |      58.62%       |      52.39%      |
|  21   |    54.07%    |    0.6665     |      59.90%       |      53.95%      |
|  22   |    53.92%    |    0.6788     |      58.98%       |      53.43%      |
|  23   |    53.94%    |    0.6664     |      59.59%       |      53.38%      |
|  24   |    54.09%    |    0.6592     |      59.20%       |      52.52%      |
|  25   |    54.09%    |    0.6830     |      59.61%       |      53.80%      |
|  26   |    53.81%    |    0.6627     |      59.45%       |      53.29%      |
|  27   |    53.92%    |    0.6846     |      59.61%       |      54.41%      |
|  28   |    53.80%    |    0.6786     |      59.92%       |      54.53%      |
|  29   |    53.78%    |    0.6658     |      58.80%       |      52.96%      |
|  30   |    53.92%    |    0.6632     |      59.28%       |      53.16%      |
|  31   |    54.06%    |    0.6808     |      59.12%       |      52.79%      |
|  32   |    53.86%    |    0.6609     |      59.14%       |      52.77%      |
|  33   |    54.02%    |    0.6798     |      59.21%       |      53.36%      |
|  34   |    53.76%    |    0.6781     |      59.26%       |      53.11%      |
|  35   |    53.81%    |    0.6663     |      59.25%       |      53.32%      |
|  36   |    53.87%    |    0.6686     |      59.78%       |      54.84%      |
|  37   |    53.90%    |    0.6754     |      59.01%       |      53.02%      |
|  38   |    53.87%    |    0.6813     |      59.20%       |      54.18%      |
|  39   |    53.63%    |    0.6687     |      59.65%       |      54.58%      |
|  40   |    54.02%    |    0.6768     |      59.25%       |      53.04%      |
|  41   |    54.03%    |    0.6727     |      59.42%       |      53.68%      |
|  42   |    53.70%    |    0.6676     |      58.96%       |      53.90%      |
|  43   |    53.94%    |    0.6533     |      59.87%       |      54.16%      |
|  44   |    54.12%    |    0.6678     |      58.56%       |      53.75%      |
|  45   |    53.71%    |    0.6697     |      60.26%       |      55.15%      |
|  46   |    54.05%    |    0.6794     |      59.11%       |      53.67%      |
|  47   |    53.81%    |    0.6630     |      58.46%       |      52.85%      |
|  48   |    53.93%    |    0.6527     |      58.98%       |      54.55%      |
|  49   |    53.87%    |    0.6601     |      60.32%       |      55.74%      |
|  50   |    53.92%    |    0.6863     |      59.70%       |      54.09%      |
|  51   |    53.92%    |    0.6612     |      59.05%       |      52.68%      |
|  52   |    53.76%    |    0.6712     |      59.93%       |      54.52%      |
|  53   |    53.90%    |    0.6655     |      59.72%       |      54.40%      |
|  54   |    53.69%    |    0.6683     |      59.40%       |      53.30%      |
|  55   |    53.82%    |    0.6705     |      58.90%       |      53.05%      |
|  56   |    53.84%    |    0.6736     |      59.29%       |      52.91%      |
|  57   |    53.80%    |    0.6704     |      59.49%       |      54.07%      |
|  58   |    53.80%    |    0.6703     |      59.07%       |      53.35%      |
|  59   |    53.98%    |    0.6808     |      59.04%       |      53.25%      |
|  60   |    53.97%    |    0.6796     |      59.40%       |      52.92%      |
|  61   |    53.76%    |    0.6622     |      59.48%       |      53.76%      |
|  62   |    53.96%    |    0.6661     |      59.14%       |      53.45%      |
|  63   |    54.14%    |    0.6696     |      59.76%       |      54.65%      |
|  64   |    53.70%    |    0.6636     |      59.61%       |      54.68%      |
|  65   |    53.97%    |    0.6818     |      58.92%       |      53.34%      |
|  66   |    54.04%    |    0.6688     |      58.57%       |      53.07%      |
|  67   |    53.95%    |    0.6635     |      58.33%       |      52.73%      |
|  68   |    53.82%    |    0.6752     |      59.64%       |      53.72%      |
|  69   |    53.64%    |    0.6659     |      59.22%       |      53.61%      |
|  70   |    54.01%    |    0.6726     |      59.64%       |      54.04%      |
|  71   |    54.01%    |    0.6791     |      59.75%       |      53.73%      |
|  72   |    53.88%    |    0.6646     |      59.13%       |      53.90%      |
|  73   |    53.86%    |    0.6593     |      59.21%       |      53.59%      |
|  74   |    53.85%    |    0.6569     |      59.11%       |      53.34%      |
|  75   |    53.93%    |    0.6745     |      59.47%       |      53.54%      |
|  76   |    53.77%    |    0.6708     |      58.92%       |      53.07%      |
|  77   |    53.99%    |    0.6792     |      60.21%       |      55.68%      |
|  78   |    53.78%    |    0.6677     |      58.91%       |      52.77%      |
|  79   |    53.97%    |    0.6751     |      59.94%       |      54.37%      |
|  80   |    53.74%    |    0.6629     |      59.33%       |      53.07%      |
|  81   |    53.75%    |    0.6802     |      59.73%       |      53.76%      |
|  82   |    53.71%    |    0.6818     |      59.05%       |      53.27%      |
|  83   |    53.80%    |    0.6631     |      59.01%       |      53.09%      |
|  84   |    53.73%    |    0.6746     |      59.30%       |      53.84%      |
|  85   |    53.88%    |    0.6804     |      58.88%       |      53.18%      |
|  86   |    53.88%    |    0.6678     |      58.89%       |      52.72%      |
|  87   |    53.82%    |    0.6688     |      59.22%       |      53.89%      |
|  88   |    53.93%    |    0.6998     |      59.45%       |      53.84%      |
|  89   |    53.79%    |    0.6713     |      59.50%       |      54.83%      |
|  90   |    53.75%    |    0.6681     |      59.71%       |      54.74%      |
