| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.43%    |    0.6930     |      49.73%       |      49.57%      |
|   2   |    50.09%    |    0.6930     |      49.74%       |      49.64%      |
|   3   |    50.02%    |    0.6926     |      49.73%       |      49.57%      |
|   4   |    49.99%    |    0.6933     |      50.33%       |      50.50%      |
|   5   |    50.15%    |    0.6938     |      49.75%       |      49.57%      |
|   6   |    49.67%    |    0.6932     |      49.77%       |      49.64%      |
|   7   |    50.05%    |    0.6931     |      50.28%       |      50.50%      |
|   8   |    50.25%    |    0.6933     |      50.23%       |      50.36%      |
|   9   |    49.84%    |    0.6924     |      49.68%       |      49.43%      |
|  10   |    50.25%    |    0.6929     |      49.79%       |      49.64%      |
|  11   |    50.06%    |    0.6931     |      50.31%       |      50.50%      |
|  12   |    49.77%    |    0.6927     |      49.74%       |      49.57%      |
|  13   |    50.16%    |    0.6928     |      49.70%       |      49.50%      |
|  14   |    50.23%    |    0.6948     |      49.78%       |      49.64%      |
|  15   |    50.07%    |    0.6934     |      50.37%       |      50.64%      |
|  16   |    50.32%    |    0.6929     |      49.69%       |      49.43%      |
|  17   |    50.08%    |    0.6930     |      49.73%       |      49.50%      |
|  18   |    49.93%    |    0.6922     |      49.74%       |      49.57%      |
|  19   |    50.38%    |    0.6935     |      50.31%       |      50.43%      |
|  20   |    50.09%    |    0.6944     |      50.30%       |      50.21%      |
|  21   |    50.04%    |    0.6940     |      49.66%       |      49.43%      |
|  22   |    50.35%    |    0.6933     |      50.25%       |      50.28%      |
|  23   |    50.28%    |    0.6931     |      49.79%       |      49.50%      |
|  24   |    49.58%    |    0.6925     |      49.72%       |      49.64%      |
|  25   |    50.27%    |    0.6935     |      49.69%       |      49.50%      |
|  26   |    50.07%    |    0.6928     |      49.70%       |      49.43%      |
|  27   |    49.88%    |    0.6935     |      50.26%       |      50.28%      |
|  28   |    50.03%    |    0.6929     |      49.77%       |      49.64%      |
|  29   |    49.97%    |    0.6935     |      50.25%       |      50.50%      |
|  30   |    50.27%    |    0.6929     |      49.72%       |      49.43%      |
|  31   |    49.55%    |    0.6936     |      49.70%       |      49.50%      |
|  32   |    49.89%    |    0.6890     |      49.74%       |      49.79%      |
|  33   |    50.17%    |    0.6939     |      49.73%       |      49.64%      |
|  34   |    50.23%    |    0.6930     |      50.26%       |      50.57%      |
|  35   |    49.77%    |    0.6926     |      49.71%       |      49.50%      |
|  36   |    50.17%    |    0.6932     |      50.28%       |      50.28%      |
|  37   |    50.12%    |    0.6935     |      49.75%       |      49.57%      |
|  38   |    49.88%    |    0.6943     |      49.71%       |      49.64%      |
|  39   |    49.96%    |    0.6927     |      49.74%       |      49.57%      |
|  40   |    49.92%    |    0.6937     |      49.75%       |      49.64%      |
|  41   |    50.22%    |    0.6932     |      50.30%       |      50.28%      |
|  42   |    49.98%    |    0.6934     |      49.77%       |      49.64%      |
|  43   |    50.07%    |    0.6929     |      50.29%       |      50.21%      |
|  44   |    50.16%    |    0.6934     |      49.71%       |      49.43%      |
|  45   |    49.85%    |    0.6930     |      49.68%       |      49.57%      |
|  46   |    49.85%    |    0.6931     |      50.32%       |      50.57%      |
|  47   |    49.93%    |    0.6934     |      49.70%       |      49.36%      |
|  48   |    49.95%    |    0.6929     |      49.73%       |      49.57%      |
|  49   |    50.02%    |    0.6932     |      50.30%       |      50.36%      |
|  50   |    50.25%    |    0.6931     |      50.31%       |      50.36%      |
|  51   |    49.90%    |    0.6935     |      49.67%       |      49.43%      |
|  52   |    49.68%    |    0.6936     |      49.74%       |      49.57%      |
|  53   |    49.85%    |    0.6947     |      50.35%       |      50.43%      |
|  54   |    50.05%    |    0.6942     |      50.29%       |      50.43%      |
|  55   |    49.99%    |    0.6946     |      49.67%       |      49.43%      |
|  56   |    50.09%    |    0.6931     |      50.27%       |      50.28%      |
|  57   |    50.10%    |    0.6931     |      49.74%       |      49.72%      |
|  58   |    50.14%    |    0.6935     |      49.71%       |      49.50%      |
