| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.77%    |    0.6930     |      51.02%       |      51.05%      |
|   2   |    50.47%    |    0.6923     |      51.01%       |      51.05%      |
|   3   |    49.89%    |    0.6947     |      51.00%       |      51.19%      |
|   4   |    49.94%    |    0.6939     |      50.99%       |      51.12%      |
|   5   |    50.42%    |    0.6944     |      50.95%       |      50.97%      |
|   6   |    50.46%    |    0.6923     |      51.01%       |      51.12%      |
|   7   |    49.78%    |    0.6930     |      50.77%       |      50.87%      |
|   8   |    50.28%    |    0.6926     |      50.97%       |      51.05%      |
|   9   |    50.02%    |    0.6931     |      49.05%       |      48.81%      |
|  10   |    49.89%    |    0.6930     |      49.02%       |      49.03%      |
|  11   |    50.01%    |    0.6927     |      50.97%       |      50.90%      |
|  12   |    50.20%    |    0.6929     |      49.00%       |      48.95%      |
|  13   |    49.76%    |    0.6914     |      51.02%       |      51.19%      |
|  14   |    49.93%    |    0.6927     |      50.94%       |      51.12%      |
|  15   |    50.08%    |    0.6939     |      51.00%       |      51.26%      |
|  16   |    50.01%    |    0.6926     |      49.02%       |      48.95%      |
|  17   |    50.03%    |    0.6931     |      50.99%       |      51.12%      |
|  18   |    50.24%    |    0.6932     |      49.05%       |      48.88%      |
|  19   |    49.84%    |    0.6931     |      50.54%       |      50.73%      |
|  20   |    49.90%    |    0.6942     |      50.95%       |      51.05%      |
|  21   |    50.02%    |    0.6951     |      50.97%       |      50.90%      |
|  22   |    50.55%    |    0.6932     |      51.00%       |      51.05%      |
|  23   |    49.77%    |    0.6931     |      49.04%       |      48.88%      |
|  24   |    50.11%    |    0.6929     |      50.97%       |      51.26%      |
|  25   |    50.43%    |    0.6932     |      51.02%       |      51.12%      |
|  26   |    50.65%    |    0.6927     |      50.95%       |      50.90%      |
|  27   |    50.28%    |    0.6935     |      50.90%       |      51.05%      |
|  28   |    50.29%    |    0.6929     |      49.00%       |      48.95%      |
|  29   |    50.00%    |    0.6934     |      50.97%       |      50.90%      |
|  30   |    50.39%    |    0.6914     |      50.96%       |      51.19%      |
|  31   |    49.77%    |    0.6919     |      50.94%       |      50.83%      |
|  32   |    50.13%    |    0.6915     |      51.02%       |      51.26%      |
|  33   |    50.21%    |    0.6933     |      50.98%       |      51.05%      |
|  34   |    50.05%    |    0.6949     |      51.00%       |      51.12%      |
|  35   |    50.18%    |    0.6931     |      49.03%       |      48.88%      |
|  36   |    49.98%    |    0.6935     |      50.99%       |      51.05%      |
|  37   |    49.99%    |    0.6931     |      51.01%       |      50.97%      |
|  38   |    49.65%    |    0.6935     |      50.99%       |      51.05%      |
|  39   |    50.91%    |    0.6925     |      50.87%       |      51.12%      |
|  40   |    50.12%    |    0.6936     |      50.98%       |      51.05%      |
|  41   |    50.08%    |    0.6932     |      50.95%       |      50.76%      |
|  42   |    50.07%    |    0.6936     |      49.03%       |      49.03%      |
|  43   |    50.22%    |    0.6941     |      51.07%       |      51.12%      |
|  44   |    50.26%    |    0.6937     |      50.46%       |      51.26%      |
|  45   |    49.74%    |    0.6913     |      51.02%       |      51.05%      |
|  46   |    50.25%    |    0.6928     |      50.95%       |      50.97%      |
|  47   |    49.85%    |    0.6946     |      49.04%       |      48.95%      |
|  48   |    49.80%    |    0.6931     |      49.04%       |      49.17%      |
|  49   |    50.22%    |    0.6925     |      50.97%       |      51.12%      |
|  50   |    49.99%    |    0.6932     |      51.02%       |      51.05%      |
|  51   |    49.98%    |    0.6936     |      49.05%       |      48.88%      |
|  52   |    49.76%    |    0.6925     |      51.00%       |      50.97%      |
|  53   |    49.97%    |    0.6950     |      50.99%       |      51.19%      |
|  54   |    50.11%    |    0.6929     |      50.94%       |      50.83%      |
|  55   |    49.86%    |    0.6931     |      49.02%       |      48.88%      |
|  56   |    50.08%    |    0.6928     |      50.97%       |      51.05%      |
|  57   |    49.56%    |    0.6936     |      51.05%       |      51.26%      |
|  58   |    49.79%    |    0.6937     |      50.97%       |      51.05%      |
|  59   |    50.12%    |    0.6931     |      50.98%       |      51.19%      |
|  60   |    50.01%    |    0.6933     |      50.95%       |      50.97%      |
|  61   |    49.94%    |    0.6930     |      50.97%       |      50.97%      |
|  62   |    50.37%    |    0.6930     |      50.98%       |      51.05%      |
|  63   |    49.92%    |    0.6932     |      50.13%       |      49.03%      |
|  64   |    50.19%    |    0.6935     |      49.05%       |      48.88%      |
|  65   |    50.18%    |    0.6931     |      50.95%       |      51.12%      |
|  66   |    50.02%    |    0.6929     |      51.00%       |      51.33%      |
|  67   |    50.42%    |    0.6935     |      49.03%       |      49.03%      |
|  68   |    49.89%    |    0.6931     |      49.00%       |      49.17%      |
|  69   |    49.83%    |    0.6932     |      51.00%       |      50.97%      |
|  70   |    49.99%    |    0.6937     |      50.97%       |      50.97%      |
|  71   |    50.07%    |    0.6931     |      49.02%       |      49.10%      |
|  72   |    49.95%    |    0.6936     |      50.93%       |      51.05%      |
|  73   |    49.79%    |    0.6928     |      51.00%       |      51.05%      |
|  74   |    49.87%    |    0.6940     |      49.05%       |      48.95%      |
|  75   |    50.31%    |    0.6930     |      49.00%       |      48.88%      |
|  76   |    50.07%    |    0.6928     |      48.99%       |      48.95%      |
|  77   |    49.81%    |    0.6928     |      49.05%       |      48.88%      |
|  78   |    49.87%    |    0.6946     |      51.00%       |      51.19%      |
|  79   |    50.37%    |    0.6936     |      50.95%       |      51.05%      |
|  80   |    49.91%    |    0.6931     |      49.04%       |      49.03%      |
|  81   |    50.58%    |    0.6924     |      50.99%       |      51.05%      |
|  82   |    50.29%    |    0.6932     |      50.98%       |      51.05%      |
|  83   |    49.64%    |    0.6931     |      51.04%       |      51.26%      |
|  84   |    50.06%    |    0.6930     |      49.07%       |      49.03%      |
|  85   |    49.89%    |    0.6931     |      51.00%       |      51.12%      |
|  86   |    50.26%    |    0.6933     |      49.03%       |      49.10%      |
|  87   |    49.98%    |    0.6942     |      48.93%       |      49.03%      |
|  88   |    49.83%    |    0.6923     |      49.03%       |      48.95%      |
|  89   |    49.79%    |    0.6932     |      51.02%       |      50.97%      |
|  90   |    49.90%    |    0.6928     |      50.99%       |      50.97%      |
|  91   |    50.21%    |    0.6928     |      48.95%       |      48.81%      |
|  92   |    50.20%    |    0.6932     |      48.98%       |      48.88%      |
|  93   |    50.14%    |    0.6933     |      51.01%       |      51.12%      |
|  94   |    49.60%    |    0.6949     |      51.00%       |      50.97%      |
|  95   |    49.90%    |    0.6929     |      50.96%       |      51.19%      |
|  96   |    50.14%    |    0.6931     |      49.03%       |      48.95%      |
|  97   |    49.43%    |    0.6944     |      50.99%       |      51.05%      |
|  98   |    49.64%    |    0.6932     |      50.97%       |      51.05%      |
|  99   |    50.10%    |    0.6936     |      48.96%       |      48.95%      |
|  100  |    50.23%    |    0.6932     |      50.97%       |      51.05%      |
|  101  |    49.76%    |    0.6937     |      50.48%       |      50.97%      |
|  102  |    49.86%    |    0.6923     |      50.95%       |      51.12%      |
|  103  |    49.80%    |    0.6931     |      49.02%       |      49.03%      |
|  104  |    50.03%    |    0.6931     |      50.95%       |      51.12%      |
|  105  |    50.22%    |    0.6926     |      49.03%       |      48.74%      |
|  106  |    49.81%    |    0.6932     |      48.98%       |      48.88%      |
|  107  |    49.94%    |    0.6929     |      50.97%       |      51.05%      |
|  108  |    50.33%    |    0.6942     |      48.99%       |      48.95%      |
|  109  |    50.10%    |    0.6938     |      50.58%       |      48.95%      |
|  110  |    49.98%    |    0.6934     |      50.98%       |      51.05%      |
|  111  |    50.06%    |    0.6935     |      50.81%       |      50.87%      |
|  112  |    50.03%    |    0.6935     |      49.05%       |      48.95%      |
|  113  |    49.92%    |    0.6932     |      50.98%       |      51.05%      |
|  114  |    50.09%    |    0.6936     |      50.97%       |      51.12%      |
|  115  |    50.18%    |    0.6933     |      51.00%       |      50.97%      |
|  116  |    50.30%    |    0.6923     |      50.92%       |      50.83%      |
|  117  |    49.70%    |    0.6939     |      50.98%       |      50.97%      |
|  118  |    49.83%    |    0.6940     |      49.03%       |      49.03%      |
|  119  |    50.11%    |    0.6929     |      51.00%       |      50.97%      |
|  120  |    49.94%    |    0.6932     |      49.06%       |      49.10%      |
|  121  |    49.72%    |    0.6931     |      50.97%       |      51.19%      |
|  122  |    49.74%    |    0.6925     |      48.97%       |      49.03%      |
|  123  |    50.30%    |    0.6933     |      50.97%       |      51.05%      |
|  124  |    49.88%    |    0.6939     |      48.99%       |      49.03%      |
|  125  |    50.31%    |    0.6948     |      49.07%       |      48.95%      |
|  126  |    50.03%    |    0.6921     |      49.04%       |      48.88%      |
|  127  |    49.83%    |    0.6924     |      51.00%       |      51.12%      |
|  128  |    49.94%    |    0.6920     |      51.00%       |      51.19%      |
|  129  |    49.93%    |    0.6929     |      50.95%       |      51.05%      |
|  130  |    49.93%    |    0.6938     |      51.05%       |      51.19%      |
|  131  |    50.18%    |    0.6935     |      49.03%       |      48.95%      |
|  132  |    49.88%    |    0.6926     |      49.03%       |      48.81%      |
|  133  |    50.21%    |    0.6934     |      50.97%       |      51.12%      |
|  134  |    50.23%    |    0.6934     |      51.03%       |      51.12%      |
|  135  |    50.31%    |    0.6926     |      51.00%       |      51.19%      |
|  136  |    50.57%    |    0.6935     |      49.03%       |      48.81%      |
|  137  |    50.27%    |    0.6932     |      50.97%       |      50.97%      |
|  138  |    49.74%    |    0.6933     |      49.00%       |      49.10%      |
|  139  |    50.11%    |    0.6927     |      50.96%       |      51.05%      |
|  140  |    50.11%    |    0.6911     |      50.93%       |      50.97%      |
|  141  |    50.28%    |    0.6926     |      49.03%       |      48.95%      |
|  142  |    50.12%    |    0.6926     |      50.94%       |      51.05%      |
|  143  |    50.22%    |    0.6927     |      51.03%       |      51.26%      |
|  144  |    49.82%    |    0.6930     |      49.03%       |      48.95%      |
|  145  |    50.05%    |    0.6920     |      50.95%       |      51.05%      |
|  146  |    49.68%    |    0.6942     |      49.01%       |      48.95%      |
|  147  |    49.44%    |    0.6948     |      49.01%       |      48.74%      |
|  148  |    50.24%    |    0.6931     |      51.05%       |      51.19%      |
|  149  |    50.17%    |    0.6936     |      50.97%       |      51.19%      |
|  150  |    50.15%    |    0.6936     |      48.99%       |      49.03%      |
|  151  |    50.08%    |    0.6926     |      49.03%       |      48.88%      |
|  152  |    50.00%    |    0.6911     |      50.95%       |      51.05%      |
|  153  |    49.93%    |    0.6937     |      50.97%       |      50.90%      |
|  154  |    50.13%    |    0.6950     |      51.02%       |      51.05%      |
|  155  |    49.98%    |    0.6931     |      49.04%       |      48.88%      |
|  156  |    49.62%    |    0.6935     |      50.99%       |      51.12%      |
|  157  |    50.24%    |    0.6929     |      49.05%       |      48.88%      |
|  158  |    50.29%    |    0.6946     |      50.99%       |      50.97%      |
|  159  |    50.32%    |    0.6931     |      49.91%       |      50.80%      |
|  160  |    49.74%    |    0.6931     |      50.97%       |      50.97%      |
|  161  |    49.77%    |    0.6928     |      51.03%       |      50.97%      |
|  162  |    49.76%    |    0.6929     |      51.02%       |      51.05%      |
|  163  |    50.23%    |    0.6905     |      50.90%       |      50.90%      |
|  164  |    50.16%    |    0.6956     |      51.02%       |      51.05%      |
|  165  |    49.88%    |    0.6944     |      50.99%       |      50.97%      |
|  166  |    49.47%    |    0.6936     |      51.00%       |      51.12%      |
|  167  |    49.67%    |    0.6934     |      49.03%       |      49.03%      |
|  168  |    49.67%    |    0.6931     |      51.00%       |      51.12%      |
|  169  |    50.17%    |    0.6930     |      50.96%       |      51.19%      |
|  170  |    49.88%    |    0.6927     |      50.95%       |      51.12%      |
|  171  |    50.28%    |    0.6927     |      49.06%       |      49.03%      |
|  172  |    49.89%    |    0.6926     |      48.95%       |      48.95%      |
|  173  |    49.97%    |    0.6932     |      51.02%       |      51.05%      |
|  174  |    50.13%    |    0.6941     |      50.97%       |      51.05%      |
|  175  |    49.97%    |    0.6934     |      50.99%       |      50.90%      |
|  176  |    49.84%    |    0.6931     |      49.38%       |      49.20%      |
|  177  |    50.06%    |    0.6907     |      51.01%       |      51.05%      |
|  178  |    50.24%    |    0.6930     |      49.01%       |      49.03%      |
|  179  |    49.45%    |    0.6930     |      51.00%       |      50.97%      |
|  180  |    49.97%    |    0.6930     |      50.86%       |      51.12%      |
|  181  |    50.19%    |    0.6929     |      50.99%       |      50.97%      |
|  182  |    49.37%    |    0.6925     |      50.97%       |      50.97%      |
|  183  |    50.41%    |    0.6930     |      51.05%       |      51.12%      |
|  184  |    50.30%    |    0.6935     |      50.32%       |      48.88%      |
|  185  |    50.07%    |    0.6934     |      49.01%       |      48.81%      |
|  186  |    49.96%    |    0.6937     |      50.95%       |      51.05%      |
|  187  |    50.69%    |    0.6934     |      49.01%       |      48.81%      |
|  188  |    49.84%    |    0.6933     |      49.05%       |      49.10%      |
|  189  |    49.83%    |    0.6933     |      50.95%       |      51.12%      |
|  190  |    50.09%    |    0.6932     |      50.98%       |      51.12%      |
|  191  |    49.49%    |    0.6943     |      51.01%       |      50.97%      |
|  192  |    49.82%    |    0.6939     |      49.84%       |      48.81%      |
|  193  |    49.98%    |    0.6936     |      48.99%       |      49.03%      |
|  194  |    49.64%    |    0.6927     |      51.02%       |      51.12%      |
|  195  |    50.03%    |    0.6948     |      50.95%       |      50.90%      |
|  196  |    50.19%    |    0.6934     |      50.97%       |      50.90%      |
|  197  |    50.19%    |    0.6921     |      49.02%       |      48.81%      |
|  198  |    50.18%    |    0.6940     |      50.92%       |      50.97%      |
|  199  |    50.02%    |    0.6931     |      49.21%       |      48.81%      |
|  200  |    50.01%    |    0.6924     |      50.95%       |      51.12%      |
