| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.44%    |    0.6913     |      50.20%       |      50.27%      |
|   2   |    50.21%    |    0.6920     |      49.89%       |      50.01%      |
|   3   |    50.09%    |    0.6932     |      50.15%       |      50.06%      |
|   4   |    50.55%    |    0.6928     |      50.10%       |      50.06%      |
|   5   |    50.55%    |    0.6934     |      49.94%       |      49.87%      |
|   6   |    50.08%    |    0.6921     |      50.12%       |      49.92%      |
|   7   |    50.53%    |    0.6917     |      50.11%       |      50.06%      |
|   8   |    50.48%    |    0.6925     |      50.09%       |      50.13%      |
|   9   |    50.69%    |    0.6929     |      50.08%       |      50.06%      |
|  10   |    50.30%    |    0.6932     |      50.10%       |      49.99%      |
|  11   |    50.27%    |    0.6935     |      50.10%       |      50.06%      |
|  12   |    50.08%    |    0.6940     |      50.14%       |      50.06%      |
|  13   |    50.28%    |    0.6932     |      49.92%       |      50.15%      |
|  14   |    49.99%    |    0.6934     |      49.92%       |      49.80%      |
|  15   |    50.12%    |    0.6933     |      50.17%       |      49.99%      |
|  16   |    49.98%    |    0.6911     |      50.15%       |      50.13%      |
|  17   |    50.35%    |    0.6933     |      50.14%       |      50.20%      |
|  18   |    50.51%    |    0.6923     |      50.11%       |      50.06%      |
|  19   |    50.30%    |    0.6931     |      50.17%       |      50.20%      |
|  20   |    50.36%    |    0.6928     |      50.10%       |      50.13%      |
|  21   |    50.46%    |    0.6932     |      50.12%       |      50.13%      |
|  22   |    50.51%    |    0.6938     |      50.10%       |      49.85%      |
|  23   |    50.36%    |    0.6934     |      49.88%       |      49.87%      |
|  24   |    50.20%    |    0.6913     |      50.12%       |      50.13%      |
|  25   |    50.42%    |    0.6932     |      49.94%       |      50.08%      |
|  26   |    50.41%    |    0.6938     |      50.12%       |      49.85%      |
|  27   |    49.93%    |    0.6931     |      49.88%       |      50.08%      |
|  28   |    50.06%    |    0.6926     |      50.11%       |      50.06%      |
|  29   |    50.31%    |    0.6924     |      50.11%       |      49.92%      |
|  30   |    50.22%    |    0.6925     |      50.11%       |      49.99%      |
|  31   |    49.99%    |    0.6927     |      50.10%       |      49.92%      |
|  32   |    50.43%    |    0.6923     |      50.09%       |      49.99%      |
|  33   |    50.50%    |    0.6926     |      50.12%       |      50.06%      |
|  34   |    50.63%    |    0.6941     |      50.12%       |      50.06%      |
|  35   |    50.67%    |    0.6933     |      50.15%       |      50.13%      |
|  36   |    50.65%    |    0.6933     |      49.90%       |      49.87%      |
|  37   |    50.28%    |    0.6928     |      50.12%       |      50.13%      |
|  38   |    50.20%    |    0.6929     |      50.12%       |      49.99%      |
|  39   |    50.39%    |    0.6933     |      50.11%       |      49.99%      |
|  40   |    50.43%    |    0.6929     |      50.15%       |      50.13%      |
|  41   |    50.56%    |    0.6933     |      50.11%       |      50.06%      |
|  42   |    50.01%    |    0.6933     |      50.07%       |      50.06%      |
|  43   |    50.37%    |    0.6929     |      50.09%       |      49.99%      |
|  44   |    50.32%    |    0.6930     |      50.07%       |      49.99%      |
|  45   |    50.34%    |    0.6929     |      50.12%       |      49.99%      |
|  46   |    50.07%    |    0.6923     |      50.10%       |      50.06%      |
|  47   |    49.96%    |    0.6931     |      50.12%       |      50.13%      |
|  48   |    50.10%    |    0.6941     |      50.13%       |      49.92%      |
|  49   |    50.46%    |    0.6935     |      50.10%       |      50.06%      |
|  50   |    49.96%    |    0.6932     |      49.88%       |      50.01%      |
|  51   |    50.51%    |    0.6924     |      50.12%       |      49.92%      |
|  52   |    50.22%    |    0.6922     |      50.12%       |      49.99%      |
|  53   |    50.39%    |    0.6914     |      50.13%       |      50.13%      |
|  54   |    50.24%    |    0.6935     |      49.90%       |      50.08%      |
|  55   |    50.21%    |    0.6930     |      49.88%       |      49.94%      |
|  56   |    50.53%    |    0.6942     |      50.15%       |      50.13%      |
|  57   |    50.40%    |    0.6932     |      49.84%       |      49.80%      |
|  58   |    49.90%    |    0.6941     |      50.05%       |      50.06%      |
|  59   |    50.37%    |    0.6934     |      50.10%       |      49.92%      |
|  60   |    50.28%    |    0.6931     |      49.88%       |      49.73%      |
|  61   |    50.41%    |    0.6934     |      50.10%       |      50.20%      |
|  62   |    50.37%    |    0.6933     |      49.85%       |      49.87%      |
|  63   |    50.03%    |    0.6927     |      50.10%       |      50.06%      |
|  64   |    50.32%    |    0.6932     |      49.92%       |      49.94%      |
|  65   |    50.34%    |    0.6932     |      50.14%       |      50.20%      |
|  66   |    50.24%    |    0.6923     |      50.14%       |      50.06%      |
|  67   |    50.49%    |    0.6929     |      49.90%       |      49.87%      |
|  68   |    50.32%    |    0.6916     |      50.14%       |      49.92%      |
|  69   |    50.59%    |    0.6929     |      50.13%       |      49.99%      |
|  70   |    50.10%    |    0.6931     |      50.05%       |      49.99%      |
|  71   |    50.34%    |    0.6937     |      50.11%       |      50.13%      |
|  72   |    50.29%    |    0.6928     |      50.13%       |      50.20%      |
|  73   |    50.42%    |    0.6931     |      50.09%       |      49.85%      |
|  74   |    50.34%    |    0.6942     |      50.14%       |      50.06%      |
|  75   |    50.34%    |    0.6930     |      50.12%       |      49.92%      |
|  76   |    50.36%    |    0.6945     |      50.05%       |      49.85%      |
|  77   |    50.35%    |    0.6922     |      50.11%       |      50.13%      |
|  78   |    50.21%    |    0.6920     |      50.13%       |      50.06%      |
|  79   |    50.50%    |    0.6931     |      50.09%       |      50.13%      |
|  80   |    50.62%    |    0.6925     |      50.11%       |      50.13%      |
|  81   |    50.54%    |    0.6941     |      50.14%       |      50.13%      |
|  82   |    50.34%    |    0.6935     |      49.91%       |      50.08%      |
|  83   |    50.48%    |    0.6932     |      50.12%       |      49.85%      |
|  84   |    49.90%    |    0.6927     |      50.13%       |      49.99%      |
|  85   |    50.20%    |    0.6936     |      50.13%       |      50.06%      |
|  86   |    50.69%    |    0.6923     |      50.14%       |      49.99%      |
|  87   |    50.29%    |    0.6931     |      50.06%       |      49.99%      |
|  88   |    50.47%    |    0.6938     |      50.14%       |      50.06%      |
|  89   |    50.38%    |    0.6929     |      50.11%       |      50.13%      |
|  90   |    50.46%    |    0.6927     |      50.15%       |      50.06%      |
|  91   |    50.28%    |    0.6930     |      50.17%       |      50.13%      |
|  92   |    50.20%    |    0.6932     |      50.09%       |      49.92%      |
|  93   |    50.49%    |    0.6928     |      50.10%       |      50.13%      |
|  94   |    50.20%    |    0.6931     |      50.15%       |      50.20%      |
|  95   |    50.03%    |    0.6941     |      50.10%       |      50.13%      |
|  96   |    50.42%    |    0.6925     |      50.12%       |      50.20%      |
|  97   |    49.89%    |    0.6950     |      50.11%       |      50.06%      |
|  98   |    50.18%    |    0.6922     |      50.05%       |      49.92%      |
|  99   |    50.13%    |    0.6943     |      50.12%       |      50.13%      |
|  100  |    50.38%    |    0.6921     |      50.08%       |      50.06%      |
|  101  |    50.34%    |    0.6929     |      50.13%       |      50.20%      |
|  102  |    50.35%    |    0.6933     |      50.10%       |      50.06%      |
|  103  |    50.22%    |    0.6933     |      50.08%       |      50.06%      |
|  104  |    50.27%    |    0.6930     |      50.15%       |      50.13%      |
|  105  |    50.23%    |    0.6920     |      50.15%       |      50.13%      |
|  106  |    50.21%    |    0.6931     |      50.12%       |      50.20%      |
|  107  |    50.24%    |    0.6935     |      50.09%       |      49.99%      |
