| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.63%    |    0.6980     |      49.68%       |      50.81%      |
|   2   |    48.87%    |    0.6907     |      49.45%       |      48.83%      |
|   3   |    49.74%    |    0.6952     |      49.64%       |      50.24%      |
|   4   |    50.06%    |    0.6948     |      50.12%       |      51.09%      |
|   5   |    50.81%    |    0.6933     |      50.44%       |      51.37%      |
|   6   |    50.42%    |    0.6931     |      50.18%       |      50.16%      |
|   7   |    49.86%    |    0.6942     |      50.18%       |      50.23%      |
|   8   |    49.86%    |    0.6929     |      50.18%       |      50.23%      |
|   9   |    49.85%    |    0.6929     |      50.14%       |      50.09%      |
|  10   |    49.86%    |    0.6932     |      50.13%       |      50.38%      |
|  11   |    50.22%    |    0.6932     |      49.99%       |      50.38%      |
|  12   |    50.36%    |    0.6928     |      50.02%       |      50.00%      |
|  13   |    50.34%    |    0.6932     |      50.00%       |      49.86%      |
|  14   |    50.35%    |    0.6928     |      49.94%       |      50.00%      |
|  15   |    50.36%    |    0.6929     |      49.94%       |      49.79%      |
|  16   |    50.35%    |    0.6934     |      50.01%       |      50.14%      |
|  17   |    50.35%    |    0.6930     |      49.94%       |      49.86%      |
|  18   |    50.34%    |    0.6932     |      49.91%       |      50.00%      |
|  19   |    50.36%    |    0.6928     |      50.01%       |      49.93%      |
|  20   |    50.34%    |    0.6936     |      49.96%       |      49.86%      |
|  21   |    50.36%    |    0.6928     |      50.02%       |      50.14%      |
|  22   |    50.34%    |    0.6934     |      50.03%       |      50.14%      |
|  23   |    50.35%    |    0.6927     |      49.98%       |      49.72%      |
|  24   |    50.35%    |    0.6933     |      49.88%       |      49.79%      |
|  25   |    50.35%    |    0.6932     |      49.96%       |      49.72%      |
|  26   |    50.36%    |    0.6931     |      50.01%       |      49.79%      |
|  27   |    50.36%    |    0.6930     |      50.06%       |      49.86%      |
|  28   |    50.36%    |    0.6932     |      49.97%       |      49.86%      |
|  29   |    50.35%    |    0.6935     |      49.99%       |      49.93%      |
|  30   |    50.35%    |    0.6934     |      49.96%       |      49.86%      |
|  31   |    50.34%    |    0.6935     |      49.96%       |      49.93%      |
|  32   |    50.36%    |    0.6936     |      50.00%       |      50.00%      |
|  33   |    50.36%    |    0.6927     |      50.03%       |      49.93%      |
