| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.34%    |    0.6926     |      49.71%       |      49.71%      |
|   2   |    50.39%    |    0.6933     |      50.40%       |      50.26%      |
|   3   |    49.78%    |    0.6931     |      49.52%       |      49.59%      |
|   4   |    50.17%    |    0.6932     |      49.59%       |      49.59%      |
|   5   |    49.95%    |    0.6930     |      50.39%       |      50.26%      |
|   6   |    50.31%    |    0.6934     |      49.60%       |      49.67%      |
|   7   |    50.20%    |    0.6937     |      49.60%       |      49.52%      |
|   8   |    50.06%    |    0.6932     |      50.43%       |      50.33%      |
|   9   |    50.20%    |    0.6934     |      50.45%       |      50.62%      |
|  10   |    50.10%    |    0.6931     |      50.38%       |      50.33%      |
|  11   |    50.06%    |    0.6933     |      49.60%       |      49.67%      |
|  12   |    49.72%    |    0.6931     |      49.61%       |      49.67%      |
|  13   |    50.16%    |    0.6934     |      49.60%       |      49.88%      |
|  14   |    49.89%    |    0.6932     |      50.34%       |      50.41%      |
|  15   |    50.03%    |    0.6931     |      49.58%       |      49.74%      |
|  16   |    50.10%    |    0.6931     |      50.36%       |      50.19%      |
|  17   |    49.72%    |    0.6931     |      50.40%       |      50.41%      |
|  18   |    50.21%    |    0.6933     |      49.53%       |      49.67%      |
|  19   |    50.50%    |    0.6933     |      49.62%       |      49.52%      |
|  20   |    50.06%    |    0.6931     |      49.60%       |      49.74%      |
|  21   |    50.19%    |    0.6932     |      50.41%       |      50.33%      |
|  22   |    49.91%    |    0.6933     |      50.42%       |      50.33%      |
|  23   |    50.26%    |    0.6929     |      50.38%       |      50.48%      |
|  24   |    49.90%    |    0.6930     |      49.62%       |      49.67%      |
|  25   |    50.11%    |    0.6936     |      50.39%       |      50.19%      |
|  26   |    50.10%    |    0.6931     |      49.58%       |      49.74%      |
|  27   |    50.00%    |    0.6931     |      50.40%       |      50.48%      |
|  28   |    49.66%    |    0.6931     |      49.55%       |      49.52%      |
|  29   |    49.84%    |    0.6935     |      49.62%       |      49.67%      |
|  30   |    49.80%    |    0.6923     |      50.43%       |      50.48%      |
|  31   |    49.72%    |    0.6932     |      50.41%       |      50.33%      |
|  32   |    50.14%    |    0.6931     |      50.39%       |      50.26%      |
|  33   |    50.11%    |    0.6930     |      49.64%       |      49.88%      |
|  34   |    50.22%    |    0.6931     |      50.39%       |      50.26%      |
|  35   |    49.81%    |    0.6930     |      49.63%       |      49.81%      |
|  36   |    50.08%    |    0.6931     |      49.62%       |      49.67%      |
|  37   |    50.20%    |    0.6932     |      50.44%       |      50.41%      |
|  38   |    50.00%    |    0.6933     |      50.42%       |      50.33%      |
|  39   |    49.94%    |    0.6930     |      50.48%       |      50.55%      |
|  40   |    50.04%    |    0.6932     |      49.54%       |      49.59%      |
