| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    50.60%    |    0.6930     |      49.91%       |      49.75%      |
|   2   |    50.35%    |    0.6932     |      49.97%       |      49.82%      |
|   3   |    50.45%    |    0.6933     |      49.97%       |      49.96%      |
|   4   |    50.24%    |    0.6930     |      50.12%       |      50.32%      |
|   5   |    50.47%    |    0.6932     |      49.94%       |      49.75%      |
|   6   |    50.29%    |    0.6929     |      49.90%       |      49.82%      |
|   7   |    50.35%    |    0.6934     |      49.94%       |      49.96%      |
|   8   |    50.66%    |    0.6935     |      49.94%       |      50.03%      |
|   9   |    50.49%    |    0.6932     |      50.08%       |      50.25%      |
|  10   |    50.30%    |    0.6926     |      50.01%       |      49.96%      |
|  11   |    50.36%    |    0.6932     |      50.00%       |      49.89%      |
|  12   |    50.52%    |    0.6932     |      50.06%       |      50.18%      |
|  13   |    50.19%    |    0.6935     |      49.89%       |      49.82%      |
|  14   |    50.49%    |    0.6929     |      49.93%       |      49.89%      |
|  15   |    50.55%    |    0.6932     |      50.03%       |      49.90%      |
|  16   |    50.12%    |    0.6929     |      49.96%       |      49.68%      |
|  17   |    50.44%    |    0.6927     |      49.91%       |      49.68%      |
|  18   |    50.49%    |    0.6932     |      49.98%       |      50.10%      |
|  19   |    50.35%    |    0.6938     |      49.99%       |      50.03%      |
|  20   |    50.42%    |    0.6931     |      49.98%       |      49.82%      |
|  21   |    50.40%    |    0.6933     |      49.94%       |      49.68%      |
|  22   |    50.26%    |    0.6930     |      49.94%       |      49.89%      |
|  23   |    50.47%    |    0.6929     |      49.96%       |      49.75%      |
|  24   |    50.59%    |    0.6938     |      49.93%       |      49.89%      |
|  25   |    50.25%    |    0.6915     |      49.96%       |      49.96%      |
|  26   |    50.61%    |    0.6928     |      49.92%       |      49.82%      |
|  27   |    50.48%    |    0.6930     |      49.94%       |      49.89%      |
|  28   |    50.45%    |    0.6923     |      49.91%       |      49.89%      |
|  29   |    50.49%    |    0.6929     |      49.94%       |      49.75%      |
|  30   |    50.43%    |    0.6930     |      50.05%       |      50.11%      |
|  31   |    50.40%    |    0.6934     |      49.94%       |      49.82%      |
|  32   |    50.44%    |    0.6933     |      49.95%       |      49.82%      |
|  33   |    50.49%    |    0.6931     |      49.99%       |      49.96%      |
|  34   |    50.39%    |    0.6934     |      49.95%       |      49.96%      |
|  35   |    50.46%    |    0.6933     |      50.04%       |      49.97%      |
|  36   |    50.48%    |    0.6931     |      49.98%       |      49.68%      |
|  37   |    50.52%    |    0.6932     |      49.97%       |      49.96%      |
|  38   |    50.33%    |    0.6932     |      49.96%       |      49.75%      |
|  39   |    50.59%    |    0.6933     |      49.94%       |      49.68%      |
|  40   |    50.63%    |    0.6933     |      49.92%       |      49.82%      |
|  41   |    50.15%    |    0.6930     |      49.95%       |      49.82%      |
|  42   |    50.48%    |    0.6924     |      49.92%       |      49.96%      |
|  43   |    50.33%    |    0.6931     |      49.91%       |      49.96%      |
|  44   |    50.42%    |    0.6938     |      49.92%       |      49.75%      |
|  45   |    50.50%    |    0.6912     |      49.95%       |      49.89%      |
|  46   |    50.58%    |    0.6931     |      50.00%       |      50.11%      |
|  47   |    50.38%    |    0.6927     |      49.92%       |      49.89%      |
|  48   |    50.27%    |    0.6925     |      49.98%       |      49.89%      |
|  49   |    50.51%    |    0.6932     |      49.94%       |      50.10%      |
|  50   |    50.43%    |    0.6929     |      50.02%       |      49.96%      |
|  51   |    50.23%    |    0.6937     |      49.96%       |      50.03%      |
|  52   |    50.42%    |    0.6930     |      49.94%       |      49.82%      |
|  53   |    50.62%    |    0.6936     |      50.00%       |      50.10%      |
|  54   |    50.40%    |    0.6931     |      50.01%       |      49.96%      |
|  55   |    50.33%    |    0.6934     |      49.92%       |      49.75%      |
|  56   |    50.42%    |    0.6931     |      49.94%       |      49.75%      |
|  57   |    50.51%    |    0.6935     |      49.96%       |      49.82%      |
|  58   |    50.11%    |    0.6935     |      50.00%       |      49.89%      |
|  59   |    50.29%    |    0.6926     |      49.93%       |      49.96%      |
|  60   |    50.27%    |    0.6932     |      50.06%       |      50.11%      |
|  61   |    50.28%    |    0.6934     |      49.94%       |      49.89%      |
|  62   |    50.44%    |    0.6933     |      49.96%       |      50.03%      |
|  63   |    50.47%    |    0.6915     |      49.96%       |      49.89%      |
|  64   |    50.57%    |    0.6933     |      49.96%       |      49.89%      |
|  65   |    50.30%    |    0.6932     |      49.94%       |      49.82%      |
|  66   |    50.60%    |    0.6928     |      49.95%       |      49.89%      |
|  67   |    50.43%    |    0.6892     |      49.94%       |      49.89%      |
|  68   |    50.50%    |    0.6934     |      49.98%       |      49.82%      |
|  69   |    50.35%    |    0.6926     |      49.94%       |      49.96%      |
|  70   |    50.40%    |    0.6932     |      49.96%       |      50.10%      |
|  71   |    50.68%    |    0.6933     |      49.94%       |      49.82%      |
|  72   |    50.18%    |    0.6932     |      49.94%       |      49.96%      |
|  73   |    50.43%    |    0.6932     |      49.97%       |      49.89%      |
|  74   |    50.48%    |    0.6931     |      49.94%       |      49.75%      |
|  75   |    50.58%    |    0.6932     |      50.00%       |      49.89%      |
|  76   |    50.52%    |    0.6929     |      49.96%       |      49.82%      |
|  77   |    50.79%    |    0.6942     |      49.94%       |      49.89%      |
|  78   |    50.45%    |    0.6931     |      50.04%       |      50.25%      |
|  79   |    50.25%    |    0.6926     |      49.94%       |      49.96%      |
|  80   |    50.46%    |    0.6929     |      49.95%       |      49.82%      |
|  81   |    50.71%    |    0.6931     |      49.91%       |      49.89%      |
|  82   |    50.40%    |    0.6921     |      49.91%       |      49.96%      |
|  83   |    50.30%    |    0.6935     |      49.93%       |      50.03%      |
|  84   |    50.58%    |    0.6930     |      50.01%       |      49.75%      |
|  85   |    50.48%    |    0.6926     |      49.95%       |      49.82%      |
|  86   |    50.27%    |    0.6933     |      49.98%       |      50.03%      |
|  87   |    50.43%    |    0.6932     |      49.91%       |      49.96%      |
|  88   |    50.51%    |    0.6931     |      50.01%       |      49.75%      |
|  89   |    50.44%    |    0.6925     |      49.98%       |      50.10%      |
