| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    61.49%    |    0.6368     |      64.55%       |      65.82%      |
|   2   |    66.22%    |    0.6319     |      64.71%       |      65.61%      |
|   3   |    66.10%    |    0.6167     |      65.03%       |      66.80%      |
|   4   |    66.06%    |    0.6220     |      64.65%       |      66.04%      |
|   5   |    66.17%    |    0.6096     |      64.70%       |      66.44%      |
|   6   |    66.34%    |    0.6018     |      65.06%       |      66.71%      |
|   7   |    66.24%    |    0.5875     |      64.73%       |      66.89%      |
|   8   |    66.47%    |    0.6012     |      64.93%       |      66.41%      |
|   9   |    66.58%    |    0.6160     |      64.77%       |      66.81%      |
|  10   |    66.40%    |    0.5969     |      64.87%       |      66.54%      |
|  11   |    66.31%    |    0.6117     |      64.90%       |      66.40%      |
|  12   |    66.60%    |    0.6043     |      64.76%       |      66.19%      |
|  13   |    66.47%    |    0.6017     |      64.79%       |      66.87%      |
|  14   |    66.64%    |    0.6056     |      65.00%       |      66.37%      |
|  15   |    66.50%    |    0.5867     |      64.88%       |      66.66%      |
|  16   |    66.24%    |    0.5849     |      64.97%       |      66.69%      |
|  17   |    66.42%    |    0.5951     |      64.95%       |      66.97%      |
|  18   |    66.68%    |    0.5912     |      64.85%       |      66.26%      |
|  19   |    66.68%    |    0.5846     |      64.78%       |      66.21%      |
|  20   |    66.55%    |    0.5919     |      64.73%       |      66.00%      |
|  21   |    66.47%    |    0.5873     |      64.98%       |      66.68%      |
|  22   |    66.10%    |    0.5857     |      64.99%       |      67.19%      |
|  23   |    66.48%    |    0.6025     |      65.01%       |      66.42%      |
|  24   |    66.44%    |    0.5935     |      64.95%       |      66.13%      |
|  25   |    66.35%    |    0.5893     |      64.99%       |      66.60%      |
|  26   |    66.40%    |    0.6055     |      64.96%       |      66.53%      |
|  27   |    66.64%    |    0.5883     |      65.13%       |      67.19%      |
|  28   |    66.53%    |    0.5935     |      64.84%       |      65.94%      |
|  29   |    66.61%    |    0.5797     |      64.98%       |      65.98%      |
|  30   |    66.63%    |    0.5941     |      64.85%       |      66.13%      |
|  31   |    66.66%    |    0.5909     |      64.92%       |      66.44%      |
|  32   |    66.68%    |    0.5994     |      65.12%       |      67.25%      |
|  33   |    66.63%    |    0.5783     |      65.11%       |      66.97%      |
