| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    64.80%    |    0.6073     |      65.14%       |      66.90%      |
|   2   |    66.43%    |    0.5959     |      65.26%       |      67.19%      |
|   3   |    66.66%    |    0.6198     |      65.20%       |      65.91%      |
|   4   |    66.99%    |    0.6234     |      65.27%       |      66.99%      |
|   5   |    66.82%    |    0.5870     |      65.44%       |      67.42%      |
|   6   |    66.50%    |    0.5817     |      65.15%       |      66.69%      |
|   7   |    66.39%    |    0.5907     |      65.09%       |      66.37%      |
|   8   |    66.82%    |    0.5924     |      65.63%       |      67.95%      |
|   9   |    66.78%    |    0.5671     |      65.15%       |      66.60%      |
|  10   |    66.95%    |    0.5801     |      65.52%       |      67.35%      |
|  11   |    66.67%    |    0.6085     |      65.48%       |      67.56%      |
|  12   |    66.79%    |    0.6113     |      65.35%       |      66.86%      |
|  13   |    66.74%    |    0.5936     |      65.18%       |      65.06%      |
|  14   |    66.09%    |    0.6059     |      64.86%       |      66.89%      |
|  15   |    66.44%    |    0.6035     |      65.20%       |      66.27%      |
|  16   |    66.56%    |    0.6110     |      65.35%       |      65.98%      |
|  17   |    66.79%    |    0.6068     |      65.42%       |      67.07%      |
|  18   |    64.29%    |    0.5955     |      65.25%       |      66.74%      |
|  19   |    66.71%    |    0.6144     |      65.41%       |      66.81%      |
|  20   |    65.08%    |    0.6536     |      64.15%       |      65.20%      |
|  21   |    66.24%    |    0.6233     |      65.26%       |      64.72%      |
|  22   |    65.90%    |    0.6208     |      65.00%       |      67.12%      |
|  23   |    66.61%    |    0.5914     |      65.23%       |      66.55%      |
|  24   |    66.48%    |    0.6069     |      65.04%       |      66.94%      |
|  25   |    66.44%    |    0.6459     |      61.20%       |      60.57%      |
|  26   |    66.52%    |    0.6139     |      65.50%       |      65.93%      |
|  27   |    66.65%    |    0.6161     |      65.33%       |      67.28%      |
|  28   |    66.91%    |    0.6158     |      65.09%       |      67.37%      |
|  29   |    66.05%    |    0.6255     |      65.36%       |      67.03%      |
|  30   |    66.86%    |    0.5922     |      65.53%       |      66.66%      |
|  31   |    66.96%    |    0.6107     |      65.37%       |      66.80%      |
|  32   |    66.81%    |    0.6166     |      65.08%       |      66.62%      |
|  33   |    66.22%    |    0.6417     |      63.76%       |      67.13%      |
|  34   |    66.64%    |    0.6024     |      65.40%       |      66.07%      |
|  35   |    66.66%    |    0.6605     |      64.41%       |      64.48%      |
|  36   |    66.34%    |    0.5958     |      64.82%       |      67.05%      |
|  37   |    66.64%    |    0.6046     |      65.08%       |      67.02%      |
|  38   |    66.83%    |    0.6175     |      65.36%       |      67.14%      |
|  39   |    66.95%    |    0.6209     |      65.13%       |      67.10%      |
|  40   |    66.91%    |    0.6081     |      65.57%       |      67.21%      |
|  41   |    66.90%    |    0.6583     |      64.32%       |      65.67%      |
|  42   |    66.83%    |    0.6254     |      65.62%       |      67.19%      |
|  43   |    66.89%    |    0.6037     |      65.50%       |      67.13%      |
|  44   |    66.73%    |    0.6139     |      65.54%       |      66.89%      |
|  45   |    66.99%    |    0.6097     |      65.59%       |      67.14%      |
|  46   |    66.69%    |    0.6387     |      65.43%       |      66.90%      |
|  47   |    66.84%    |    0.6087     |      65.59%       |      67.13%      |
|  48   |    66.56%    |    0.6308     |      65.36%       |      66.98%      |
|  49   |    66.81%    |    0.6668     |      65.54%       |      67.20%      |
|  50   |    66.93%    |    0.6307     |      65.17%       |      66.58%      |
|  51   |    66.75%    |    0.6294     |      65.56%       |      67.13%      |
|  52   |    66.71%    |    0.6368     |      65.45%       |      67.06%      |
|  53   |    66.92%    |    0.6470     |      65.53%       |      66.99%      |
|  54   |    66.87%    |    0.6347     |      65.28%       |      67.13%      |
|  55   |    66.87%    |    0.6370     |      65.39%       |      67.15%      |
|  56   |    66.89%    |    0.6505     |      65.03%       |      67.06%      |
|  57   |    66.68%    |    0.6396     |      65.51%       |      67.06%      |
|  58   |    66.77%    |    0.6372     |      65.42%       |      66.93%      |
|  59   |    66.93%    |    0.6592     |      65.43%       |      67.13%      |
|  60   |    67.01%    |    0.6313     |      65.46%       |      67.11%      |
|  61   |    66.79%    |    0.6386     |      65.53%       |      67.20%      |
|  62   |    66.66%    |    0.6615     |      63.51%       |      67.06%      |
|  63   |    66.80%    |    0.6581     |      64.17%       |      67.20%      |
|  64   |    66.52%    |    0.6508     |      64.52%       |      67.13%      |
|  65   |    66.73%    |    0.6342     |      63.79%       |      67.27%      |
|  66   |    66.90%    |    0.6177     |      65.43%       |      67.06%      |
|  67   |    66.96%    |    0.6586     |      65.36%       |      67.13%      |
|  68   |    66.94%    |    0.6384     |      65.64%       |      67.13%      |
|  69   |    66.93%    |    0.6572     |      64.63%       |      67.06%      |
|  70   |    66.31%    |    0.6498     |      65.56%       |      66.84%      |
|  71   |    66.84%    |    0.6329     |      65.52%       |      67.13%      |
|  72   |    66.59%    |    0.6480     |      64.63%       |      66.98%      |
|  73   |    66.92%    |    0.6620     |      65.54%       |      67.20%      |
|  74   |    66.88%    |    0.6383     |      65.61%       |      67.20%      |
|  75   |    66.78%    |    0.6550     |      64.43%       |      67.27%      |
|  76   |    63.54%    |    0.6919     |      53.57%       |      49.84%      |
|  77   |    55.13%    |    0.6689     |      60.49%       |      62.21%      |
|  78   |    62.46%    |    0.6725     |      57.03%       |      60.26%      |
|  79   |    59.85%    |    0.6693     |      59.17%       |      66.29%      |
|  80   |    50.97%    |    2.7853     |      49.45%       |      51.55%      |
|  81   |    54.20%    |    0.7076     |      56.08%       |      55.92%      |
|  82   |    55.96%    |    0.7123     |      56.66%       |      59.93%      |
|  83   |    58.28%    |    0.6717     |      56.93%       |      59.46%      |
|  84   |    59.14%    |    0.6659     |      57.55%       |      61.27%      |
|  85   |    60.56%    |    0.6657     |      58.08%       |      59.72%      |
|  86   |    55.36%    |    0.6814     |      56.97%       |      55.19%      |
|  87   |    55.39%    |    0.6779     |      55.75%       |      54.26%      |
|  88   |    53.25%    |    0.6931     |      56.04%       |      53.91%      |
|  89   |    56.49%    |    0.6718     |      55.80%       |      58.57%      |
|  90   |    55.21%    |    0.6704     |      55.09%       |      59.87%      |
|  91   |    54.95%    |    0.6840     |      55.06%       |      54.25%      |
|  92   |    54.98%    |    0.6991     |      57.41%       |      60.04%      |
|  93   |    59.63%    |    0.6882     |      56.90%       |      61.84%      |
|  94   |    59.82%    |    0.6809     |      57.55%       |      62.68%      |
|  95   |    64.21%    |    0.6510     |      60.44%       |      64.67%      |
|  96   |    64.94%    |    0.6563     |      60.01%       |      66.58%      |
|  97   |    58.97%    |    0.6919     |      53.91%       |      51.82%      |
|  98   |    53.10%    |    0.6763     |      55.56%       |      48.09%      |
|  99   |    57.51%    |    0.6860     |      57.24%       |      56.95%      |
